Simulation,Pathway,NPV,NPV_millions,mortality
1,A,883637627.643648,883.637627643648,77.6909152265238
1,B1,529613063.61145,529.61306361145,46.5644765916307
1,B2,608617725.337458,608.617725337458,53.510700116565
1,B3,527048232.975081,527.048232975081,46.3389723427092
1,C1,487699766.260241,487.699766260241,42.8793885764675
1,C2,571938648.195088,571.938648195088,50.2858135978074
1,C3,495844221.007517,495.844221007517,43.5954628172444
1,D,835403622.005019,835.403622005019,73.4500998448846
10,A,883851351.666584,883.851351666584,77.7097062042146
10,B1,519839093.730766,519.839093730766,45.7051326233891
1012,A,874304751.184248,874.304751184248,76.8703529381563
1012,B1,537980182.767364,537.980182767364,47.3001278639354
1012,B2,619273530.448646,619.273530448646,54.4475765302272
1012,B3,534992692.874907,534.992692874906,47.0374626981321
1012,C1,489925520.792464,489.925520792464,43.0750806806381
1012,C2,579269470.033765,579.269470033765,50.9303518566954
1012,C3,503064325.918695,503.064325918695,44.2302666565476
1012,D,839231920.093873,839.231920093873,73.7866902898571
1013,A,883414560.047034,883.414560047034,77.6713027460271
1013,B1,506614434.776502,506.614434776502,44.5423982336652
1013,B2,585430039.421859,585.430039421859,51.4719995402077
1013,B3,504847517.841369,504.847517841369,44.3870479073263
1013,C1,475773159.261577,475.773159261577,41.830781110821
1013,C2,549041504.093178,549.041504093178,48.27265794927
1013,C3,474592226.819585,474.592226819585,41.7269515325314
1013,D,819656132.973911,819.656132973911,72.0655539664922
1014,A,884407750.336484,884.407750336484,77.758625716629
1014,B1,517812503.341736,517.812503341736,45.5269513676487
1014,B2,596399334.757983,596.399334757983,52.4364385448324
1014,B3,515245107.614956,515.245107614956,45.3012215916385
1014,C1,483448902.741659,483.448902741659,42.5056454639856
1014,C2,559628873.217395,559.628873217395,49.2035173551725
1014,C3,484531985.833807,484.531985833807,42.600871961888
1014,D,833063310.096584,833.063310096584,73.2443356623806
1015,A,885683173.748,885.683173748,77.870763100826
1015,B1,498010644.765488,498.010644765488,43.7859384593627
1015,B2,575980324.284746,575.980324284746,50.6411645976194
1015,B3,495695438.51595,495.69543851595,43.5823816088645
1015,C1,468653523.159695,468.653523159695,41.2048106592117
1015,C2,539579842.501731,539.579842501731,47.4407726542046
1015,C3,465578692.056441,465.578692056441,40.9344663063849
1015,D,808263496.013943,808.263496013943,71.0638940500582
1016,A,882690920.18619,882.69092018619,77.6076791051537
1016,B1,531605826.407523,531.605826407523,46.7396836681663
1016,B2,611548502.983306,611.548502983305,53.7683790456963
1016,B3,528500193.185354,528.500193185354,46.4666311409311
1016,C1,487797955.476096,487.797955476096,42.8880215384493
1016,C2,572955036.979958,572.955036979958,50.3751762193755
1016,C3,496074538.760068,496.074538760068,43.6157127437175
1016,D,837542720.239712,837.542720239712,73.6381729807649
