"Pathway","NPV_max","NPV_mean","NPV_min"
"B2",43785099000.5342,43785099000.5342,43785099000.5342
"B3",37703737906.3919,37703737906.3919,37703737906.3919
"C1",41307627002.0965,41307627002.0965,41307627002.0965
