Facility_Unit.ID,Facility_ID,Unit_ID.x,Primary_Fuel_Type,Facility_Name,PM_lbs_mmBTU,mean_NOx_lbs_MW,mean_SO2_lbs_MW,mean_HI_mmBtu_per_MW,mean_NOx_lbs_MW_estimate,mean_SO2_lbs_MW_estimate,mean_HI_mmBtu_per_MW_estimate,Stack_Height_ft,Year,Pathway,Simulation,total_generation_GWh,total_CO2_tons,total_NOx_lbs,total_SO2_lbs,total_HI_mmBtu,State,Fuel_type_1,Fuel_type_2,Ramp_hr,Fossil.NPC_MW,STATEFP,COUNTYFP,COUNTYNS,GEOIDFQ,GEOID,County,NAMELSAD,STUSPS,STATE_NAME,LSAD,ALAND,AWATER,geometry,County_State,NH3,PM2.5,NOx,SO2,VOC,PM10,SO2_ratio,CO
1595_4,1595,4,Pipeline Natural Gas,Kendall Green Energy LLC,0.01086,0.0459694871453553,0.00389223251982218,6.65135061675564,,,,120,2025,B2,1,2395.32742,922706.174160704,110100.100055663,9322.16525577462,15431446.1501943,MA,Pipeline Natural Gas,Diesel Oil,12,253.6,25,17,606935,0500000US25017,25017,Middlesex,Middlesex County,MA,Massachusetts,06,2118293312,75289849,-71.0792|42.3633,"Middlesex, MA",30709.7457986957,16980.099678943,107.092429649956,5289.17610882283,1889.98306400756,2718.95779722388,1,2401.74263054256
1595_S6,1595,S6,Diesel Oil,Kendall Green Energy LLC,0.0244538222222222,23.0410349523377,,9.9806361829026,0.0982597055450186,0.00790484980629319,13.1722979241646,120,2025,B2,1,11.8908,4144.80263330837,200182.101032914,168.786309827018,239017.22389713,MA,Diesel Oil,"",12,20,25,17,606935,0500000US25017,25017,Middlesex,Middlesex County,MA,Massachusetts,06,2118293312,75289849,-71.0792|42.3633,"Middlesex, MA",30709.7457986957,16980.099678943,107.092429649956,5289.17610882283,1889.98306400756,2718.95779722388,1,2401.74263054256
1678_1,1678,1,Pipeline Natural Gas,Waters River,0.01708,5.46678191763856,,7.9722072761161,0.0982597055450186,0.00790484980629319,13.1722979241646,120,2025,B2,1,21.18715,16585.0525213903,115821.939477629,167.488343238958,279082.712161977,MA,Pipeline Natural Gas,Diesel Oil,1,21.3,25,9,606931,0500000US25009,25009,Essex,Essex County,MA,Massachusetts,06,1275604956,870173087,-70.9236|42.5428,"Essex, MA",14923.5283910355,7760.23476333848,69.4117599583048,2322.31916889071,874.588175474641,1183.96630557451,0.439070116235471,1055.8928601725
1678_2,1678,2,Pipeline Natural Gas,Waters River,0.01708,3.3901865463342,,5.64179070391495,0.121076329725233,0.00577486926598213,9.62259253041186,120,2025,B2,1,19.04471,14192.4109693199,64565.1196208364,109.980710458543,183259.48418986,MA,Pipeline Natural Gas,Diesel Oil,1,49.9,25,9,606931,0500000US25009,25009,Essex,Essex County,MA,Massachusetts,06,1275604956,870173087,-70.9236|42.5428,"Essex, MA",14923.5283910355,7760.23476333848,69.4117599583048,2322.31916889071,874.588175474641,1183.96630557451,0.439070116235471,1055.8928601725
1682_9,1682,9,Pipeline Natural Gas,Cleary Flood,0.01086,1.60332054164342,0.0739221201994044,5.14702442554622,,,,187,2025,B2,1,170.71796,108036.967315226,273715.61209546,12619.8335593171,1885911.49989535,MA,Pipeline Natural Gas,"Diesel Oil, Residual Oil",0.1666667,118,25,5,606929,0500000US25005,25005,Bristol,Bristol County,MA,Massachusetts,06,1432555935,357450957,-71.1061|41.8653,"Bristol, MA",15286.4527359604,9057.24307798795,93.210077658295,2980.73929192378,1021.34446795791,1346.58814319111,0.56355455568054,1354.57075038831
2367_4,2367,4,Coal,Schiller,0.0109179898124098,3.14423362977723,10.7668186477769,6.75883294658442,,,,226,2025,B2,1,192.25983,234159.756313064,584594.737554466,2001695.38295092,2636555.89665754,NH,Coal,Residual Oil,12,50,33,15,873181,0500000US33015,33015,Rockingham,Rockingham County,NH,New Hampshire,06,1801152748,258528921,-70.7842|43.0978,"Rockingham, NH",9808.8732786793,7674.95745824685,69.4117599583048,2812.16787488218,872.604982332975,1209.74781641617,0.531683539557555,1278.10201343547
2367_6,2367,6,Coal,Schiller,0.0109179898124098,2.82475011630741,9.97377301446643,6.69766136033672,,,,226,2025,B2,1,191.95362,227148.128802953,522254.473652389,1843780.77716981,2490574.97143239,NH,Coal,Residual Oil,12,50,33,15,873181,0500000US33015,33015,Rockingham,Rockingham County,NH,New Hampshire,06,1801152748,258528921,-70.7842|43.0978,"Rockingham, NH",9808.8732786793,7674.95745824685,69.4117599583048,2812.16787488218,872.604982332975,1209.74781641617,0.531683539557555,1278.10201343547
3236_10,3236,10,Pipeline Natural Gas,Manchester Street Station,0.01086,0.35130183062343,0.0093216302275336,6.02519500910613,,,,120,2025,B2,1,560.0277,387596.726318604,197839.354401318,5177.99949766976,11281512.7332522,RI,Pipeline Natural Gas,Diesel Oil,12,173,44,7,1219781,0500000US44007,44007,Providence,Providence County,RI,Rhode Island,06,1060557969,67864689,-71.4042|41.8167,"Providence, RI",17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,0.594300712410949,1428.34059074282
3236_11,3236,11,Pipeline Natural Gas,Manchester Street Station,0.01086,0.374628888900937,0.0105233858163834,6.16389562663567,,,,120,2025,B2,1,593.84341,415900.847707209,223083.975464653,6185.44260300904,11583576.4500464,RI,Pipeline Natural Gas,Diesel Oil,12,171,44,7,1219781,0500000US44007,44007,Providence,Providence County,RI,Rhode Island,06,1060557969,67864689,-71.4042|41.8167,"Providence, RI",17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,0.594300712410949,1428.34059074282
3236_9,3236,9,Pipeline Natural Gas,Manchester Street Station,0.01086,0.406024227385971,0.0099692161106963,5.97004356114368,,,,120,2025,B2,1,507.36952,357969.146159585,207950.679172128,5006.65076973812,10938307.5615729,RI,Pipeline Natural Gas,Diesel Oil,12,171,44,7,1219781,0500000US44007,44007,Providence,Providence County,RI,Rhode Island,06,1060557969,67864689,-71.4042|41.8167,"Providence, RI",17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,0.594300712410949,1428.34059074282
50002_1,50002,1,Pipeline Natural Gas,Pittsfield Generating,0.01086,0.283868148005778,,3.936142228699,0.0752493802444229,0.00429651113034719,7.15948584137344,120,2025,B2,1,21.66617,14600.2507214461,5849.68426426063,110.665570899622,198354.624096246,MA,Pipeline Natural Gas,Diesel Oil,12,93.4,25,3,606928,0500000US25003,25003,Berkshire,Berkshire County,MA,Massachusetts,06,2400592147,50709767,-73.2181|42.4564,"Berkshire, MA",9356.70524237949,5269.34417740617,105.10923650829,2193.41161468243,624.705839624744,777.411711533014,0.414698162729659,997.41676720856
50002_2,50002,2,Pipeline Natural Gas,Pittsfield Generating,0.01086,0.272378692142495,,4.07663733754384,0.0752493802444229,0.00429651113034719,7.15948584137344,120,2025,B2,1,25.42649,17401.1295531708,6598.53953939266,130.153706384652,234414.288620066,MA,Pipeline Natural Gas,Diesel Oil,12,93.4,25,3,606928,0500000US25003,25003,Berkshire,Berkshire County,MA,Massachusetts,06,2400592147,50709767,-73.2181|42.4564,"Berkshire, MA",9356.70524237949,5269.34417740617,105.10923650829,2193.41161468243,624.705839624744,777.411711533014,0.414698162729659,997.41676720856
50002_3,50002,3,Pipeline Natural Gas,Pittsfield Generating,0.01086,0.252982615632178,,4.07206053932513,0.0752493802444229,0.00429651113034719,7.15948584137344,120,2025,B2,1,25.78274,17213.5068082749,6193.68038041915,135.371582773098,250750.290013688,MA,Pipeline Natural Gas,Diesel Oil,12,93.4,25,3,606928,0500000US25003,25003,Berkshire,Berkshire County,MA,Massachusetts,06,2400592147,50709767,-73.2181|42.4564,"Berkshire, MA",9356.70524237949,5269.34417740617,105.10923650829,2193.41161468243,624.705839624744,777.411711533014,0.414698162729659,997.41676720856
51030_1,51030,1,Pipeline Natural Gas,Ocean State Power,0.01086,0.310524523930927,0.00715095164719093,5.0553221108375,,,,120,2025,B2,1,190.88718,131933.87456016,57903.2541531616,1332.84210905752,5335345.45553451,RI,Pipeline Natural Gas,Diesel Oil,12,171.4,44,7,1219781,0500000US44007,44007,Providence,Providence County,RI,Rhode Island,06,1060557969,67864689,-71.6701|42.0099,"Providence, RI",17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,0.594300712410949,1428.34059074282
51030_2,51030,2,Pipeline Natural Gas,Ocean State Power,0.01086,0.33756471687388,0.00736482403036001,5.04870724363235,,,,120,2025,B2,1,150.51332,107106.899455656,49583.0138271246,1081.60271547,4300497.55002002,RI,Pipeline Natural Gas,Diesel Oil,12,171.4,44,7,1219781,0500000US44007,44007,Providence,Providence County,RI,Rhode Island,06,1060557969,67864689,-71.6701|42.0099,"Providence, RI",17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,0.594300712410949,1428.34059074282
52026_1,52026,1,Pipeline Natural Gas,Dartmouth Power,0.01086,0.263219347984846,0.0102245273870668,5.0605629731809,,,,120,2025,B2,1,366.04149,154926.705550711,84962.5939732513,3280.7081459079,4878076.36592422,MA,Pipeline Natural Gas,Diesel Oil,12,77,25,5,606929,0500000US25005,25005,Bristol,Bristol County,MA,Massachusetts,06,1432555935,357450957,-70.9989|41.6728,"Bristol, MA",15286.4527359604,9057.24307798795,93.210077658295,2980.73929192378,1021.34446795791,1346.58814319111,0.56355455568054,1354.57075038831
52026_2,52026,2,Pipeline Natural Gas,Dartmouth Power,0.01708,0.128847584809838,,7.40243375091672,0.0982597055450186,0.00790484980629319,13.1722979241646,120,2025,B2,1,95.86332,37411.2192120793,7832.12244270087,1166.70016064164,1446665.77020722,MA,Pipeline Natural Gas,Diesel Oil,12,24.7,25,5,606929,0500000US25005,25005,Bristol,Bristol County,MA,Massachusetts,06,1432555935,357450957,-70.9989|41.6728,"Bristol, MA",15286.4527359604,9057.24307798795,93.210077658295,2980.73929192378,1021.34446795791,1346.58814319111,0.56355455568054,1354.57075038831
542_13,542,13,Other Oil,Cos Cob,0.0244538222222222,18.2012578616352,,10.3813245033112,0.0982597055450186,0.00790484980629319,13.1722979241646,120,2025,B2,1,1.6397,1283.57588822292,29844.6025157233,12.9615822273789,21598.6169062527,CT,Other Oil,"",0.1666667,20,9,190,2830254,0500000US09190,9005,Litchfield,Western Connecticut Planning Region,CT,Connecticut,PL,1378207191,300180641,-73.5989|41.0289,"Litchfield, CT",24430.9563121816,12839.1923991447,144.773099341607,4273.78122028991,1437.81502770774,1733.31080581596,0.808023997000375,1941.1309444266
542_14,542,14,Other Oil,Cos Cob,0.0244538222222222,16.3363199300699,,10.33153125,0.0982597055450186,0.00790484980629319,13.1722979241646,120,2025,B2,1,1.87596,1468.52291472261,30646.2827360139,14.8291820426138,24710.7040138158,CT,Other Oil,"",0.1666667,20,9,190,2830254,0500000US09190,9005,Litchfield,Western Connecticut Planning Region,CT,Connecticut,PL,1378207191,300180641,-73.5989|41.0289,"Litchfield, CT",24430.9563121816,12839.1923991447,144.773099341607,4273.78122028991,1437.81502770774,1733.31080581596,0.808023997000375,1941.1309444266
54324_3,54324,3,Pipeline Natural Gas,Ocean State Power II,0.01086,0.349429327353847,0.00766531115466271,5.14422086618702,,,,120,2025,B2,1,130.75362,96523.1358502053,44436.115603749,974.590309543828,3978093.38300807,RI,Pipeline Natural Gas,Diesel Oil,12,171.4,44,7,1219781,0500000US44007,44007,Providence,Providence County,RI,Rhode Island,06,1060557969,67864689,-71.6701|42.0099,"Providence, RI",17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,0.594300712410949,1428.34059074282
54324_4,54324,4,Pipeline Natural Gas,Ocean State Power II,0.01086,0.371240900397257,0.00752878608044111,5.23422644891236,,,,120,2025,B2,1,158.11915,114263.059918348,56913.2552634514,1153.88345718513,4496961.64942924,RI,Pipeline Natural Gas,Diesel Oil,12,171.4,44,7,1219781,0500000US44007,44007,Providence,Providence County,RI,Rhode Island,06,1060557969,67864689,-71.6701|42.0099,"Providence, RI",17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,0.594300712410949,1428.34059074282
546_6,546,6,Residual Oil,Montville,0.007372,2.5703014844073,3.52770410860873,4.23686656522432,,,,249,2025,B2,1,100.76774,105914.044702618,259003.471702369,355478.770413216,1967045.11974814,CT,Residual Oil,"",0.1666667,414.9,9,180,2830253,0500000US09180,9011,New London,Southeastern Connecticut Planning Region,CT,Connecticut,PL,1549172294,216453476,-72.1019|41.4281,"New London, CT",12131.19244757,8053.74734830503,148.739485624939,3270.28549060699,928.134390299619,1253.37806553282,0.618297712785902,1485.91705150732
54805_1,54805,1,Pipeline Natural Gas,"Milford Power, LLC",0.01086,0.29625559058736,0.00596246996508535,4.4435368366288,,,,120,2025,B2,1,137.88959,81426.92478674,40850.5619212989,822.162538872933,1321999.26237871,MA,Pipeline Natural Gas,"",1,249.3,25,27,606940,0500000US25027,25027,Worcester,Worcester County,MA,Massachusetts,06,3912636723,177350055,-71.5122|42.1292,"Worcester, MA",25775.5612622311,12803.4949225947,45.6134422583146,4620.84002008144,1455.66376598274,2135.89901357412,0.873640794900637,2098.56657932952
55026_1,55026,1,Pipeline Natural Gas,Dighton,0.01086,0.10274956870837,0.0046255564619282,5.71616640458995,,,,120,2025,B2,1,1261.71975,550613.747182287,123893.003947524,5559.45353345632,12037794.1681257,MA,Pipeline Natural Gas,"",12,200,25,5,606929,0500000US25005,25005,Bristol,Bristol County,MA,Massachusetts,06,1432555935,357450957,-71.1239|41.8312,"Bristol, MA",15286.4527359604,9057.24307798795,93.210077658295,2980.73929192378,1021.34446795791,1346.58814319111,0.56355455568054,1354.57075038831
55041_1,55041,1,Pipeline Natural Gas,Berkshire Power,0.01086,0.106522675724444,0.00432470321680785,4.84666968816145,,,,120,2025,B2,1,1731.33099,736197.593242499,183461.510187761,7447.08396834363,18237753.7233745,MA,Pipeline Natural Gas,"",12,289,25,13,606933,0500000US25013,25013,Hampden,Hampden County,MA,Massachusetts,06,1598035447,44416565,-72.6478|42.0476,"Hampden, MA",12950.251215078,6613.94912745562,77.3445325249682,2306.45362375739,765.512552683019,1070.92429649956,0.436070491188601,1048.69580257694
55042_BE1,55042,BE1,Pipeline Natural Gas,Bridgeport Energy,0.01086,0.130279468990328,0.0044158387045684,4.5451496856166,,,,120,2025,B2,1,1694.37718,740950.80960825,220715.367357197,7481.17403016341,15899841.6710074,CT,Pipeline Natural Gas,"",12,350,9,120,2830245,0500000US09120,9001,Fairfield,Greater Bridgeport Planning Region,CT,Connecticut,PL,363067866,253764138,-73.1844|41.1692,"Fairfield, CT",30174.2836504459,15996.4358806768,255.831915274895,4616.8736337981,1786.85702064093,2298.52085119072,0.87289088863892,2096.76731493062
55042_BE2,55042,BE2,Pipeline Natural Gas,Bridgeport Energy,0.01086,0.126452687627038,0.00431469081792378,4.57081865714997,,,,120,2025,B2,1,1836.50238,784754.672142564,232215.265072768,7923.41429310846,16124551.3643946,CT,Pipeline Natural Gas,"",12,350,9,120,2830245,0500000US09120,9001,Fairfield,Greater Bridgeport Planning Region,CT,Connecticut,PL,363067866,253764138,-73.1844|41.1692,"Fairfield, CT",30174.2836504459,15996.4358806768,255.831915274895,4616.8736337981,1786.85702064093,2298.52085119072,0.87289088863892,2096.76731493062
55048_1,55048,1,Pipeline Natural Gas,"Tiverton Power, LLC",0.01086,0.0776372953659666,0.0042141920506606,5.82266882279321,,,,120,2025,B2,1,2093.56982,873256.454972294,162435.596644956,8817.00128220176,17004859.6377991,RI,Pipeline Natural Gas,"",12,272.5,44,5,1219779,0500000US44005,44005,Newport,Newport County,RI,Rhode Island,06,265293779,547001789,-71.17|41.6417,"Newport, RI",10869.8816094705,6578.25165090563,97.1764639416268,2231.09228437408,763.529359541353,981.680605124597,0.421822272215973,1014.50977899802
55068_1,55068,1,Pipeline Natural Gas,Maine Independence Station,0.01086,0.198975609470099,0.00702507591076798,3.34050948485304,,,,120,2025,B2,1,81.01875,55628.054478498,16015.741671475,561.659719466384,1897695.59926491,ME,Pipeline Natural Gas,"",12,371.2,23,19,581295,0500000US23019,23019,Penobscot,Penobscot County,ME,Maine,06,8798671486,414011334,-68.7106|44.8236,"Penobscot, ME",178.487382749927,412.504173466497,29.7478971249878,374.823503774846,57.5126011083097,71.3949530999707,0.0708661417322835,172.454040317289
55068_2,55068,2,Pipeline Natural Gas,Maine Independence Station,0.01086,0.209194638759059,0.00702832289045814,3.32826874511872,,,,120,2025,B2,1,65.16033,44307.6280568667,13408.5315369761,447.357332334844,1524301.17541188,ME,Pipeline Natural Gas,"",12,371.2,23,19,581295,0500000US23019,23019,Penobscot,Penobscot County,ME,Maine,06,8798671486,414011334,-68.7106|44.8236,"Penobscot, ME",178.487382749927,412.504173466497,29.7478971249878,374.823503774846,57.5126011083097,71.3949530999707,0.0708661417322835,172.454040317289
55079_1,55079,1,Pipeline Natural Gas,Millennium Power,0.01086,0.140332930840131,0.00644244304243183,5.87109948258808,,,,120,2025,B2,1,1207.60376,768178.244396858,168956.718193573,7755.92627816514,20485371.9920137,MA,Pipeline Natural Gas,Diesel Oil,12,360,25,27,606940,0500000US25027,25027,Worcester,Worcester County,MA,Massachusetts,06,3912636723,177350055,-72.0152|42.1127,"Worcester, MA",25775.5612622311,12803.4949225947,45.6134422583146,4620.84002008144,1455.66376598274,2135.89901357412,0.873640794900637,2098.56657932952
55100_1,55100,1,Pipeline Natural Gas,Rumford Power,0.01086,0.16002248817406,0.0043765845426975,4.70226273380671,,,,120,2025,B2,1,1256.7117,514047.899318168,190999.881272734,5190.21418305956,14005120.8695673,ME,Pipeline Natural Gas,"",12,272.9,23,17,581294,0500000US23017,23017,Oxford,Oxford County,ME,Maine,06,5379296162,255883190,-70.5219|44.5303,"Oxford, ME",618.756260199746,1336.67217748278,77.3445325249682,967.798253132936,164.605030758266,210.21847301658,0.182977127859018,441.444067951411
55107_RISEP1,55107,RISEP1,Pipeline Natural Gas,Rhode Island State Energy Center,0.01086,0.046178637563448,0.00405522201861036,4.20926709206178,,,,185,2025,B2,1,2022.67368,812026.801520649,93362.934059922,8198.71638478015,19497214.4886988,RI,Pipeline Natural Gas,"",12,400,44,7,1219781,0500000US44007,44007,Providence,Providence County,RI,Rhode Island,06,1060557969,67864689,-71.5186|41.8017,"Providence, RI",17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,0.594300712410949,1428.34059074282
55107_RISEP2,55107,RISEP2,Pipeline Natural Gas,Rhode Island State Energy Center,0.01086,0.0454323517893002,0.0040814899789142,4.1843749379984,,,,185,2025,B2,1,1929.10735,779518.399672484,87609.2663804152,7870.49626587632,19358073.7643397,RI,Pipeline Natural Gas,"",12,400,44,7,1219781,0500000US44007,44007,Providence,Providence County,RI,Rhode Island,06,1060557969,67864689,-71.5186|41.8017,"Providence, RI",17091.1584948763,9824.73882381263,113.042009074954,3143.36112954038,1118.52093189954,1642.08392129933,0.594300712410949,1428.34059074282
55126_CT01,55126,CT01,Pipeline Natural Gas,Milford Power Company LLC,0.01086,0.0537507457645427,0.00425114940731718,5.85113735966145,,,,120,2025,B2,1,2150.95393,905557.301181069,115603.414962549,9143.0636167876,18635523.1,CT,Pipeline Natural Gas,Diesel Oil,12,289,9,170,2830252,0500000US09170,9009,New Haven,South Central Connecticut Planning Region,CT,Connecticut,PL,951177351,653525530,-73.1|41.2239,"New Haven, CT",20654.9565704499,10322.5203023708,85.2773050916317,3095.7644941404,1152.23521530786,1378.31923345777,0.585301837270341,1406.74941795614
55126_CT02,55126,CT02,Pipeline Natural Gas,Milford Power Company LLC,0.01086,0.0504264680152458,0.00420407720590185,5.70037350691561,,,,120,2025,B2,1,2093.56915,871633.617861557,105559.752146356,8800.55248979178,18235033.0398699,CT,Pipeline Natural Gas,Diesel Oil,12,289,9,170,2830252,0500000US09170,9009,New Haven,South Central Connecticut Planning Region,CT,Connecticut,PL,951177351,653525530,-73.1|41.2239,"New Haven, CT",20654.9565704499,10322.5203023708,85.2773050916317,3095.7644941404,1152.23521530786,1378.31923345777,0.585301837270341,1406.74941795614
55149_LRG1,55149,LRG1,Pipeline Natural Gas,Lake Road Generating Company,0.01086,0.0799124205872084,0.00672815656270523,5.76363212167193,,,,120,2025,B2,1,737.42147,491323.291091691,58922.1056170971,4960.88881922068,14388841.2408156,CT,Pipeline Natural Gas,Diesel Oil,12,280,9,150,2830250,0500000US09150,9015,Windham,Northeastern Connecticut Planning Region,CT,Connecticut,PL,1434581261,23987846,-71.8947|41.8736,"Windham, CT",9773.17580212932,6689.31046683892,148.739485624939,2901.41156625714,767.495745824685,1068.94110335789,0.548556430446194,1318.58546241051
55149_LRG2,55149,LRG2,Pipeline Natural Gas,Lake Road Generating Company,0.01086,0.0762183801784885,0.00667598916760231,5.83744878097361,,,,120,2025,B2,1,820.07332,542152.454743932,62497.1535380056,5474.14189058346,15342587.3553279,CT,Pipeline Natural Gas,Diesel Oil,12,280,9,150,2830250,0500000US09150,9015,Windham,Northeastern Connecticut Planning Region,CT,Connecticut,PL,1434581261,23987846,-71.8947|41.8736,"Windham, CT",9773.17580212932,6689.31046683892,148.739485624939,2901.41156625714,767.495745824685,1068.94110335789,0.548556430446194,1318.58546241051
