"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"B2","FOM","Offshore Wind","Advanced",10084478465.0696
"B2","FOM","Offshore Wind","Moderate",10985098947.9248
"B2","FOM","Offshore Wind","Conservative",12522927333.037
"B2","CAPEX","Storage","Advanced",12767417269.3243
"B2","CAPEX","Storage","Moderate",16261741137.0108
"B2","CAPEX","Storage","Conservative",22109430638.8217
"B2","FOM","Storage","Advanced",4806881463.91297
"B2","FOM","Storage","Moderate",6233956301.36815
"B2","FOM","Storage","Conservative",8690997002.62831
"B2","CAPEX","Nuclear","Advanced",0
"B2","CAPEX","Nuclear","Moderate",0
"B2","CAPEX","Nuclear","Conservative",0
"B2","FOM","Nuclear","Advanced",3260967839.42754
"B2","FOM","Nuclear","Moderate",4529121999.20492
"B2","FOM","Nuclear","Conservative",5279662216.21602
"B2","CAPEX","SMR","Advanced",0
"B2","CAPEX","SMR","Moderate",0
"B2","CAPEX","SMR","Conservative",0
"B2","FOM","SMR","Advanced",0
"B2","FOM","SMR","Moderate",0
"B2","FOM","SMR","Conservative",0
"B2","CAPEX","Hydropower","Advanced",0
"B2","CAPEX","Hydropower","Moderate",0
"B2","CAPEX","Hydropower","Conservative",0
"B2","FOM","Hydropower","Advanced",975607085.34568
"B2","FOM","Hydropower","Moderate",1649696124.64149
"B2","FOM","Hydropower","Conservative",1649696124.64149
"B2","CAPEX","Biomass","Advanced",0
"B2","CAPEX","Biomass","Moderate",0
"B2","CAPEX","Biomass","Conservative",0
"B2","FOM","Biomass","Advanced",774191251.410742
"B2","FOM","Biomass","Moderate",774191251.410742
"B2","FOM","Biomass","Conservative",774191251.410742
"B3","CAPEX","Solar","Advanced",24134425320.937
"B3","CAPEX","Solar","Moderate",28154174606.8306
"B3","CAPEX","Solar","Conservative",33949926118.7054
"B3","FOM","Solar","Advanced",5057628893.389
"B3","FOM","Solar","Moderate",5671913868.01498
"B3","FOM","Solar","Conservative",6522975642.21934
"B3","CAPEX","Onshore Wind","Advanced",6416594217.49994
"B3","CAPEX","Onshore Wind","Moderate",6770512898.22541
"B3","CAPEX","Onshore Wind","Conservative",7635949489.49141
"B3","FOM","Onshore Wind","Advanced",1966731058.65027
"B3","FOM","Onshore Wind","Moderate",2389104117.02807
"B3","FOM","Onshore Wind","Conservative",2568193298.86186
"B3","CAPEX","Offshore Wind","Advanced",35092386228.5861
"B3","CAPEX","Offshore Wind","Moderate",44104151986.0158
"B3","CAPEX","Offshore Wind","Conservative",58143049171.1416
"B3","FOM","Offshore Wind","Advanced",6961834490.60685
