Year,Simulation,Pathway,total_NOx_USD,total_SO2_USD,total_PM2.5_USD,total_PM10_USD,total_CO_USD,total_VOC_USD,total_air_emission_USD
2026,10,A,68042.9510550047,920784.212196232,26156732.8451036,140567.304548893,12538571.4281813,653832.615892764,40478531.3569777
2027,10,A,69909.6575544853,934310.343032481,27355247.4277386,142565.374819005,13054940.9798896,680986.622557164,42237960.4055913
2028,10,A,71837.0105745117,951244.889285217,28404724.1999382,144940.168714404,13516125.7495884,705210.074333354,43794082.0924341
2029,10,A,73354.7921453776,953891.283775821,29423984.8120726,146167.903891325,13964085.6312653,727999.830229588,45289484.25338
2030,10,A,74110.5584216735,956477.272428648,30180771.4263174,145614.441186278,14287362.4648388,744089.664694324,46388425.8278871
2031,10,A,76184.5174341742,970412.725021041,31031490.702714,147518.539022063,14657983.6582994,763742.530036958,47647332.6725276
2032,10,A,77977.4961162469,981555.01554247,31941502.1368357,149399.2112909,15058064.941505,784604.328215625,48993103.1295059
2033,10,A,79163.6732016549,983512.264049436,32481740.8608557,150338.477801028,15290572.4005112,796827.46590052,49782155.1423196
2034,10,A,80454.3276774513,985350.338851005,33147910.6402707,151208.159827753,15579854.9947856,811751.189717422,50756529.65113
2035,10,A,82478.2061797352,1001472.65262799,33677746.7452347,152590.072233399,15811167.6722949,824131.914283288,51549587.262854
2036,10,A,83904.3493392512,1015804.09071302,34135752.0133263,154491.410912624,16009449.0015842,835163.811785078,52234564.6776605
2037,10,A,85055.5401473545,1019268.89759097,34424485.5976049,154507.71619558,16129944.6437995,841347.206741046,52654609.6020794
2038,10,A,85869.2613608269,1022958.80139578,34671854.0832329,155256.269698535,16236771.3496272,847104.639583221,53019814.4048984
2039,10,A,86736.0153212224,1028856.24081746,34915569.257572,155787.875854129,16343898.4333241,852724.586496665,53383572.4093856
2040,10,A,87202.5728992236,1024032.79072308,35158010.8916098,156282.222910998,16450140.8127298,858167.386740982,53733836.6776139
2041,10,A,87755.4983515919,1029700.7176168,35215829.2546966,156510.78417755,16471186.7635244,859485.424464361,53820468.4428313
2042,10,A,88777.7394686003,1043901.21412892,35361167.7385062,157748.963349856,16529987.9510835,863482.604909179,54045066.2114462
2043,10,A,88986.8298738397,1040117.92832661,35446497.2207213,157770.051676932,16567618.0965696,865259.120702919,54166249.2478713
2044,10,A,89226.8511127177,1041603.88079091,35577448.1423086,158446.26543328,16628308.6737823,868512.420527731,54363546.2339556
2045,10,A,88508.1070745068,1033631.28542058,35428806.9973296,156776.937001317,16560579.0073772,864318.344026216,54132620.6782294
2046,10,A,87003.8671487562,1023539.29760358,35234546.2370994,154754.847097741,16478141.8491129,858901.34097778,53836887.4390401
2047,10,A,86691.9282277755,1019319.5036991,35233130.09793,153770.833035761,16477639.5671145,858217.118827988,53828769.0488351
2048,10,A,85789.1196938013,1009739.40919557,35204622.9911334,152963.462855747,16469438.46714,857106.095884255,53779659.5459027
2049,10,A,86031.6573948374,1017076.38778437,35132232.3469375,153165.102533666,16433978.0687105,855771.395323285,53678254.9586842
2050,10,A,83712.8490114606,1003663.83651496,34757893.6257678,150526.06737677,16272940.8196976,846055.773714034,53114792.9720826
2025,10,B1,106958.177081584,393585.835232071,32075818.2300532,155406.627601812,15487809.3304278,784348.947101594,49003927.147498
2026,10,B1,73852.3773722484,346694.025454607,27339379.2093229,143121.845541847,13420847.8902594,674517.149918022,41998412.4978691
2027,10,B1,71560.5898996152,329785.112934811,27074632.9568489,140869.634367096,13288735.8154934,668290.169463044,41573874.2790068
2028,10,B1,69197.4963715982,235947.316368768,26727172.5731664,128179.485024159,13135005.6602179,658165.954519055,40953668.4856678
2029,10,B1,65251.6390043024,215992.838622531,26353163.8894661,126383.193988438,12972739.6069193,648957.937335257,40382489.1053359
2030,10,B1,63986.060056713,199561.851327829,26353697.9271747,123705.571885319,12154446.9178038,637952.659609517,39533350.9878579
2031,1,B1,42120.8523279182,30171.6237308852,21586583.2300117,1889.00432532246,10199583.2962653,474709.844769164,32335057.8514303
2032,1,B1,42490.1026334519,29952.2123903313,21492110.7067867,1730.95794463994,10170245.148312,472871.731993278,32209400.8600604
2033,1,B1,40635.4027722126,28891.9313946722,21038384.8432096,1667.91543513589,9958256.75199551,462879.52998427,31530716.3747914
2034,1,B1,38937.4374342454,27644.9157213208,20485467.8138114,1585.34247861685,9733140.71412097,450930.847690599,30737707.0712571
2035,1,B1,38260.7641424985,27449.2136078734,19925627.446498,1537.76517819499,9479102.94010391,438484.711859166,29910462.8413896
2036,1,B1,37263.4480873298,26472.027570908,19924022.8778559,1401.66775476149,9469566.97536806,438370.711947287,29897097.7085842
2037,1,B1,35721.9784788096,25620.7194630128,19046273.6597444,1440.52714134821,9068979.79890412,419022.921030534,28597059.6047622
2038,1,B1,34131.0852511312,24166.5403112704,18510295.4867728,1264.85427255716,8829676.30439011,407201.920041668,27806736.1910395
2039,1,B1,33566.0735135731,24118.7062429538,18100277.0885551,1222.33198776843,8634053.06271721,397971.964627712,27191209.2276443
2040,1,B1,32452.796399587,23150.1175276816,17823356.9409111,1138.26477878289,8511912.40417924,391872.042108656,26783882.565905
2041,1,B1,20579.2183680281,14932.9159865232,13289711.8800738,767.863348681251,6392112.3930214,290649.121033977,20008753.3918324
