Year,Simulation,Pathway,total_CO2_tons
2038,324,A,0
2039,324,A,0
2040,324,A,0
2041,324,A,0
2042,324,A,0
2043,324,A,0
2044,324,A,0
2045,324,A,0
2046,324,A,0
2047,324,A,0
2048,324,A,0
2049,324,A,0
2050,324,A,0
2025,324,B1,0
2026,324,B1,0
2027,324,B1,0
2028,324,B1,0
2029,324,B1,0
2030,324,B1,0
2031,324,B1,0
2032,324,B1,0
2033,324,B1,0
2034,324,B1,0
2035,324,B1,0
2036,324,B1,0
2037,324,B1,0
2038,324,B1,0
2039,324,B1,0
2040,324,B1,0
2041,324,B1,0
2042,324,B1,0
2043,324,B1,0
2044,324,B1,0
2045,324,B1,0
2046,324,B1,0
2047,324,B1,0
2048,324,B1,0
2049,324,B1,0
2050,324,B1,0
2025,324,B2,0
2026,324,B2,0
2027,324,B2,0
2028,324,B2,0
2029,324,B2,0
2030,324,B2,0
2031,324,B2,0
2032,324,B2,0
2033,324,B2,0
2034,324,B2,0
2035,324,B2,0
2036,324,B2,0
2037,324,B2,0
2038,324,B2,0
2039,324,B2,0
2040,324,B2,0
2041,324,B2,0
2042,324,B2,0
2043,324,B2,0
2044,324,B2,0
2045,324,B2,0
2046,324,B2,0
2047,324,B2,0
2048,324,B2,0
2049,324,B2,0
2050,324,B2,0
2025,324,B3,0
2026,324,B3,0
2027,324,B3,0
2028,324,B3,0
2029,324,B3,0
2030,324,B3,0
2031,324,B3,0
2032,324,B3,0
2033,324,B3,0
2034,324,B3,0
2035,324,B3,0
2036,324,B3,0
2037,324,B3,0
2038,324,B3,0
2039,324,B3,0
2040,324,B3,0
2041,324,B3,0
2042,324,B3,0
2043,324,B3,0
2044,324,B3,0
2045,324,B3,0
2046,324,B3,0
2047,324,B3,0
2048,324,B3,0
2049,324,B3,0
2050,324,B3,0
2025,324,C1,0
2026,324,C1,0
2027,324,C1,0
2028,324,C1,0
2029,324,C1,0
2030,324,C1,0
2031,324,C1,0
2032,324,C1,0
2033,324,C1,0
2034,324,C1,0
2035,324,C1,0
2036,324,C1,0
2037,324,C1,0
2038,324,C1,0
2039,324,C1,0
2040,324,C1,0
2041,324,C1,0
2042,324,C1,0
2043,324,C1,0
2044,324,C1,0
2045,324,C1,0
2046,324,C1,0
2047,324,C1,0
2048,324,C1,0
2049,324,C1,0
2050,324,C1,0
2025,324,C2,0
2026,324,C2,0
2027,324,C2,0
2028,324,C2,0
2029,324,C2,0
2030,324,C2,0
2031,324,C2,0
2032,324,C2,0
2033,324,C2,0
2034,324,C2,0
2035,324,C2,0
2036,324,C2,0
2037,324,C2,0
2038,324,C2,0
2039,324,C2,0
2040,324,C2,0
2041,324,C2,0
2042,324,C2,0
2043,324,C2,0
2044,324,C2,0
2045,324,C2,0
2046,324,C2,0
2047,324,C2,0
2048,324,C2,0
2049,324,C2,0
2050,324,C2,0
2025,324,C3,0
2026,324,C3,0
2027,324,C3,0
2028,324,C3,0
2029,324,C3,0
2030,324,C3,0
2031,324,C3,0
2032,324,C3,0
2033,324,C3,0
2034,324,C3,0
2035,324,C3,0
2036,324,C3,0
2037,324,C3,0
2038,324,C3,0
2039,324,C3,0
2040,324,C3,0
2041,324,C3,0
2042,324,C3,0
2043,324,C3,0
2044,324,C3,0
2045,324,C3,0
2046,324,C3,0
2047,324,C3,0
2048,324,C3,0
2049,324,C3,0
2050,324,C3,0
2025,324,D,0
2026,324,D,0
2027,324,D,0
2028,324,D,0
2029,324,D,0
2030,324,D,0
2031,324,D,0
2032,324,D,0
2033,324,D,0
2034,324,D,0
2035,324,D,0
2036,324,D,0
2037,324,D,0
2038,324,D,0
2039,324,D,0
2040,324,D,0
2041,324,D,0
2042,324,D,0
2043,324,D,0
2044,324,D,0
2045,324,D,0
2046,324,D,0
2047,324,D,0
2048,324,D,0
2049,324,D,0
2050,324,D,0
2025,325,A,0
2026,325,A,0
2027,325,A,0
2028,325,A,0
2029,325,A,0
2030,325,A,0
2031,325,A,0
2032,325,A,0
2033,325,A,0
2034,325,A,0
2035,325,A,0
2036,325,A,0
2037,325,A,0
2038,325,A,0
2039,325,A,0
2040,325,A,0
2041,325,A,0
2042,325,A,0
2043,325,A,0
2044,325,A,0
2045,325,A,0
2046,325,A,0
2047,325,A,0
2048,325,A,0
2049,325,A,0
2050,325,A,0
2025,325,B1,0
2026,325,B1,0
2027,325,B1,0
2028,325,B1,0
2029,325,B1,0
2030,325,B1,0
2031,325,B1,0
2032,325,B1,0
2033,325,B1,0
2034,325,B1,0
2035,325,B1,0
2036,325,B1,0
2037,325,B1,0
2038,325,B1,0
2039,325,B1,0
2040,325,B1,0
2041,325,B1,0
2042,325,B1,0
2043,325,B1,0
2044,325,B1,0
2045,325,B1,0
2046,325,B1,0
2047,325,B1,0
2048,325,B1,0
2049,325,B1,0
2050,325,B1,0
2025,325,B2,0
2026,325,B2,0
2027,325,B2,0
2028,325,B2,0
2029,325,B2,0
2030,325,B2,0
2031,325,B2,0
2032,325,B2,0
2033,325,B2,0
2034,325,B2,0
2035,325,B2,0
2036,325,B2,0
2037,325,B2,0
2038,325,B2,0
2039,325,B2,0
2040,325,B2,0
2041,325,B2,0
2042,325,B2,0
2043,325,B2,0
2044,325,B2,0
2045,325,B2,0
2046,325,B2,0
2047,325,B2,0
2048,325,B2,0
2049,325,B2,0
2050,325,B2,0
2025,325,B3,0
2026,325,B3,0
2027,325,B3,0
2028,325,B3,0
2029,325,B3,0
2030,325,B3,0
2031,325,B3,0
2032,325,B3,0
2033,325,B3,0
2034,325,B3,0
2035,325,B3,0
2036,325,B3,0
2037,325,B3,0
2038,325,B3,0
2039,325,B3,0
2040,325,B3,0
2041,325,B3,0
2042,325,B3,0
2043,325,B3,0
2044,325,B3,0
2045,325,B3,0
2046,325,B3,0
2047,325,B3,0
2048,325,B3,0
2049,325,B3,0
2050,325,B3,0
2025,325,C1,0
2026,325,C1,0
2027,325,C1,0
2028,325,C1,0
2029,325,C1,0
2030,325,C1,0
2031,325,C1,0
2032,325,C1,0
2033,325,C1,0
2034,325,C1,0
2035,325,C1,0
2036,325,C1,0
2037,325,C1,0
2038,325,C1,0
2039,325,C1,0
2040,325,C1,0
2041,325,C1,0
2042,325,C1,0
2043,325,C1,0
2044,325,C1,0
2045,325,C1,0
2046,325,C1,0
2047,325,C1,0
2048,325,C1,0
2049,325,C1,0
2050,325,C1,0
2025,325,C2,0
2026,325,C2,0
2027,325,C2,0
2028,325,C2,0
2029,325,C2,0
2030,325,C2,0
2031,325,C2,0
2032,325,C2,0
2033,325,C2,0
2034,325,C2,0
2035,325,C2,0
2036,325,C2,0
2037,325,C2,0
2038,325,C2,0
2039,325,C2,0
2040,325,C2,0
2041,325,C2,0
2042,325,C2,0
2043,325,C2,0
2044,325,C2,0
2045,325,C2,0
2046,325,C2,0
2047,325,C2,0
2048,325,C2,0
2049,325,C2,0
2050,325,C2,0
2025,325,C3,0
2026,325,C3,0
2027,325,C3,0
2028,325,C3,0
2029,325,C3,0
2030,325,C3,0
2031,325,C3,0
2032,325,C3,0
2033,325,C3,0
2034,325,C3,0
2035,325,C3,0
2036,325,C3,0
2037,325,C3,0
2038,325,C3,0
2039,325,C3,0
2040,325,C3,0
2041,325,C3,0
2042,325,C3,0
2043,325,C3,0
2044,325,C3,0
2045,325,C3,0
2046,325,C3,0
2047,325,C3,0
2048,325,C3,0
2049,325,C3,0
2050,325,C3,0
2025,325,D,0
2026,325,D,0
2027,325,D,0
2028,325,D,0
2029,325,D,0
2030,325,D,0
2031,325,D,0
2032,325,D,0
2033,325,D,0
2034,325,D,0
2035,325,D,0
2036,325,D,0
2037,325,D,0
2038,325,D,0
2039,325,D,0
2040,325,D,0
2041,325,D,0
2042,325,D,0
2043,325,D,0
2044,325,D,0
2045,325,D,0
2046,325,D,0
2047,325,D,0
2048,325,D,0
2049,325,D,0
2050,325,D,0
2025,326,A,0
2026,326,A,0
2027,326,A,0
2028,326,A,0
2029,326,A,0
2030,326,A,0
2031,326,A,0
2032,326,A,0
2033,326,A,0
2034,326,A,0
2035,326,A,0
2036,326,A,0
2037,326,A,0
2038,326,A,0
2039,326,A,0
2040,326,A,0
2041,326,A,0
2042,326,A,0
2043,326,A,0
2044,326,A,0
2045,326,A,0
2046,326,A,0
2047,326,A,0
2048,326,A,0
2049,326,A,0
2050,326,A,0
2025,326,B1,0
2026,326,B1,0
2027,326,B1,0
2028,326,B1,0
2029,326,B1,0
2030,326,B1,0
2031,326,B1,0
2032,326,B1,0
2033,326,B1,0
2034,326,B1,0
2035,326,B1,0
2036,326,B1,0
2037,326,B1,0
2038,326,B1,0
2039,326,B1,0
2040,326,B1,0
2041,326,B1,0
2042,326,B1,0
2043,326,B1,0
2044,326,B1,0
2045,326,B1,0
2046,326,B1,0
2047,326,B1,0
2048,326,B1,0
2049,326,B1,0
2050,326,B1,0
2025,326,B2,0
2026,326,B2,0
2027,326,B2,0
2028,326,B2,0
2029,326,B2,0
2030,326,B2,0
2031,326,B2,0
2032,326,B2,0
2033,326,B2,0
2034,326,B2,0
2035,326,B2,0
2036,326,B2,0
2037,326,B2,0
2038,326,B2,0
2039,326,B2,0
2040,326,B2,0
2041,326,B2,0
2042,326,B2,0
2043,326,B2,0
2044,326,B2,0
2045,326,B2,0
2046,326,B2,0
2047,326,B2,0
2048,326,B2,0
2049,326,B2,0
2050,326,B2,0
2025,326,B3,0
2026,326,B3,0
2027,326,B3,0
2028,326,B3,0
2029,326,B3,0
2030,326,B3,0
2031,326,B3,0
2032,326,B3,0
2033,326,B3,0
2034,326,B3,0
2035,326,B3,0
2036,326,B3,0
2037,326,B3,0
2038,326,B3,0
2039,326,B3,0
2040,326,B3,0
2041,326,B3,0
2042,326,B3,0
2043,326,B3,0
2044,326,B3,0
2045,326,B3,0
2046,326,B3,0
2047,326,B3,0
2048,326,B3,0
2049,326,B3,0
2050,326,B3,0
2025,326,C1,0
2026,326,C1,0
2027,326,C1,0
2028,326,C1,0
2029,326,C1,0
2030,326,C1,0
2031,326,C1,0
2032,326,C1,0
2033,326,C1,0
2034,326,C1,0
2035,326,C1,0
2036,326,C1,0
2037,326,C1,0
2038,326,C1,0
2039,326,C1,0
2040,326,C1,0
2041,326,C1,0
2042,326,C1,0
2043,326,C1,0
2044,326,C1,0
2045,326,C1,0
2046,326,C1,0
2047,326,C1,0
2048,326,C1,0
2049,326,C1,0
2050,326,C1,0
2025,326,C2,0
2026,326,C2,0
2027,326,C2,0
2028,326,C2,0
2029,326,C2,0
2030,326,C2,0
2031,326,C2,0
2032,326,C2,0
2033,326,C2,0
2034,326,C2,0
2035,326,C2,0
2036,326,C2,0
2037,326,C2,0
2038,326,C2,0
2039,326,C2,0
2040,326,C2,0
2041,326,C2,0
2042,326,C2,0
2043,326,C2,0
2044,326,C2,0
2045,326,C2,0
2046,326,C2,0
2047,326,C2,0
2048,326,C2,0
2049,326,C2,0
2050,326,C2,0
2025,326,C3,0
2026,326,C3,0
2027,326,C3,0
2028,326,C3,0
2029,326,C3,0
2030,326,C3,0
2031,326,C3,0
2032,326,C3,0
2033,326,C3,0
2034,326,C3,0
2035,326,C3,0
2036,326,C3,0
2037,326,C3,0
2038,326,C3,0
2039,326,C3,0
2040,326,C3,0
2041,326,C3,0
2042,326,C3,0
2043,326,C3,0
2044,326,C3,0
2045,326,C3,0
2046,326,C3,0
2047,326,C3,0
2048,326,C3,0
2049,326,C3,0
2050,326,C3,0
2025,326,D,0
2026,326,D,0
2027,326,D,0
2028,326,D,0
2029,326,D,0
2030,326,D,0
2031,326,D,0
2032,326,D,0
2033,326,D,0
2034,326,D,0
2035,326,D,0
2036,326,D,0
2037,326,D,0
2038,326,D,0
2039,326,D,0
2040,326,D,0
2041,326,D,0
2042,326,D,0
2043,326,D,0
2044,326,D,0
2045,326,D,0
2046,326,D,0
2047,326,D,0
2048,326,D,0
2049,326,D,0
2050,326,D,0
2025,327,A,0
2026,327,A,0
2027,327,A,0
2028,327,A,0
2029,327,A,0
2030,327,A,0
2031,327,A,0
2032,327,A,0
2033,327,A,0
2034,327,A,0
2035,327,A,0
2036,327,A,0
2037,327,A,0
2038,327,A,0
2039,327,A,0
2040,327,A,0
2041,327,A,0
2042,327,A,0
2043,327,A,0
2044,327,A,0
2045,327,A,0
2046,327,A,0
2047,327,A,0
2048,327,A,0
2049,327,A,0
2050,327,A,0
2025,327,B1,0
2026,327,B1,0
2027,327,B1,0
2028,327,B1,0
2029,327,B1,0
2030,327,B1,0
2031,327,B1,0
2032,327,B1,0
2033,327,B1,0
2034,327,B1,0
2035,327,B1,0
2036,327,B1,0
2037,327,B1,0
2038,327,B1,0
2039,327,B1,0
2040,327,B1,0
2041,327,B1,0
2042,327,B1,0
2043,327,B1,0
2044,327,B1,0
2045,327,B1,0
2046,327,B1,0
2047,327,B1,0
2048,327,B1,0
2049,327,B1,0
2050,327,B1,0
2025,327,B2,0
2026,327,B2,0
2027,327,B2,0
2028,327,B2,0
2029,327,B2,0
2030,327,B2,0
2031,327,B2,0
2032,327,B2,0
2033,327,B2,0
2034,327,B2,0
2035,327,B2,0
2036,327,B2,0
2037,327,B2,0
2038,327,B2,0
2039,327,B2,0
2040,327,B2,0
2041,327,B2,0
2042,327,B2,0
2043,327,B2,0
2044,327,B2,0
2045,327,B2,0
2046,327,B2,0
2047,327,B2,0
2048,327,B2,0
2049,327,B2,0
2050,327,B2,0
2025,327,B3,0
2026,327,B3,0
2027,327,B3,0
2028,327,B3,0
2029,327,B3,0
2030,327,B3,0
2031,327,B3,0
2032,327,B3,0
2033,327,B3,0
2034,327,B3,0
2035,327,B3,0
2036,327,B3,0
2037,327,B3,0
2038,327,B3,0
2039,327,B3,0
2040,327,B3,0
2041,327,B3,0
2042,327,B3,0
2043,327,B3,0
2044,327,B3,0
2045,327,B3,0
2046,327,B3,0
2047,327,B3,0
2048,327,B3,0
2049,327,B3,0
2050,327,B3,0
2025,327,C1,0
2026,327,C1,0
2027,327,C1,0
2028,327,C1,0
2029,327,C1,0
2030,327,C1,0
2031,327,C1,0
2032,327,C1,0
2033,327,C1,0
2034,327,C1,0
2035,327,C1,0
2036,327,C1,0
2037,327,C1,0
2038,327,C1,0
2039,327,C1,0
2040,327,C1,0
2041,327,C1,0
2042,327,C1,0
2043,327,C1,0
2044,327,C1,0
2045,327,C1,0
2046,327,C1,0
2047,327,C1,0
2048,327,C1,0
2049,327,C1,0
2050,327,C1,0
2025,327,C2,0
2026,327,C2,0
2027,327,C2,0
2028,327,C2,0
2029,327,C2,0
2030,327,C2,0
2031,327,C2,0
2032,327,C2,0
2033,327,C2,0
2034,327,C2,0
2035,327,C2,0
2036,327,C2,0
2037,327,C2,0
2038,327,C2,0
2039,327,C2,0
2040,327,C2,0
2041,327,C2,0
2042,327,C2,0
2043,327,C2,0
2044,327,C2,0
2045,327,C2,0
2046,327,C2,0
2047,327,C2,0
2048,327,C2,0
2049,327,C2,0
2050,327,C2,0
2025,327,C3,0
2026,327,C3,0
2027,327,C3,0
2028,327,C3,0
2029,327,C3,0
2030,327,C3,0
2031,327,C3,0
2032,327,C3,0
2033,327,C3,0
2034,327,C3,0
2035,327,C3,0
2036,327,C3,0
2037,327,C3,0
2038,327,C3,0
2039,327,C3,0
2040,327,C3,0
2041,327,C3,0
2042,327,C3,0
2043,327,C3,0
2044,327,C3,0
2045,327,C3,0
2046,327,C3,0
2047,327,C3,0
2048,327,C3,0
2049,327,C3,0
2050,327,C3,0
2025,327,D,0
2026,327,D,0
2027,327,D,0
2028,327,D,0
2029,327,D,0
2030,327,D,0
2031,327,D,0
2032,327,D,0
2033,327,D,0
2034,327,D,0
2035,327,D,0
2036,327,D,0
2037,327,D,0
2038,327,D,0
2039,327,D,0
2040,327,D,0
2041,327,D,0
2042,327,D,0
2043,327,D,0
2044,327,D,0
2045,327,D,0
2046,327,D,0
2047,327,D,0
2048,327,D,0
2049,327,D,0
2050,327,D,0
2025,328,A,0
2026,328,A,0
2027,328,A,0
2028,328,A,0
2029,328,A,0
2030,328,A,0
2031,328,A,0
2032,328,A,0
2033,328,A,0
2034,328,A,0
2035,328,A,0
2036,328,A,0
2037,328,A,0
2038,328,A,0
2039,328,A,0
2040,328,A,0
2041,328,A,0
2042,328,A,0
2043,328,A,0
2044,328,A,0
2045,328,A,0
2046,328,A,0
2047,328,A,0
2048,328,A,0
2049,328,A,0
2050,328,A,0
2025,328,B1,0
2026,328,B1,0
2027,328,B1,0
2028,328,B1,0
2029,328,B1,0
2030,328,B1,0
2031,328,B1,0
2032,328,B1,0
2033,328,B1,0
2034,328,B1,0
2035,328,B1,0
2036,328,B1,0
2037,328,B1,0
2038,328,B1,0
2039,328,B1,0
2040,328,B1,0
2041,328,B1,0
2042,328,B1,0
2043,328,B1,0
2044,328,B1,0
2045,328,B1,0
2046,328,B1,0
2047,328,B1,0
2048,328,B1,0
2049,328,B1,0
2050,328,B1,0
2025,328,B2,0
2026,328,B2,0
2027,328,B2,0
2028,328,B2,0
2029,328,B2,0
2030,328,B2,0
2031,328,B2,0
2032,328,B2,0
2033,328,B2,0
2034,328,B2,0
2035,328,B2,0
2036,328,B2,0
2037,328,B2,0
2038,328,B2,0
2039,328,B2,0
2040,328,B2,0
2041,328,B2,0
2042,328,B2,0
2043,328,B2,0
2044,328,B2,0
2045,328,B2,0
2046,328,B2,0
2047,328,B2,0
2048,328,B2,0
2049,328,B2,0
2050,328,B2,0
2025,328,B3,0
2026,328,B3,0
2027,328,B3,0
2028,328,B3,0
2029,328,B3,0
2030,328,B3,0
2031,328,B3,0
2032,328,B3,0
2033,328,B3,0
2034,328,B3,0
2035,328,B3,0
2036,328,B3,0
2037,328,B3,0
2038,328,B3,0
2039,328,B3,0
2040,328,B3,0
2041,328,B3,0
2042,328,B3,0
2043,328,B3,0
2044,328,B3,0
2045,328,B3,0
2046,328,B3,0
2047,328,B3,0
2048,328,B3,0
2049,328,B3,0
2050,328,B3,0
2025,328,C1,0
2026,328,C1,0
2027,328,C1,0
2028,328,C1,0
2029,328,C1,0
2030,328,C1,0
2031,328,C1,0
2032,328,C1,0
2033,328,C1,0
2034,328,C1,0
2035,328,C1,0
2036,328,C1,0
2037,328,C1,0
2038,328,C1,0
2039,328,C1,0
2040,328,C1,0
2041,328,C1,0
2042,328,C1,0
2043,328,C1,0
2044,328,C1,0
2045,328,C1,0
2046,328,C1,0
2047,328,C1,0
2048,328,C1,0
2049,328,C1,0
2050,328,C1,0
2025,328,C2,0
2026,328,C2,0
2027,328,C2,0
2028,328,C2,0
2029,328,C2,0
2030,328,C2,0
2031,328,C2,0
2032,328,C2,0
2033,328,C2,0
2034,328,C2,0
2035,328,C2,0
2036,328,C2,0
2037,328,C2,0
2038,328,C2,0
2039,328,C2,0
2040,328,C2,0
2041,328,C2,0
2042,328,C2,0
2043,328,C2,0
2044,328,C2,0
2045,328,C2,0
2046,328,C2,0
2047,328,C2,0
2048,328,C2,0
2049,328,C2,0
2050,328,C2,0
2025,328,C3,0
2026,328,C3,0
2027,328,C3,0
2028,328,C3,0
2029,328,C3,0
2030,328,C3,0
2031,328,C3,0
2032,328,C3,0
2033,328,C3,0
2034,328,C3,0
2035,328,C3,0
2036,328,C3,0
2037,328,C3,0
2038,328,C3,0
2039,328,C3,0
2040,328,C3,0
2041,328,C3,0
2042,328,C3,0
2043,328,C3,0
2044,328,C3,0
2045,328,C3,0
2046,328,C3,0
2047,328,C3,0
2048,328,C3,0
2049,328,C3,0
2050,328,C3,0
2025,328,D,0
2026,328,D,0
2027,328,D,0
2028,328,D,0
2029,328,D,0
2030,328,D,0
2031,328,D,0
2032,328,D,0
2033,328,D,0
2034,328,D,0
2035,328,D,0
2036,328,D,0
2037,328,D,0
2038,328,D,0
2039,328,D,0
2040,328,D,0
2041,328,D,0
2042,328,D,0
2043,328,D,0
2044,328,D,0
2045,328,D,0
2046,328,D,0
2047,328,D,0
2048,328,D,0
2049,328,D,0
2050,328,D,0
2025,329,A,0
2026,329,A,0
2027,329,A,0
2028,329,A,0
2029,329,A,0
2030,329,A,0
2031,329,A,0
2032,329,A,0
2033,329,A,0
2034,329,A,0
2035,329,A,0
2036,329,A,0
2037,329,A,0
2038,329,A,0
2039,329,A,0
2040,329,A,0
2041,329,A,0
2042,329,A,0
2043,329,A,0
2044,329,A,0
2045,329,A,0
2046,329,A,0
2047,329,A,0
2048,329,A,0
2049,329,A,0
2050,329,A,0
2025,329,B1,0
2026,329,B1,0
2027,329,B1,0
2028,329,B1,0
2029,329,B1,0
2030,329,B1,0
2031,329,B1,0
2032,329,B1,0
2033,329,B1,0
2034,329,B1,0
2035,329,B1,0
2036,329,B1,0
2037,329,B1,0
2038,329,B1,0
2039,329,B1,0
2040,329,B1,0
2041,329,B1,0
2042,329,B1,0
2043,329,B1,0
2044,329,B1,0
2045,329,B1,0
2046,329,B1,0
2047,329,B1,0
2048,329,B1,0
2049,329,B1,0
2050,329,B1,0
2025,329,B2,0
2026,329,B2,0
2027,329,B2,0
2028,329,B2,0
2029,329,B2,0
2030,329,B2,0
2031,329,B2,0
2032,329,B2,0
2033,329,B2,0
2034,329,B2,0
2035,329,B2,0
2036,329,B2,0
2037,329,B2,0
2038,329,B2,0
2039,329,B2,0
2040,329,B2,0
2041,329,B2,0
2042,329,B2,0
2043,329,B2,0
2044,329,B2,0
2045,329,B2,0
2046,329,B2,0
2047,329,B2,0
2048,329,B2,0
2049,329,B2,0
2050,329,B2,0
2025,329,B3,0
2026,329,B3,0
2027,329,B3,0
2028,329,B3,0
2029,329,B3,0
2030,329,B3,0
2031,329,B3,0
2032,329,B3,0
2033,329,B3,0
2034,329,B3,0
2035,329,B3,0
2036,329,B3,0
2037,329,B3,0
2038,329,B3,0
2039,329,B3,0
2040,329,B3,0
2041,329,B3,0
2042,329,B3,0
2043,329,B3,0
2044,329,B3,0
2045,329,B3,0
2046,329,B3,0
2047,329,B3,0
2048,329,B3,0
2049,329,B3,0
2050,329,B3,0
2025,329,C1,0
2026,329,C1,0
2027,329,C1,0
2028,329,C1,0
2029,329,C1,0
2030,329,C1,0
2031,329,C1,0
2032,329,C1,0
2033,329,C1,0
2034,329,C1,0
2035,329,C1,0
2036,329,C1,0
2037,329,C1,0
2038,329,C1,0
2039,329,C1,0
2040,329,C1,0
2041,329,C1,0
2042,329,C1,0
2043,329,C1,0
2044,329,C1,0
2045,329,C1,0
2046,329,C1,0
2047,329,C1,0
2048,329,C1,0
2049,329,C1,0
2050,329,C1,0
2025,329,C2,0
2026,329,C2,0
2027,329,C2,0
2028,329,C2,0
2029,329,C2,0
2030,329,C2,0
2031,329,C2,0
2032,329,C2,0
2033,329,C2,0
2034,329,C2,0
2035,329,C2,0
2036,329,C2,0
2037,329,C2,0
2038,329,C2,0
2039,329,C2,0
2040,329,C2,0
2041,329,C2,0
2042,329,C2,0
2043,329,C2,0
2044,329,C2,0
2045,329,C2,0
2046,329,C2,0
2047,329,C2,0
2048,329,C2,0
2049,329,C2,0
2050,329,C2,0
2025,329,C3,0
2026,329,C3,0
2027,329,C3,0
2028,329,C3,0
2029,329,C3,0
2030,329,C3,0
2031,329,C3,0
2032,329,C3,0
2033,329,C3,0
2034,329,C3,0
2035,329,C3,0
2036,329,C3,0
2037,329,C3,0
2038,329,C3,0
2039,329,C3,0
2040,329,C3,0
2041,329,C3,0
2042,329,C3,0
2043,329,C3,0
2044,329,C3,0
2045,329,C3,0
2046,329,C3,0
2047,329,C3,0
2048,329,C3,0
2049,329,C3,0
2050,329,C3,0
2025,329,D,0
2026,329,D,0
2027,329,D,0
2028,329,D,0
2029,329,D,0
2030,329,D,0
2031,329,D,0
2032,329,D,0
2033,329,D,0
2034,329,D,0
2035,329,D,0
2036,329,D,0
2037,329,D,0
2038,329,D,0
2039,329,D,0
2040,329,D,0
2041,329,D,0
2042,329,D,0
2043,329,D,0
2044,329,D,0
2045,329,D,0
2046,329,D,0
2047,329,D,0
2048,329,D,0
2049,329,D,0
2050,329,D,0
2025,33,A,0
2026,33,A,0
2027,33,A,0
2028,33,A,0
2029,33,A,0
2030,33,A,0
2031,33,A,0
2032,33,A,0
2033,33,A,0
2034,33,A,0
2035,33,A,0
2036,33,A,0
2037,33,A,0
2038,33,A,0
2039,33,A,0
2040,33,A,0
2041,33,A,0
2042,33,A,0
2043,33,A,0
2044,33,A,0
2045,33,A,0
2046,33,A,0
2047,33,A,0
2048,33,A,0
2049,33,A,0
2050,33,A,0
2025,33,B1,0
2026,33,B1,0
2027,33,B1,0
2028,33,B1,0
2029,33,B1,0
2030,33,B1,0
2031,33,B1,0
2032,33,B1,0
2033,33,B1,0
2034,33,B1,0
2035,33,B1,0
2036,33,B1,0
2037,33,B1,0
2038,33,B1,0
2039,33,B1,0
2040,33,B1,0
2041,33,B1,0
2042,33,B1,0
2043,33,B1,0
2044,33,B1,0
2045,33,B1,0
2046,33,B1,0
2047,33,B1,0
2048,33,B1,0
2049,33,B1,0
2050,33,B1,0
2025,33,B2,0
2026,33,B2,0
2027,33,B2,0
2028,33,B2,0
2029,33,B2,0
2030,33,B2,0
2031,33,B2,0
2032,33,B2,0
2033,33,B2,0
2034,33,B2,0
2035,33,B2,0
2036,33,B2,0
2037,33,B2,0
2038,33,B2,0
2039,33,B2,0
2040,33,B2,0
2041,33,B2,0
2042,33,B2,0
2043,33,B2,0
2044,33,B2,0
2045,33,B2,0
2046,33,B2,0
2047,33,B2,0
2048,33,B2,0
2049,33,B2,0
2050,33,B2,0
2025,33,B3,0
2026,33,B3,0
2027,33,B3,0
2028,33,B3,0
2029,33,B3,0
2030,33,B3,0
2031,33,B3,0
2032,33,B3,0
2033,33,B3,0
2034,33,B3,0
2035,33,B3,0
2036,33,B3,0
2037,33,B3,0
2038,33,B3,0
2039,33,B3,0
2040,33,B3,0
2041,33,B3,0
2042,33,B3,0
2043,33,B3,0
2044,33,B3,0
2045,33,B3,0
2046,33,B3,0
2047,33,B3,0
2048,33,B3,0
2049,33,B3,0
2050,33,B3,0
2025,33,C1,0
2026,33,C1,0
2027,33,C1,0
2028,33,C1,0
2029,33,C1,0
2030,33,C1,0
2031,33,C1,0
2032,33,C1,0
2033,33,C1,0
2034,33,C1,0
2035,33,C1,0
2036,33,C1,0
2037,33,C1,0
2038,33,C1,0
2039,33,C1,0
2040,33,C1,0
2041,33,C1,0
2042,33,C1,0
2043,33,C1,0
2044,33,C1,0
2045,33,C1,0
2046,33,C1,0
2047,33,C1,0
2048,33,C1,0
2049,33,C1,0
2050,33,C1,0
2025,33,C2,0
2026,33,C2,0
2027,33,C2,0
2028,33,C2,0
2029,33,C2,0
2030,33,C2,0
2031,33,C2,0
2032,33,C2,0
2033,33,C2,0
2034,33,C2,0
2035,33,C2,0
2036,33,C2,0
2037,33,C2,0
2038,33,C2,0
2039,33,C2,0
2040,33,C2,0
2041,33,C2,0
2042,33,C2,0
2043,33,C2,0
2044,33,C2,0
2045,33,C2,0
2046,33,C2,0
2047,33,C2,0
2048,33,C2,0
2049,33,C2,0
2050,33,C2,0
2025,33,C3,0
2026,33,C3,0
2027,33,C3,0
2028,33,C3,0
2029,33,C3,0
2030,33,C3,0
2031,33,C3,0
2032,33,C3,0
2033,33,C3,0
2034,33,C3,0
2035,33,C3,0
2036,33,C3,0
2037,33,C3,0
2038,33,C3,0
2039,33,C3,0
2040,33,C3,0
2041,33,C3,0
2042,33,C3,0
2043,33,C3,0
2044,33,C3,0
2045,33,C3,0
2046,33,C3,0
2047,33,C3,0
2048,33,C3,0
2049,33,C3,0
2050,33,C3,0
2025,33,D,0
2026,33,D,0
2027,33,D,0
2028,33,D,0
2029,33,D,0
2030,33,D,0
2031,33,D,0
2032,33,D,0
2033,33,D,0
2034,33,D,0
2035,33,D,0
2036,33,D,0
2037,33,D,0
2038,33,D,0
