Year,Simulation,Pathway,total_CO2_tons
2035,1201,B3,0
2036,1201,B3,0
2037,1201,B3,0
2038,1201,B3,0
2039,1201,B3,0
2040,1201,B3,0
2041,1201,B3,0
2042,1201,B3,0
2043,1201,B3,0
2044,1201,B3,0
2045,1201,B3,0
2046,1201,B3,0
2047,1201,B3,0
2048,1201,B3,0
2049,1201,B3,0
2050,1201,B3,0
2025,1201,C1,0
2026,1201,C1,0
2027,1201,C1,0
2028,1201,C1,0
2029,1201,C1,0
2030,1201,C1,0
2031,1201,C1,0
2032,1201,C1,0
2033,1201,C1,0
2034,1201,C1,0
2035,1201,C1,0
2036,1201,C1,0
2037,1201,C1,0
2038,1201,C1,0
2039,1201,C1,0
2040,1201,C1,0
2041,1201,C1,0
2042,1201,C1,0
2043,1201,C1,0
2044,1201,C1,0
2045,1201,C1,0
2046,1201,C1,0
2047,1201,C1,0
2048,1201,C1,0
2049,1201,C1,0
2050,1201,C1,0
2025,1201,C2,0
2026,1201,C2,0
2027,1201,C2,0
2028,1201,C2,0
2029,1201,C2,0
2030,1201,C2,0
2031,1201,C2,0
2032,1201,C2,0
2033,1201,C2,0
2034,1201,C2,0
2035,1201,C2,0
2036,1201,C2,0
2037,1201,C2,0
2038,1201,C2,0
2039,1201,C2,0
2040,1201,C2,0
2041,1201,C2,0
2042,1201,C2,0
2043,1201,C2,0
2044,1201,C2,0
2045,1201,C2,0
2046,1201,C2,0
2047,1201,C2,0
2048,1201,C2,0
2049,1201,C2,0
2050,1201,C2,0
2025,1201,C3,0
2026,1201,C3,0
2027,1201,C3,0
2028,1201,C3,0
2029,1201,C3,0
2030,1201,C3,0
2031,1201,C3,0
2032,1201,C3,0
2033,1201,C3,0
2034,1201,C3,0
2035,1201,C3,0
2036,1201,C3,0
2037,1201,C3,0
2038,1201,C3,0
2039,1201,C3,0
2040,1201,C3,0
2041,1201,C3,0
2042,1201,C3,0
2043,1201,C3,0
2044,1201,C3,0
2045,1201,C3,0
2046,1201,C3,0
2047,1201,C3,0
2048,1201,C3,0
2049,1201,C3,0
2050,1201,C3,0
2025,1201,D,0
2026,1201,D,0
2027,1201,D,0
2028,1201,D,0
2029,1201,D,0
2030,1201,D,0
2031,1201,D,0
2032,1201,D,0
2033,1201,D,0
2034,1201,D,0
2035,1201,D,0
2036,1201,D,0
2037,1201,D,0
2038,1201,D,0
2039,1201,D,0
2040,1201,D,0
2041,1201,D,0
2042,1201,D,0
2043,1201,D,0
2044,1201,D,0
2045,1201,D,0
2046,1201,D,0
2047,1201,D,0
2048,1201,D,0
2049,1201,D,0
2050,1201,D,0
2025,1202,A,0
2026,1202,A,0
2027,1202,A,0
2028,1202,A,0
2029,1202,A,0
2030,1202,A,0
2031,1202,A,0
2032,1202,A,0
2033,1202,A,0
2034,1202,A,0
2035,1202,A,0
2036,1202,A,0
2037,1202,A,0
2038,1202,A,0
2039,1202,A,0
2040,1202,A,0
2041,1202,A,0
2042,1202,A,0
2043,1202,A,0
2044,1202,A,0
2045,1202,A,0
2046,1202,A,0
2047,1202,A,0
2048,1202,A,0
2049,1202,A,0
2050,1202,A,0
2025,1202,B1,0
2026,1202,B1,0
2027,1202,B1,0
2028,1202,B1,0
2029,1202,B1,0
2030,1202,B1,0
2031,1202,B1,0
2032,1202,B1,0
2033,1202,B1,0
2034,1202,B1,0
2035,1202,B1,0
2036,1202,B1,0
2037,1202,B1,0
2038,1202,B1,0
2039,1202,B1,0
2040,1202,B1,0
2041,1202,B1,0
2042,1202,B1,0
2043,1202,B1,0
2044,1202,B1,0
2045,1202,B1,0
2046,1202,B1,0
2047,1202,B1,0
2048,1202,B1,0
2049,1202,B1,0
2050,1202,B1,0
2025,1202,B2,0
2026,1202,B2,0
2027,1202,B2,0
2028,1202,B2,0
2029,1202,B2,0
2030,1202,B2,0
2031,1202,B2,0
2032,1202,B2,0
2033,1202,B2,0
2034,1202,B2,0
2035,1202,B2,0
2036,1202,B2,0
2037,1202,B2,0
2038,1202,B2,0
2039,1202,B2,0
2040,1202,B2,0
2041,1202,B2,0
2042,1202,B2,0
2043,1202,B2,0
2044,1202,B2,0
2045,1202,B2,0
2046,1202,B2,0
2047,1202,B2,0
2048,1202,B2,0
2049,1202,B2,0
2050,1202,B2,0
2025,1202,B3,0
2026,1202,B3,0
2027,1202,B3,0
2028,1202,B3,0
2029,1202,B3,0
2030,1202,B3,0
2031,1202,B3,0
2032,1202,B3,0
2033,1202,B3,0
2034,1202,B3,0
2035,1202,B3,0
2036,1202,B3,0
2037,1202,B3,0
2038,1202,B3,0
2039,1202,B3,0
2040,1202,B3,0
2041,1202,B3,0
2042,1202,B3,0
2043,1202,B3,0
2044,1202,B3,0
2045,1202,B3,0
2046,1202,B3,0
2047,1202,B3,0
2048,1202,B3,0
2049,1202,B3,0
2050,1202,B3,0
2025,1202,C1,0
2026,1202,C1,0
2027,1202,C1,0
2028,1202,C1,0
2029,1202,C1,0
2030,1202,C1,0
2031,1202,C1,0
2032,1202,C1,0
2033,1202,C1,0
2034,1202,C1,0
2035,1202,C1,0
2036,1202,C1,0
2037,1202,C1,0
2038,1202,C1,0
2039,1202,C1,0
2040,1202,C1,0
2041,1202,C1,0
2042,1202,C1,0
2043,1202,C1,0
2044,1202,C1,0
2045,1202,C1,0
2046,1202,C1,0
2047,1202,C1,0
2048,1202,C1,0
2049,1202,C1,0
2050,1202,C1,0
2025,1202,C2,0
2026,1202,C2,0
2027,1202,C2,0
2028,1202,C2,0
2029,1202,C2,0
2030,1202,C2,0
2031,1202,C2,0
2032,1202,C2,0
2033,1202,C2,0
2034,1202,C2,0
2035,1202,C2,0
2036,1202,C2,0
2037,1202,C2,0
2038,1202,C2,0
2039,1202,C2,0
2040,1202,C2,0
2041,1202,C2,0
2042,1202,C2,0
2043,1202,C2,0
2044,1202,C2,0
2045,1202,C2,0
2046,1202,C2,0
2047,1202,C2,0
2048,1202,C2,0
2049,1202,C2,0
2050,1202,C2,0
2025,1202,C3,0
2026,1202,C3,0
2027,1202,C3,0
2028,1202,C3,0
2029,1202,C3,0
2030,1202,C3,0
2031,1202,C3,0
2032,1202,C3,0
2033,1202,C3,0
2034,1202,C3,0
2035,1202,C3,0
2036,1202,C3,0
2037,1202,C3,0
2038,1202,C3,0
2039,1202,C3,0
2040,1202,C3,0
2041,1202,C3,0
2042,1202,C3,0
2043,1202,C3,0
2044,1202,C3,0
2045,1202,C3,0
2046,1202,C3,0
2047,1202,C3,0
2048,1202,C3,0
2049,1202,C3,0
2050,1202,C3,0
2025,1202,D,0
2026,1202,D,0
2027,1202,D,0
2028,1202,D,0
2029,1202,D,0
2030,1202,D,0
2031,1202,D,0
2032,1202,D,0
2033,1202,D,0
2034,1202,D,0
2035,1202,D,0
2036,1202,D,0
2037,1202,D,0
2038,1202,D,0
2039,1202,D,0
2040,1202,D,0
2041,1202,D,0
2042,1202,D,0
2043,1202,D,0
2044,1202,D,0
2045,1202,D,0
2046,1202,D,0
2047,1202,D,0
2048,1202,D,0
2049,1202,D,0
2050,1202,D,0
2025,1203,A,0
2026,1203,A,0
2027,1203,A,0
2028,1203,A,0
2029,1203,A,0
2030,1203,A,0
2031,1203,A,0
2032,1203,A,0
2033,1203,A,0
2034,1203,A,0
2035,1203,A,0
2036,1203,A,0
2037,1203,A,0
2038,1203,A,0
2039,1203,A,0
2040,1203,A,0
2041,1203,A,0
2042,1203,A,0
2043,1203,A,0
2044,1203,A,0
2045,1203,A,0
2046,1203,A,0
2047,1203,A,0
2048,1203,A,0
2049,1203,A,0
2050,1203,A,0
2025,1203,B1,0
2026,1203,B1,0
2027,1203,B1,0
2028,1203,B1,0
2029,1203,B1,0
2030,1203,B1,0
2031,1203,B1,0
2032,1203,B1,0
2033,1203,B1,0
2034,1203,B1,0
2035,1203,B1,0
2036,1203,B1,0
2037,1203,B1,0
2038,1203,B1,0
2039,1203,B1,0
2040,1203,B1,0
2041,1203,B1,0
2042,1203,B1,0
2043,1203,B1,0
2044,1203,B1,0
2045,1203,B1,0
2046,1203,B1,0
2047,1203,B1,0
2048,1203,B1,0
2049,1203,B1,0
2050,1203,B1,0
2025,1203,B2,0
2026,1203,B2,0
2027,1203,B2,0
2028,1203,B2,0
2029,1203,B2,0
2030,1203,B2,0
2031,1203,B2,0
2032,1203,B2,0
2033,1203,B2,0
2034,1203,B2,0
2035,1203,B2,0
2036,1203,B2,0
2037,1203,B2,0
2038,1203,B2,0
2039,1203,B2,0
2040,1203,B2,0
2041,1203,B2,0
2042,1203,B2,0
2043,1203,B2,0
2044,1203,B2,0
2045,1203,B2,0
2046,1203,B2,0
2047,1203,B2,0
2048,1203,B2,0
2049,1203,B2,0
2050,1203,B2,0
2025,1203,B3,0
2026,1203,B3,0
2027,1203,B3,0
2028,1203,B3,0
2029,1203,B3,0
2030,1203,B3,0
2031,1203,B3,0
2032,1203,B3,0
2033,1203,B3,0
2034,1203,B3,0
2035,1203,B3,0
2036,1203,B3,0
2037,1203,B3,0
2038,1203,B3,0
2039,1203,B3,0
2040,1203,B3,0
