"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"152","C2","NB","Lower",449413577.414088
"152","C2","NB","Upper",1338347172.76058
"152","A","QC","Lower",2912983039.79142
"152","A","QC","Upper",8674821615.39647
"152","A","NYISO","Lower",2689698863.47718
"152","A","NYISO","Upper",8082027834.96749
"152","A","NB","Lower",449413577.414088
"152","A","NB","Upper",1338347172.76058
"152","C3","QC","Lower",13092187384.495
"152","C3","QC","Upper",38988345817.4785
"152","C3","NYISO","Lower",3965453156.27233
"152","C3","NYISO","Upper",11915424147.4529
"152","C3","NB","Lower",449413577.414088
"152","C3","NB","Upper",1338347172.76058
"153","D","QC","Lower",13034101328.2645
"153","D","QC","Upper",38815366377.0705
"153","D","NYISO","Lower",4157781339.42084
"153","D","NYISO","Upper",12493333351.6251
"153","D","NB","Lower",438831986.299073
"153","D","NB","Upper",1306835346.54123
"153","B3","QC","Lower",16627973194.6373
"153","B3","QC","Upper",49517865129.5549
"153","B3","NYISO","Lower",4157781339.42084
"153","B3","NYISO","Upper",12493333351.6251
"153","B3","NB","Lower",438831986.299073
"153","B3","NB","Upper",1306835346.54123
"153","B1","QC","Lower",13034101328.2645
"153","B1","QC","Upper",38815366377.0705
"153","B1","NYISO","Lower",4157781339.42084
"153","B1","NYISO","Upper",12493333351.6251
"153","B1","NB","Lower",438831986.299073
"153","B1","NB","Upper",1306835346.54123
"153","B2","QC","Lower",2884438762.50995
"153","B2","QC","Upper",8589817168.00534
"153","B2","NYISO","Lower",4157781339.42084
"153","B2","NYISO","Upper",12493333351.6251
"153","B2","NB","Lower",438831986.299073
"153","B2","NB","Upper",1306835346.54123
"153","C1","QC","Lower",2884438762.50995
"153","C1","QC","Upper",8589817168.00534
"153","C1","NYISO","Lower",2820689022.58834
"153","C1","NYISO","Upper",8475628072.6813
"153","C1","NB","Lower",438831986.299073
"153","C1","NB","Upper",1306835346.54123
"153","C2","QC","Lower",2884438762.50995
"153","C2","QC","Upper",8589817168.00534
"153","C2","NYISO","Lower",4157781339.42084
"153","C2","NYISO","Upper",12493333351.6251
"153","C2","NB","Lower",438831986.299073
"153","C2","NB","Upper",1306835346.54123
"153","A","QC","Lower",2884438762.50995
"153","A","QC","Upper",8589817168.00534
"153","A","NYISO","Lower",2820689022.58834
"153","A","NYISO","Upper",8475628072.6813
"153","A","NB","Lower",438831986.299073
"153","A","NB","Upper",1306835346.54123
"153","C3","QC","Lower",13034101328.2645
"153","C3","QC","Upper",38815366377.0705
"153","C3","NYISO","Lower",4157781339.42084
"153","C3","NYISO","Upper",12493333351.6251
"153","C3","NB","Lower",438831986.299073
"153","C3","NB","Upper",1306835346.54123
"154","D","QC","Lower",13011280417.0381
"154","D","QC","Upper",38747406031.5121
"154","D","NYISO","Lower",4428108794.1835
"154","D","NYISO","Upper",13305615367.1379
"154","D","NB","Lower",436378917.412444
"154","D","NB","Upper",1299530142.66222
"154","B3","QC","Lower",16602904783.9935
"154","B3","QC","Upper",49443211763.0417
"154","B3","NYISO","Lower",4428108794.1835
"154","B3","NYISO","Upper",13305615367.1379
"154","B3","NB","Lower",436378917.412444
"154","B3","NB","Upper",1299530142.66222
"154","B1","QC","Lower",13011280417.0381
"154","B1","QC","Upper",38747406031.5121
"154","B1","NYISO","Lower",4428108794.1835
"154","B1","NYISO","Upper",13305615367.1379
"154","B1","NB","Lower",436378917.412444
"154","B1","NB","Upper",1299530142.66222
"154","B2","QC","Lower",2872982057.59859
"154","B2","QC","Upper",8555699265.48112
"154","B2","NYISO","Lower",4428108794.1835
"154","B2","NYISO","Upper",13305615367.1379
"154","B2","NB","Lower",436378917.412444
"154","B2","NB","Upper",1299530142.66222
"154","C1","QC","Lower",2872982057.59859
"154","C1","QC","Upper",8555699265.48112
"154","C1","NYISO","Lower",3003984426.70423
"154","C1","NYISO","Upper",9026395512.93338
"154","C1","NB","Lower",436378917.412444
"154","C1","NB","Upper",1299530142.66222
"154","C2","QC","Lower",2872982057.59859
"154","C2","QC","Upper",8555699265.48112
"154","C2","NYISO","Lower",4428108794.1835
"154","C2","NYISO","Upper",13305615367.1379
"154","C2","NB","Lower",436378917.412444
"154","C2","NB","Upper",1299530142.66222
"154","A","QC","Lower",2872982057.59859
"154","A","QC","Upper",8555699265.48112
"154","A","NYISO","Lower",3003984426.70423
"154","A","NYISO","Upper",9026395512.93338
"154","A","NB","Lower",436378917.412444
"154","A","NB","Upper",1299530142.66222
"154","C3","QC","Lower",13011280417.0381
"154","C3","QC","Upper",38747406031.5121
"154","C3","NYISO","Lower",4428108794.1835
"154","C3","NYISO","Upper",13305615367.1379
"154","C3","NB","Lower",436378917.412444
"154","C3","NB","Upper",1299530142.66222
"155","D","QC","Lower",12959647735.3488
"155","D","QC","Upper",38593644647.7138
"155","D","NYISO","Lower",4150855678.53918
"155","D","NYISO","Upper",12472523072.5336
"155","D","NB","Lower",407836630.783417
"155","D","NB","Upper",1214531623.40546
"155","B3","QC","Lower",16545939969.0014
"155","B3","QC","Upper",49273571362.9226
"155","B3","NYISO","Lower",4150855678.53918
"155","B3","NYISO","Upper",12472523072.5336
"155","B3","NB","Lower",407836630.783417
"155","B3","NB","Upper",1214531623.40546
"155","B1","QC","Lower",12959647735.3488
"155","B1","QC","Upper",38593644647.7138
"155","B1","NYISO","Lower",4150855678.53918
"155","B1","NYISO","Upper",12472523072.5336
"155","B1","NB","Lower",407836630.783417
"155","B1","NB","Upper",1214531623.40546
"155","B2","QC","Lower",2847456179.64374
"155","B2","QC","Upper",8479683567.89212
"155","B2","NYISO","Lower",4150855678.53918
"155","B2","NYISO","Upper",12472523072.5336
"155","B2","NB","Lower",407836630.783417
"155","B2","NB","Upper",1214531623.40546
"155","C1","QC","Lower",2847456179.64374
"155","C1","QC","Upper",8479683567.89212
"155","C1","NYISO","Lower",2815637255.95265
"155","C1","NYISO","Upper",8460448485.43465
"155","C1","NB","Lower",407836630.783417
"155","C1","NB","Upper",1214531623.40546
"155","C2","QC","Lower",2847456179.64374
"155","C2","QC","Upper",8479683567.89212
"155","C2","NYISO","Lower",4150855678.53918
"155","C2","NYISO","Upper",12472523072.5336
"155","C2","NB","Lower",407836630.783417
"155","C2","NB","Upper",1214531623.40546
"155","A","QC","Lower",2847456179.64374
"155","A","QC","Upper",8479683567.89212
"155","A","NYISO","Lower",2815637255.95265
"155","A","NYISO","Upper",8460448485.43465
"155","A","NB","Lower",407836630.783417
"155","A","NB","Upper",1214531623.40546
"155","C3","QC","Lower",12959647735.3488
"155","C3","QC","Upper",38593644647.7138
"155","C3","NYISO","Lower",4150855678.53918
"155","C3","NYISO","Upper",12472523072.5336
"155","C3","NB","Lower",407836630.783417
"155","C3","NB","Upper",1214531623.40546
"156","B1","QC","Lower",12993858148.4083
"156","B1","QC","Upper",38695522765.9955
"156","B1","NYISO","Lower",3374997831.09426
"156","B1","NYISO","Upper",10141219444.3938
"156","B1","NB","Lower",432483441.488771
"156","B1","NB","Upper",1287929471.36296
"156","A","QC","Lower",2864427905.84175
"156","A","QC","Upper",8530225124.52392
"156","A","NYISO","Lower",2289755044.47399
"156","A","NYISO","Upper",6880273571.1358
"156","A","NB","Lower",432483441.488771
"156","A","NB","Upper",1287929471.36296
"2","D","QC","Lower",13041712670.2978
"2","D","QC","Upper",38838032844.225
"2","D","NYISO","Lower",4151918775.80591
"2","D","NYISO","Upper",12475717475.3783
"2","D","NB","Lower",431275036.227502
"2","D","NB","Upper",1284330857.86696
"2","B3","QC","Lower",16636479483.0191
"2","B3","QC","Upper",49543196734.0693
"2","B3","NYISO","Lower",4151918775.80591
"2","B3","NYISO","Upper",12475717475.3783
"2","B3","NB","Lower",431275036.227502
"2","B3","NB","Upper",1284330857.86696
"2","B1","QC","Lower",13041712670.2978
"2","B1","QC","Upper",38838032844.225
"2","B1","NYISO","Lower",4151918775.80591
"2","B1","NYISO","Upper",12475717475.3783
"2","B1","NB","Lower",431275036.227502
"2","B1","NB","Upper",1284330857.86696
"2","B2","QC","Lower",2888129466.16976
"2","B2","QC","Upper",8600808030.44662
"2","B2","NYISO","Lower",4151918775.80591
"2","B2","NYISO","Upper",12475717475.3783
"2","B2","NB","Lower",431275036.227502
"2","B2","NB","Upper",1284330857.86696
"2","C1","QC","Lower",2888129466.16976
"2","C1","QC","Upper",8600808030.44662
"2","C1","NYISO","Lower",2816313857.58731
"2","C1","NYISO","Upper",8462481543.2311
"2","C1","NB","Lower",431275036.227502
"2","C1","NB","Upper",1284330857.86696
"2","C2","QC","Lower",2888129466.16976
"2","C2","QC","Upper",8600808030.44662
"2","C2","NYISO","Lower",4151918775.80591
"2","C2","NYISO","Upper",12475717475.3783
"2","C2","NB","Lower",431275036.227502
"2","C2","NB","Upper",1284330857.86696
"2","A","QC","Lower",2888129466.16976
"2","A","QC","Upper",8600808030.44662
"2","A","NYISO","Lower",2816313857.58731
"2","A","NYISO","Upper",8462481543.2311
"2","A","NB","Lower",431275036.227502
"2","A","NB","Upper",1284330857.86696
"2","C3","QC","Lower",13041712670.2978
"2","C3","QC","Upper",38838032844.225
"2","C3","NYISO","Lower",4151918775.80591
"2","C3","NYISO","Upper",12475717475.3783
"2","C3","NB","Lower",431275036.227502
"2","C3","NB","Upper",1284330857.86696
"251","D","QC","Lower",13036601827.4227
"251","D","QC","Upper",38822812827.6163
"251","D","NYISO","Lower",4203096516.84501
"251","D","NYISO","Upper",12629496745.3276
"251","D","NB","Lower",440002884.056336
"251","D","NB","Upper",1310322263.22952
"251","B3","QC","Lower",16630741248.8795
"251","B3","QC","Upper",49526108355.2945
"251","B3","NYISO","Lower",4203096516.84501
"251","B3","NYISO","Upper",12629496745.3276
"251","B3","NB","Lower",440002884.056336
"251","B3","NB","Upper",1310322263.22952
"251","B1","QC","Lower",13036601827.4227
"251","B1","QC","Upper",38822812827.6163
"251","B1","NYISO","Lower",4203096516.84501
"251","B1","NYISO","Upper",12629496745.3276
"251","B1","NB","Lower",440002884.056336
"251","B1","NB","Upper",1310322263.22952
"251","B2","QC","Lower",2885684868.46104
"251","B2","QC","Upper",8593528053.61363
"251","B2","NYISO","Lower",4203096516.84501
"251","B2","NYISO","Upper",12629496745.3276
