"Pathway","NPV_max","NPV_mean","NPV_min"
"A",89294455435.4682,88723654974.6025,88204498185.8068
"B1",38863688031.4703,37553843152.3957,36622059805.1544
"B2",45190649333.9651,43965551701.6317,43104722134.579
"B3",39097465434.0357,37792733146.9854,36849515637.5889
"C1",42226857955.3204,41333381936.9528,40604089325.5574
"C2",43493676712.5225,42235280961.5297,41355523192.68
"C3",36762674380.6072,35472355476.5992,34599198444.1948
"D",101682923724.152,100840575007.219,99941915392.3444
