"Pathway","Cost_Type","Statistic","Cost_bUSD"
"B3(2)","Total_Costs","mean",447.465968092399
"B3(2)","Total_Costs","min",344.449796529086
"B3(2)","Unmet Demand Penalty","max",3.91284211324047
"B3(2)","Unmet Demand Penalty","mean",3.91284211324047
"B3(2)","Unmet Demand Penalty","min",3.91284211324047
"B3(2)","Variable O&M","max",3.53726722243052
"B3(2)","Variable O&M","mean",3.24962732571878
"B3(2)","Variable O&M","min",2.922881479125
"C1","Air Emissions","max",0.579659462057564
"C1","Air Emissions","mean",0.579659462057564
"C1","Air Emissions","min",0.579659462057564
"C1","CAPEX","max",295.449534671682
"C1","CAPEX","mean",195.663298249395
"C1","CAPEX","min",99.0824827663707
"C1","Fixed O&M","max",98.096786572726
"C1","Fixed O&M","mean",77.5552591768137
"C1","Fixed O&M","min",62.1874263426303
"C1","Fuel","max",46.0199559741935
"C1","Fuel","mean",43.7105529540303
"C1","Fuel","min",41.4671328773004
"C1","GHG Emissions","max",70.6208141821048
"C1","GHG Emissions","mean",70.6208141821048
"C1","GHG Emissions","min",70.6208141821048
"C1","Imports","max",29.0532590305445
"C1","Imports","mean",19.3849761396144
"C1","Imports","min",9.71669324868425
"C1","Total_Costs","max",554.558117989248
"C1","Total_Costs","mean",421.392342602727
"C1","Total_Costs","min",296.488868506763
"C1","Unmet Demand Penalty","max",5.08775039588622
"C1","Unmet Demand Penalty","mean",5.08775039588622
"C1","Unmet Demand Penalty","min",5.08775039588622
"C1","Variable O&M","max",9.65035770005374
"C1","Variable O&M","mean",8.79003204282529
"C1","Variable O&M","min",7.74690923172895
"C2","Air Emissions","max",0.667020048381508
"C2","Air Emissions","mean",0.667020048381508
"C2","Air Emissions","min",0.667020048381508
"C2","CAPEX","max",249.294958553505
"C2","CAPEX","mean",196.705898847042
"C2","CAPEX","min",149.979629069491
"C2","Fixed O&M","max",86.9519496121684
"C2","Fixed O&M","mean",74.2957776676622
"C2","Fixed O&M","min",62.7077530899852
"C2","Fuel","max",25.2058298248887
"C2","Fuel","mean",24.9051198808867
"C2","Fuel","min",24.6130016495704
"C2","GHG Emissions","max",79.4722508203404
"C2","GHG Emissions","mean",79.4722508203404
"C2","GHG Emissions","min",79.4722508203404
"C2","Imports","max",37.0927519279604
"C2","Imports","mean",24.7424942064523
"C2","Imports","min",12.3922364849443
"C2","Total_Costs","max",489.083036817015
"C2","Total_Costs","mean",410.823027668088
"C2","Total_Costs","min",339.444729901083
"C2","Unmet Demand Penalty","max",5.88217692473378
"C2","Unmet Demand Penalty","mean",5.88217692473378
"C2","Unmet Demand Penalty","min",5.88217692473378
"C2","Variable O&M","max",4.51609910503618
"C2","Variable O&M","mean",4.15228927258915
"C2","Variable O&M","min",3.73066181363631
"C3","Air Emissions","max",0.583512722804624
"C3","Air Emissions","mean",0.583512722804624
"C3","Air Emissions","min",0.583512722804624
"C3","CAPEX","max",224.630394992774
"C3","CAPEX","mean",179.321088625986
"C3","CAPEX","min",139.307527879791
"C3","Fixed O&M","max",81.8224279896477
"C3","Fixed O&M","mean",70.1685896705711
"C3","Fixed O&M","min",59.2809251346847
"C3","Fuel","max",20.7525009450688
"C3","Fuel","mean",20.556984742061
"C3","Fuel","min",20.3670547162821
"C3","GHG Emissions","max",66.0092633985842
"C3","GHG Emissions","mean",66.0092633985842
"C3","GHG Emissions","min",66.0092633985842
"C3","Imports","max",95.8960693303123
"C3","Imports","mean",64.017155135853
"C3","Imports","min",32.1382409413938
"C3","Total_Costs","max",496.392073896126
"C3","Total_Costs","mean",407.019504778524
"C3","Total_Costs","min",323.663168674322
"C3","Unmet Demand Penalty","max",2.76621455526345
"C3","Unmet Demand Penalty","mean",2.76621455526345
"C3","Unmet Demand Penalty","min",2.76621455526345
"C3","Variable O&M","max",3.93168996167177
"C3","Variable O&M","mean",3.59669592740095
"C3","Variable O&M","min",3.21042932551782
"D","Air Emissions","max",1.19651764556672
"D","Air Emissions","mean",1.19651764556672
"D","Air Emissions","min",1.19651764556672
"D","CAPEX","max",83.027352381854
"D","CAPEX","mean",69.9886297395842
"D","CAPEX","min",58.8322767423905
"D","Fixed O&M","max",63.3019480513678
"D","Fixed O&M","mean",55.6663009588103
"D","Fixed O&M","min",48.0156106140196
"D","Fuel","max",63.9622509714669
"D","Fuel","mean",63.9622509714669
"D","Fuel","min",63.9622509714669
"D","GHG Emissions","max",277.482656587179
"D","GHG Emissions","mean",277.482656587179
"D","GHG Emissions","min",277.482656587179
"D","Imports","max",95.8960693303123
"D","Imports","mean",64.017155135853
"D","Imports","min",32.1382409413938
"D","Total_Costs","max",595.269009361904
"D","Total_Costs","mean",542.349272150601
"D","Total_Costs","min",491.25781558533
"D","Unmet Demand Penalty","max",2.06293522935228
"D","Unmet Demand Penalty","mean",2.06293522935228
"D","Unmet Demand Penalty","min",2.06293522935228
"D","Variable O&M","max",8.33927916480541
"D","Variable O&M","mean",7.97282588278834
"D","Variable O&M","min",7.56732685396169
