"Pathway","Scenario","NPV","Cost_Type","Fuel"
"B1","Advanced",10695098267.8065,"FOM","Gas_CC"
"B2","Advanced",10695098267.8065,"FOM","Gas_CC"
"B3","Advanced",10695098267.8065,"FOM","Gas_CC"
"C1","Advanced",10695098267.8065,"FOM","Gas_CC"
"C2","Advanced",10695098267.8065,"FOM","Gas_CC"
"C3","Advanced",10695098267.8065,"FOM","Gas_CC"
"A","Advanced",12860613345.8565,"FOM","Gas_CC"
"D","Advanced",16741158874.27,"FOM","Gas_CC"
"D","Advanced",20242425731.0005,"CAPEX","Gas_CC"
"B1","Moderate",10837130485.6424,"FOM","Gas_CC"
"B2","Moderate",10837130485.6424,"FOM","Gas_CC"
"B3","Moderate",10837130485.6424,"FOM","Gas_CC"
"C1","Moderate",10837130485.6424,"FOM","Gas_CC"
"C2","Moderate",10837130485.6424,"FOM","Gas_CC"
"C3","Moderate",10837130485.6424,"FOM","Gas_CC"
"A","Moderate",13036125777.7724,"FOM","Gas_CC"
"D","Moderate",17009258990.8091,"FOM","Gas_CC"
"D","Moderate",20486236067.6344,"CAPEX","Gas_CC"
"B1","Conservative",11002521873.0222,"FOM","Gas_CC"
"B2","Conservative",11002521873.0222,"FOM","Gas_CC"
"B3","Conservative",11002521873.0222,"FOM","Gas_CC"
"C1","Conservative",11002521873.0222,"FOM","Gas_CC"
"C2","Conservative",11002521873.0222,"FOM","Gas_CC"
"C3","Conservative",11002521873.0222,"FOM","Gas_CC"
"A","Conservative",13239786663.3938,"FOM","Gas_CC"
"D","Conservative",17315607465.5168,"FOM","Gas_CC"
"D","Conservative",20731642974.583,"CAPEX","Gas_CC"
"B1","Advanced",479882695.813977,"FOM","Coal"
"B2","Advanced",479882695.813977,"FOM","Coal"
"B3","Advanced",479882695.813977,"FOM","Coal"
"C1","Advanced",479882695.813977,"FOM","Coal"
"C2","Advanced",479882695.813977,"FOM","Coal"
"C3","Advanced",479882695.813977,"FOM","Coal"
"A","Advanced",1642710586.15316,"FOM","Coal"
"D","Advanced",1642710586.15316,"FOM","Coal"
"B1","Moderate",484477122.239803,"FOM","Coal"
"B2","Moderate",484477122.239803,"FOM","Coal"
"B3","Moderate",484477122.239803,"FOM","Coal"
"C1","Moderate",484477122.239803,"FOM","Coal"
"C2","Moderate",484477122.239803,"FOM","Coal"
"C3","Moderate",484477122.239803,"FOM","Coal"
"A","Moderate",1686296423.3991,"FOM","Coal"
"D","Moderate",1686296423.3991,"FOM","Coal"
"B1","Conservative",488974821.016263,"FOM","Coal"
"B2","Conservative",488974821.016263,"FOM","Coal"
"B3","Conservative",488974821.016263,"FOM","Coal"
"C1","Conservative",488974821.016263,"FOM","Coal"
"C2","Conservative",488974821.016263,"FOM","Coal"
"C3","Conservative",488974821.016263,"FOM","Coal"
"A","Conservative",1729871297.07361,"FOM","Coal"
"D","Conservative",1729871297.07361,"FOM","Coal"
"B1","Advanced",313810989.552065,"FOM","Wood"
"B2","Advanced",313810989.552065,"FOM","Wood"
"B3","Advanced",313810989.552065,"FOM","Wood"
"C1","Advanced",313810989.552065,"FOM","Wood"
"C2","Advanced",313810989.552065,"FOM","Wood"
"C3","Advanced",313810989.552065,"FOM","Wood"
"A","Advanced",634271290.443853,"FOM","Wood"
"D","Advanced",634271290.443853,"FOM","Wood"
"B1","Moderate",313810989.552065,"FOM","Wood"
"B2","Moderate",313810989.552065,"FOM","Wood"
"B3","Moderate",313810989.552065,"FOM","Wood"
"C1","Moderate",313810989.552065,"FOM","Wood"
"C2","Moderate",313810989.552065,"FOM","Wood"
"C3","Moderate",313810989.552065,"FOM","Wood"
"A","Moderate",634271290.443853,"FOM","Wood"
"D","Moderate",634271290.443853,"FOM","Wood"
"B1","Conservative",313810989.552065,"FOM","Wood"
"B2","Conservative",313810989.552065,"FOM","Wood"
"B3","Conservative",313810989.552065,"FOM","Wood"
"C1","Conservative",313810989.552065,"FOM","Wood"
"C2","Conservative",313810989.552065,"FOM","Wood"
"C3","Conservative",313810989.552065,"FOM","Wood"
"A","Conservative",634271290.443853,"FOM","Wood"
"D","Conservative",634271290.443853,"FOM","Wood"
"B1","Advanced",523196296.332898,"FOM","Gas_CT"
"B2","Advanced",523196296.332898,"FOM","Gas_CT"
"B3","Advanced",523196296.332898,"FOM","Gas_CT"
"C1","Advanced",523196296.332898,"FOM","Gas_CT"
"C2","Advanced",523196296.332898,"FOM","Gas_CT"
"C3","Advanced",523196296.332898,"FOM","Gas_CT"
"A","Advanced",967625685.937703,"FOM","Gas_CT"
"D","Advanced",967625685.937703,"FOM","Gas_CT"
"B1","Moderate",523196296.332898,"FOM","Gas_CT"
"B2","Moderate",523196296.332898,"FOM","Gas_CT"
"B3","Moderate",523196296.332898,"FOM","Gas_CT"
"C1","Moderate",523196296.332898,"FOM","Gas_CT"
"C2","Moderate",523196296.332898,"FOM","Gas_CT"
"C3","Moderate",523196296.332898,"FOM","Gas_CT"
"A","Moderate",967625685.937703,"FOM","Gas_CT"
"D","Moderate",967625685.937703,"FOM","Gas_CT"
"B1","Conservative",523196296.332898,"FOM","Gas_CT"
"B2","Conservative",523196296.332898,"FOM","Gas_CT"
"B3","Conservative",523196296.332898,"FOM","Gas_CT"
"C1","Conservative",523196296.332898,"FOM","Gas_CT"
"C2","Conservative",523196296.332898,"FOM","Gas_CT"
"C3","Conservative",523196296.332898,"FOM","Gas_CT"
"A","Conservative",967625685.937703,"FOM","Gas_CT"
"D","Conservative",967625685.937703,"FOM","Gas_CT"
"B1","Advanced",599667991.810524,"FOM","Oil"
"B2","Advanced",599667991.810524,"FOM","Oil"
"B3","Advanced",599667991.810524,"FOM","Oil"
"C1","Advanced",599667991.810524,"FOM","Oil"
"C2","Advanced",599667991.810524,"FOM","Oil"
"C3","Advanced",599667991.810524,"FOM","Oil"
"A","Advanced",2693912250.11815,"FOM","Oil"
"D","Advanced",2693912250.11815,"FOM","Oil"
"B1","Moderate",599667991.810524,"FOM","Oil"
"B2","Moderate",599667991.810524,"FOM","Oil"
"B3","Moderate",599667991.810524,"FOM","Oil"
"C1","Moderate",599667991.810524,"FOM","Oil"
"C2","Moderate",599667991.810524,"FOM","Oil"
"C3","Moderate",599667991.810524,"FOM","Oil"
"A","Moderate",2693912250.11815,"FOM","Oil"
"D","Moderate",2693912250.11815,"FOM","Oil"
"B1","Conservative",599667991.810524,"FOM","Oil"
"B2","Conservative",599667991.810524,"FOM","Oil"
"B3","Conservative",599667991.810524,"FOM","Oil"
"C1","Conservative",599667991.810524,"FOM","Oil"
"C2","Conservative",599667991.810524,"FOM","Oil"
"C3","Conservative",599667991.810524,"FOM","Oil"
"A","Conservative",2693912250.11815,"FOM","Oil"
"D","Conservative",2693912250.11815,"FOM","Oil"
