"Pathway","NPV","Technology"
"A",899834786.895689,"Coal"
"A",36224060716.3412,"Gas"
"A",5911449366.72826,"Gas"
"A",1016718840.0066,"Wood"
"B1",242495284.302061,"Coal"
"B1",14701642014.1937,"Gas"
"B1",1401616304.9281,"Gas"
"B1",572991515.632747,"Wood"
"B2",246535239.941976,"Coal"
"B2",17861174434.933,"Gas"
"B2",1511907958.92599,"Gas"
"B2",606279831.710313,"Wood"
"B3",243605587.835027,"Coal"
"B3",14686399028.9513,"Gas"
"B3",1417198222.0575,"Gas"
"B3",567374704.248372,"Wood"
"C1",256695360.779854,"Coal"
"C1",14559927832.5032,"Gas"
"C1",1676286626.23782,"Gas"
"C1",446012531.75432,"Wood"
"C2",248447355.166732,"Coal"
"C2",16515666462.9111,"Gas"
"C2",1514465954.93638,"Gas"
"C2",579689940.920253,"Wood"
"C3",243604348.869258,"Coal"
"C3",13404281913.6891,"Gas"
"C3",1382080591.67232,"Gas"
"C3",546383380.619094,"Wood"
"D",871107824.454397,"Coal"
"D",54035208258.122,"Gas"
"D",5011151433.86332,"Gas"
"D",1003292178.083,"Wood"
