Pathway,ATB_Scenario,NPV,Technology
A,Advanced,1237056499.0933,Coal
A,Moderate,1269306324.71649,Coal
A,Conservative,1301595291.57771,Coal
A,Advanced,111090703.448645,Wood
A,Moderate,111090703.448645,Wood
A,Conservative,111090703.448645,Wood
A,Advanced,3097744841.31722,Gas_CC
A,Moderate,3133436390.35388,Gas_CC
A,Conservative,3169089088.65723,Gas_CC
A,Advanced,343561107.352716,Gas_CT
A,Moderate,343561107.352716,Gas_CT
A,Conservative,343561107.352716,Gas_CT
A,Advanced,645596717.381042,Oil
A,Moderate,645596717.381042,Oil
A,Conservative,645596717.381042,Oil
B1,Advanced,339119337.38342,Coal
B1,Moderate,342271183.519041,Coal
B1,Conservative,345449558.23369,Coal
B1,Advanced,62607308.9600007,Wood
B1,Moderate,62607308.9600007,Wood
B1,Conservative,62607308.9600007,Wood
B1,Advanced,1314336185.11269,Gas_CC
B1,Moderate,1325670913.99206,Gas_CC
B1,Conservative,1336843069.91683,Gas_CC
B1,Advanced,110532222.402314,Gas_CT
B1,Moderate,110532222.402314,Gas_CT
B1,Conservative,110532222.402314,Gas_CT
B1,Advanced,137842255.694693,Oil
B1,Moderate,137842255.694693,Oil
B1,Conservative,137842255.694693,Oil
B2,Advanced,344786218.01336,Coal
B2,Moderate,347996253.612017,Coal
B2,Conservative,351233460.371151,Coal
B2,Advanced,66244521.4362184,Wood
B2,Moderate,66244521.4362184,Wood
B2,Conservative,66244521.4362184,Wood
B2,Advanced,1584041450.07455,Gas_CC
B2,Moderate,1598382785.89786,Gas_CC
B2,Conservative,1612585746.00887,Gas_CC
B2,Advanced,123114675.295184,Gas_CT
B2,Moderate,123114675.295184,Gas_CT
B2,Conservative,123114675.295184,Gas_CT
B2,Advanced,143983826.534207,Oil
B2,Moderate,143983826.534207,Oil
B2,Conservative,143983826.534207,Oil
B3,Advanced,340683004.944471,Coal
B3,Moderate,343851924.944119,Coal
B3,Conservative,347047423.006807,Coal
B3,Advanced,61993594.0338324,Wood
B3,Moderate,61993594.0338324,Wood
B3,Conservative,61993594.0338324,Wood
B3,Advanced,1317066255.31649,Gas_CC
B3,Moderate,1328151927.01925,Gas_CC
B3,Conservative,1339090348.97636,Gas_CC
B3,Advanced,111661106.809794,Gas_CT
B3,Moderate,111661106.809794,Gas_CT
B3,Conservative,111661106.809794,Gas_CT
B3,Advanced,139409393.525235,Oil
B3,Moderate,139409393.525235,Oil
B3,Conservative,139409393.525235,Oil
C1,Advanced,359107552.346997,Coal
C1,Moderate,362476466.910025,Coal
C1,Conservative,365872859.723814,Coal
C1,Advanced,48733085.2442712,Wood
C1,Moderate,48733085.2442712,Wood
C1,Conservative,48733085.2442712,Wood
C1,Advanced,1347619188.93106,Gas_CC
C1,Moderate,1356045116.7664,Gas_CC
C1,Conservative,1364510349.79101,Gas_CC
C1,Advanced,131156729.612451,Gas_CT
C1,Moderate,131156729.612451,Gas_CT
C1,Conservative,131156729.612451,Gas_CT
C1,Advanced,163114261.091145,Oil
C1,Moderate,163114261.091145,Oil
C1,Conservative,163114261.091145,Oil
C2,Advanced,347479625.722612,Coal
C2,Moderate,350719085.951155,Coal
C2,Conservative,353985775.251627,Coal
C2,Advanced,63339205.2797171,Wood
C2,Moderate,63339205.2797171,Wood
C2,Conservative,63339205.2797171,Wood
C2,Advanced,1482010415.46159,Gas_CC
C2,Moderate,1494305282.8065,Gas_CC
C2,Conservative,1506472243.45508,Gas_CC
C2,Advanced,120844907.549599,Gas_CT
C2,Moderate,120844907.549599,Gas_CT
C2,Conservative,120844907.549599,Gas_CT
C2,Advanced,146690154.06168,Oil
C2,Moderate,146690154.06168,Oil
C2,Conservative,146690154.06168,Oil
C3,Advanced,340681280.575013,Coal
C3,Moderate,343850185.236443,Coal
C3,Conservative,347045667.800539,Coal
C3,Advanced,59699999.3677992,Wood
C3,Moderate,59699999.3677992,Wood
C3,Conservative,59699999.3677992,Wood
C3,Advanced,1208992978.58805,Gas_CC
C3,Moderate,1218728483.13392,Gas_CC
C3,Conservative,1228328052.36236,Gas_CC
C3,Advanced,106254911.782631,Gas_CT
C3,Moderate,106254911.782631,Gas_CT
C3,Conservative,106254911.782631,Gas_CT
C3,Advanced,138728679.848584,Oil
C3,Moderate,138728679.848584,Oil
C3,Conservative,138728679.848584,Oil
D,Advanced,1197829308.66345,Coal
D,Moderate,1228867238.46162,Coal
D,Conservative,1259943955.7752,Coal
D,Advanced,109623653.503892,Wood
D,Moderate,109623653.503892,Wood
D,Conservative,109623653.503892,Wood
D,Advanced,4449779499.08708,Gas_CC
D,Moderate,4511598151.67823,Gas_CC
D,Conservative,4573437969.49661,Gas_CC
D,Advanced,283412072.359652,Gas_CT
D,Moderate,283412072.359652,Gas_CT
D,Conservative,283412072.359652,Gas_CT
D,Advanced,564681644.335308,Oil
D,Moderate,564681644.335308,Oil
D,Conservative,564681644.335308,Oil
