"Simulation","Pathway","NPV"
"1","A",410501548206.695
"1","B1",4701457524.6615
"1","B2",10291598777.6244
"1","B3",4041913807.42327
"1","C1",5318625763.28425
"1","C2",6048000707.43172
"1","C3",2826417447.56986
"1","D",2188656802.03424
"10","A",406308693765.821
"10","B1",4237081593.87005
"10","B2",9546747175.40402
"10","B3",3610423036.49841
"10","C1",5030857046.37006
"10","C2",5467512247.36987
"10","C3",2499555924.87414
"10","D",2050348771.78541
"100","A",405614457367.052
"100","B1",4636944289.39959
"100","B2",10059969154.0101
"100","B3",3952773043.49341
"100","C1",5168063922.12646
"100","C2",5944786268.38529
"100","C3",2840905433.09148
"100","D",2130460841.44526
"1000","A",388510721635.021
"1000","B1",4769651752.1312
"1000","B2",10593602333.6119
"1000","B3",3980247467.57697
"1000","C1",4713254868.23766
"1000","C2",5963221622.87014
"1000","C3",2878054765.05874
"1000","D",1803926298.38257
"1001","A",415252125570.646
"1001","B1",5049731076.75833
"1001","B2",11236094438.8459
"1001","B3",4281881603.10956
"1001","C1",5434066775.41409
"1001","C2",6469858432.04754
"1001","C3",3041003667.06838
"1001","D",2290131654.44274
"1002","A",396377233868.16
"1002","B1",4550942660.32463
"1002","B2",10173310778.3967
"1002","B3",3860672345.70624
"1002","C1",4897328992.86555
"1002","C2",5807057999.90059
"1002","C3",2706508054.62553
"1002","D",1921878103.8857
"1003","A",397259943288.014
"1003","B1",4264124252.33003
"1003","B2",9510592230.20062
"1003","B3",3605400986.44875
"1003","C1",4962687429.97742
"1003","C2",5442000546.81128
"1003","C3",2505070348.67934
"1003","D",1973405810.70561
"1004","A",396865328280.402
"1004","B1",4477165727.36608
"1004","B2",9805022854.59046
"1004","B3",3785858017.45512
"1004","C1",4962358334.31169
"1004","C2",5696109095.25727
"1004","C3",2679272779.55016
"1004","D",1994503003.04608
"1005","A",406831840572.664
"1005","B1",4728594338.55648
"1005","B2",10328944125.4155
"1005","B3",4004572202.64407
"1005","C1",5188221699.66089
"1005","C2",5963112467.25479
"1005","C3",2890632975.79613
"1005","D",2183790750.02403
"1006","A",403738515672.874
"1006","B1",4676067461.22612
"1006","B2",10398005765.363
"1006","B3",3970468514.74991
"1006","C1",5096768793.78389
"1006","C2",5943087090.62271
"1006","C3",2816183987.14856
"1006","D",2119520776.31929
"1007","A",399594861327.444
"1007","B1",4359642803.37414
"1007","B2",9759096436.03403
"1007","B3",3694676471.73652
"1007","C1",5011869145.92527
"1007","C2",5578675792.07793
"1007","C3",2578879761.50165
"1007","D",1996082565.12922
"1008","A",406120981577.99
"1008","B1",4594243613.53524
"1008","B2",9920584037.20742
"1008","B3",3976533042.44533
"1008","C1",5222485057.79397
"1008","C2",5858163261.56738
"1008","C3",2835510693.25587
"1008","D",2172903266.85683
"1009","A",397542167341.477
"1009","B1",4682096350.06752
"1009","B2",10096731447.5328
"1009","B3",3939749632.28274
"1009","C1",4988903536.09846
"1009","C2",5830845322.01739
"1009","C3",2858773134.07578
"1009","D",2020386226.67759
"101","A",407435452620.757
"101","B1",4549473293.12465
"101","B2",10091800530.7386
"101","B3",3906685847.24075
"101","C1",5239958733.98647
"101","C2",5818953043.4959
"101","C3",2780620727.0608
"101","D",2193162268.8166
"1010","A",410720894750.549
"1010","B1",4899588906.02277
"1010","B2",10657884836.5696
"1010","B3",4159690812.52294
"1010","C1",5371311407.01926
"1010","C2",6257994699.67091
"1010","C3",2911334673.28318
"1010","D",2228054020.18674
"102","A",401417823031.157
"102","B1",4934966353.77935
"102","B2",11075636833.4208
"102","B3",4125406768.15617
"102","C1",5093089568.58579
"102","C2",6255685333.34727
"102","C3",2930164200.64626
"102","D",2071732402.38243
"103","A",410855180358.985
"103","B1",4796739997.57295
"103","B2",10639447751.2928
"103","B3",4051068241.43666
"103","C1",5307257279.08627
"103","C2",6155712044.06404
"103","C3",2831153253.76066
"103","D",2167038118.20613
"104","A",402002361578.617
"104","B1",4385814753.37691
"104","B2",9805787040.33142
"104","B3",3708605083.213
"104","C1",4950941709.50002
"104","C2",5629490903.92414
"104","C3",2628795354.53313
"104","D",2048941509.94427
"105","A",407646128742.724
"105","B1",4190652465.9525
"105","B2",9489364368.78856
"105","B3",3624364425.70554
"105","C1",5173937355.54465
"105","C2",5447009736.68041
"105","C3",2547952313.21038
"105","D",2115877697.81695
"106","A",409253135469.521
"106","B1",4438953520.1253
"106","B2",9870214133.76577
"106","B3",3787744252.60111
"106","C1",5264645345.95765
"106","C2",5721928788.59253
"106","C3",2669040533.84397
"106","D",2170530980.1729
"107","A",408160395642.814
"107","B1",4623257732.7474
"107","B2",10270286400.6335
"107","B3",3957261855.72434
"107","C1",5272941392.72431
"107","C2",5959237985.80346
"107","C3",2798620979.19616
"107","D",2197893842.18793
"108","A",395769426595.446
"108","B1",4569603442.85596
"108","B2",10136989216.0221
"108","B3",3873269009.45385
"108","C1",4967743509.75393
"108","C2",5833649889.0743
"108","C3",2748717184.47685
"108","D",1989646701.10047
"109","A",396949496942.171
"109","B1",4689933220.27861
"109","B2",10382692501.5461
"109","B3",3985160988.46479
"109","C1",5023422066.28094
"109","C2",5996551237.17002
"109","C3",2830393304.88912
"109","D",1970452579.83866
"11","A",400878071710.537
"11","B1",4620298657.33657
"11","B2",10523028938.1833
"11","B3",3901907080.99953
"11","C1",5046313525.40497
"11","C2",5921242375.8071
"11","C3",2718820197.13386
"11","D",1987917936.93172
"110","A",394853087437.117
"110","B1",4270936770.80814
"110","B2",9296774125.69748
"110","B3",3639446411.77592
"110","C1",4963236522.033
"110","C2",5429150164.79014
"110","C3",2587182719.42496
"110","D",1928539809.999
"294","A",403715879069.64
"294","B1",4348096263.85631
"294","B2",9598925763.8311
"294","B3",3727281915.5984
"294","C1",5140794127.19194
"294","C2",5663101401.63822
"294","C3",2585845465.90059
"294","D",2011646179.23208
"295","A",420928493840.803
"295","B1",5373530930.9853
"295","B2",11797936111.8176
"295","B3",4613624643.30347
"295","C1",5705585444.55023
"295","C2",6853299697.5832
"295","C3",3307659171.70996
"295","D",2471110225.621
"296","A",388973616037.107
"296","B1",4379122543.91624
"296","B2",9605650157.66716
"296","B3",3715555302.04564
"296","C1",4678331423.44659
"296","C2",5525196884.27568
"296","C3",2637584912.77911
"296","D",1834605281.12024
"297","A",406649132939.233
"297","B1",4415211375.18711
"297","B2",9867377082.88819
"297","B3",3789543564.55752
"297","C1",5151345141.2063
"297","C2",5672519291.153
"297","C3",2633527635.00966
"297","D",2165281503.88998
"298","A",395793683387.344
"298","B1",4350298752.97569
"298","B2",9879324964.70337
"298","B3",3678557091.46256
"298","C1",4868948617.73273
"298","C2",5565226470.33099
"298","C3",2599605264.53879
"298","D",1947953102.77869
"299","A",400200593448.521
"299","B1",4208090103.36825
"299","B2",9625961833.01707
"299","B3",3603955258.8436
"299","C1",5021093188.84995
"299","C2",5434949878.95032
"299","C3",2512719692.34583
"299","D",2012904491.22821
"3","A",414519325120.351
"3","B1",4354882496.53253
"3","B2",9830722592.83584
"3","B3",3712438707.70174
"3","C1",5285308921.78195
"3","C2",5639934830.60317
"3","C3",2631284966.05756
"3","D",2202533781.41846
"30","A",398299360312.139
"30","B1",4271459591.87534
"30","B2",9633895507.75837
"30","B3",3632373650.04227
"30","C1",4966178753.13117
"30","C2",5522639845.93425
"30","C3",2518110760.94176
"30","D",1955653913.51939
"300","A",410911785367.005
"300","B1",4625303278.17677
"300","B2",10287565388.1385
"300","B3",3965610923.12622
"300","C1",5324573761.89989
"300","C2",6005378744.79263
"300","C3",2781596993.33297
"300","D",2230944900.77924
"301","A",407991608541.799
"301","B1",4850803096.89223
"301","B2",10856204796.9043
"301","B3",4095380933.64227
"301","C1",5301402673.63944
"301","C2",6222965634.731
"301","C3",2878210649.98036
"301","D",2204726275.99736
"302","A",393655877326.024
"302","B1",4646789815.68636
"302","B2",10312427048.8551
"302","B3",3970754597.68762
"302","C1",4939351878.16222
"302","C2",5925277095.76522
"302","C3",2823392430.89303
"302","D",1948065433.48153
"303","A",407181538753.645
"303","B1",4547982721.7828
"303","B2",10352981282.8479
"303","B3",3831259706.44252
"303","C1",5132192781.35371
"303","C2",5851737544.38963
"303","C3",2692092364.57893
"303","D",2152359026.9712
"304","A",391801897293.738
"304","B1",4334320207.31276
"304","B2",9627783785.13648
"304","B3",3702174305.36871
"304","C1",4909855395.36095
"304","C2",5616113719.88726
"304","C3",2631016459.56053
"304","D",1881154512.03723
"305","A",397505969804.012
"305","B1",4353020756.46661
"305","B2",9697086080.86656
"305","B3",3736537356.89203
"305","C1",4961851508.18741
"305","C2",5605146401.77613
"305","C3",2604094213.81735
"305","D",1964658806.47977
"306","A",411909586892.11
"306","B1",4452088529.53475
"306","B2",9928431423.77245
"306","B3",3814532602.86815
"306","C1",5307365890.19017
"306","C2",5725309025.54296
"306","C3",2702794840.33691
"306","D",2203982055.12473
"307","A",404050790708.106
"307","B1",4741122877.41753
"307","B2",10443847653.1879
"307","B3",4065046707.06811
"307","C1",5182170092.02486
"307","C2",6074712905.92403
"307","C3",2890740346.46981
"307","D",2100408652.39362
"308","A",414359318936.79
"308","B1",5146083379.60074
"308","B2",11485215351.6601
"308","B3",4287711739.7519
"308","C1",5398016985.09473
"308","C2",6565830611.88614
"308","C3",3056562172.42802
"308","D",2285108290.37806
"309","A",401627346261.095
"309","B1",4595889836.57088
"309","B2",10231257618.3756
"309","B3",3905862072.24435
"309","C1",5074772525.99953
"309","C2",5847013022.62856
"309","C3",2789552102.19999
"309","D",2046468686.42857
"31","A",405984722823.082
"31","B1",4401815431.89396
"31","B2",9594408697.31184
"31","B3",3748917132.07999
"31","C1",5120444510.0303
"31","C2",5617328980.82318
"31","C3",2686325972.37798
"31","D",2072953301.78597
"310","A",402391239990.732
