Pathway,mean_NPV,max_NPV,min_NPV,mean_mortality,max_mortality,min_mortality
A,1266168912.16121,1288438713.76435,63633036.934464,111.323712956288,113.281711590948,5.59472426639961
B1,619710998.252516,649010175.608424,151740042.198617,54.486039439684,57.0620726833507,13.3412412352319
B2,708223051.369967,740263995.688502,185124066.985292,62.2681689010685,65.0852629348152,16.2764211760613
B3,616929654.541658,644831130.933599,578942043.974806,54.2414989949405,56.6946440051203,50.9015640036279
C1,579060535.286288,595623726.342245,81184998.0636192,50.9119819602058,52.3682457406885,7.13792238459288
C2,666651874.757115,695305314.077688,510517153.848917,58.613160720047,61.1324195831392,44.8855318974233
C3,582488678.195631,609940864.802949,191212913.251681,51.2133900847832,53.6270327769571,16.8117628413668
D,1448082131.56681,1472347670.06249,293303666.045639,127.317830980791,129.45129817958,25.7877545517673
