"Pathway","Simulation","sum_NPV"
"A",115,44.409160064109
"B1",115,17.1092748749091
"B2",115,20.4547204394295
"B3",115,17.0974029382836
"C1",115,17.0563934163122
"C2",115,19.0447562396763
"C3",115,15.7613659813322
"D",115,61.2705126679867
"A",116,44.3086424444212
"B1",116,17.0473344675654
"B2",116,20.3483948289656
"B3",116,17.0360034666571
"C1",116,17.0365213802177
"C2",116,18.968637408183
"C3",116,15.7121082067802
"D",116,61.2039723870641
"A",117,44.2288537046645
"B1",117,16.8327690988155
"B2",117,20.1943089452851
"B3",117,16.7994769782963
"C1",117,16.8759877418217
"C2",117,18.7710330663503
"C3",117,15.504670924287
"D",117,60.8502764601234
"A",118,44.2482226952523
"B1",118,16.9115548542602
"B2",118,20.207068366286
"B3",118,16.8982446897714
"C1",118,16.9386523242118
"C2",118,18.8323371509119
"C3",118,15.593221870909
"D",118,60.996206931327
"A",119,44.2935568778749
"B1",119,16.8995616740434
"B2",119,20.2572962359396
"B3",119,16.886598682512
"C1",119,16.9366928359425
"C2",119,18.8499583407742
"C3",119,15.5687842940402
"D",119,61.0474839982646
"A",12,44.3044944524023
"B1",12,16.9924190074804
"B2",12,20.3244163445607
"B3",12,16.9789663532759
"C1",12,17.0134068274555
"C2",12,18.9407715086721
"C3",12,15.6645623402966
"D",12,61.1543891621056
"A",120,44.3661890150087
"B1",120,17.4041826317351
"B2",120,20.7561055308582
"B3",120,17.3666861976915
"C1",120,17.1560451687721
"C2",120,19.3124219592155
"C3",120,16.0428572559979
"D",120,61.4055214427842
"A",121,44.153217844285
"B1",121,16.7435558167986
"B2",121,20.0074730088413
"B3",121,16.7377107621999
"C1",121,16.8582172911189
"C2",121,18.669469655851
"C3",121,15.4337076338278
"D",121,60.8874471261089
"A",122,44.2365783579005
"B1",122,16.738013567069
"B2",122,20.0455161545345
"B3",122,16.718395783314
"C1",122,16.8705524614201
"C2",122,18.6784171750688
"C3",122,15.4065142277423
"D",122,60.872702575704
"A",123,44.1377177698095
"B1",123,16.5023220057591
"B2",123,19.8152795833615
"B3",123,16.4819095825721
"C1",123,16.7132416751384
"C2",123,18.4508169985766
"C3",123,15.2001422995356
"D",123,60.5923122934957
"A",124,44.2111651685283
"B1",124,16.8134532979964
"B2",124,20.1340649322841
"B3",124,16.7970414409179
"C1",124,16.8753137683421
"C2",124,18.7547684394576
"C3",124,15.4827708589621
"D",124,60.8463696229434
"A",125,44.2938652095051
"B1",125,16.9628971614243
"B2",125,20.2976354894296
"B3",125,16.9324153219659
"C1",125,16.961121508182
"C2",125,18.8981964865644
"C3",125,15.6330062771525
"D",125,61.0257914778128
"A",126,44.4869470983594
"B1",126,16.6024943457836
"B2",126,20.0024386809335
"B3",126,16.5905308416574
"C1",126,16.8302466362832
"C2",126,18.5871876358398
"C3",126,15.2851584892927
"D",126,60.7715727896506
"A",127,44.3065240289244
"B1",127,17.6587033912033
"B2",127,21.0397832372984
"B3",127,17.6079805787799
"C1",127,17.2370159563443
"C2",127,19.5488509326757
"C3",127,16.2510030226731
"D",127,61.5570806995681
"A",128,44.3412716378296
"B1",128,16.9543151706231
"B2",128,20.2670217672921
"B3",128,16.9457068206693
"C1",128,17.0070722597039
"C2",128,18.8902979275343
"C3",128,15.6257464838734
"D",128,61.1137081947864
"A",129,44.5995425699512
"B1",129,17.4518989111496
"B2",129,20.8734973179586
"B3",129,17.4033249258122
"C1",129,17.2142712210757
"C2",129,19.3869537705447
"C3",129,16.0640653423979
"D",129,61.5339062486319
"A",13,44.2280391212339
"B1",13,16.9861948855536
"B2",13,20.2800018622416
"B3",13,16.9640607146649
"C1",13,17.0109717160625
"C2",13,18.890235687765
"C3",13,15.6467296987242
"D",13,61.0988362330257
"A",130,44.2461058147446
"B1",130,16.6235197730063
"B2",130,19.953976034331
"B3",130,16.6245134742321
"C1",130,16.828905571981
"C2",130,18.584893666316
"C3",130,15.3199334475469
"D",130,60.7956824282922
"A",131,44.35207157219
"B1",131,17.1965301794637
"B2",131,20.4649577087808
"B3",131,17.1808255225732
"C1",131,17.1309010677005
"C2",131,19.0860467335158
"C3",131,15.8554469494933
"D",131,61.3371205976606
"A",132,44.3109378504867
"B1",132,16.9020424511103
"B2",132,20.3191268656645
"B3",132,16.8559260016038
"C1",132,16.8550611607964
"C2",132,18.8443376411255
"C3",132,15.5397186089621
"D",132,60.9120385053107
"A",133,44.1668756037458
"B1",133,17.0521685373002
"B2",133,20.4327097642407
"B3",133,17.0055249227877
"C1",133,16.9080278288439
"C2",133,18.9712758654895
"C3",133,15.6809069585059
"D",133,60.993347672579
"A",134,44.2919723230739
"B1",134,17.0715880639697
"B2",134,20.3315805352896
"B3",134,17.0664127378138
"C1",134,17.0495108248074
"C2",134,18.9943604076755
"C3",134,15.7373082831255
"D",134,61.2577917846925
"A",135,44.4294968571858
"B1",135,17.0905920289102
"B2",135,20.3957070596312
"B3",135,17.0841799883169
"C1",135,17.1021811539013
"C2",135,19.0094274191721
"C3",135,15.7518515476984
"D",135,61.3446137091472
"A",136,44.4555469616233
"B1",136,17.3994894984551
"B2",136,20.7429166980375
"B3",136,17.3585193334491
"C1",136,17.1843453604102
"C2",136,19.3080189367863
"C3",136,16.0307219444177
"D",136,61.5116444132618
"A",137,44.1667232372966
"B1",137,16.7866089662554
"B2",137,20.0938032227524
"B3",137,16.7698940991924
"C1",137,16.8747725773668
"C2",137,18.7348513443142
"C3",137,15.470454244828
"D",137,60.8731494733333
"A",138,44.2399119606999
"B1",138,16.8757698959706
"B2",138,20.2552457270014
"B3",138,16.8457210306722
"C1",138,16.8808649015676
"C2",138,18.8117114652936
"C3",138,15.5254056479449
"D",138,60.9095903016723
"A",139,44.2197588684789
"B1",139,16.8915990731956
"B2",139,20.2823949459289
"B3",139,16.8629266455876
"C1",139,16.8755354937518
"C2",139,18.8298159991362
"C3",139,15.5408284347131
"D",139,60.8855015886913
"A",14,44.4031698156623
"B1",14,16.9160846270283
"B2",14,20.1750926686933
"B3",14,16.9111750941525
"C1",14,17.0390336137711
"C2",14,18.8561123546053
"C3",14,15.5976692861134
"D",14,61.1620879638985
"A",140,44.1237133321107
"B1",140,16.9638162627387
"B2",140,20.2731583329771
"B3",140,16.9486836612851
"C1",140,16.9719412766449
"C2",140,18.8923149043514
"C3",140,15.6311449136235
"D",140,60.9958703772168
"A",141,44.3727214925474
"B1",141,16.6820673184586
"B2",141,20.01501358217
"B3",141,16.6694439119204
"C1",141,16.848263577205
"C2",141,18.629336083044
"C3",141,15.3702341428408
"D",141,60.8153181926762
"A",142,44.4513902298378
"B1",142,17.2146079207776
"B2",142,20.5172357995982
"B3",142,17.2037875598503
"C1",142,17.1664865230609
"C2",142,19.1376402423822
"C3",142,15.87563672386
"D",142,61.4073840211763
"A",143,44.3566769458467
"B1",143,16.7354842854534
"B2",143,20.0847423512981
"B3",143,16.7207136913805
"C1",143,16.8463209715326
"C2",143,18.7002120620467
"C3",143,15.4121182049153
"D",143,60.8710283019546
"A",144,44.2365006196032
"B1",144,16.8000236024788
"B2",144,20.1305188785701
"B3",144,16.7735539539955
"C1",144,16.8504387412531
"C2",144,18.7370668582698
"C3",144,15.4663056704652
"D",144,60.8663673070675
"A",145,44.3263247449428
"B1",145,16.9441625145949
"B2",145,20.2774922437851
"B3",145,16.9223810145408
"C1",145,16.9388497321235
"C2",145,18.8662847422122
"C3",145,15.5942723153405
"D",145,60.9993498288836
"A",146,44.4905629680342
"B1",146,16.9524294995422
"B2",146,20.2842757691391
"B3",146,16.938236507328
"C1",146,17.0061803033751
"C2",146,18.9073576154186
"C3",146,15.6333469459085
"D",146,61.1226332976392
"A",147,44.5944209890885
"B1",147,17.5619604871722
"B2",147,20.8868910905336
"B3",147,17.5346199402029
"C1",147,17.3333205568584
"C2",147,19.4629246793474
"C3",147,16.1902837890066
"D",147,61.748176988394
"A",148,44.3418676955336
"B1",148,17.1467843771351
"B2",148,20.4830542184364
"B3",148,17.1228218690346
"C1",148,17.0250380323277
"C2",148,19.0849182661526
"C3",148,15.8151893243617
"D",148,61.1491410050089
"A",149,44.3485644004715
"B1",149,16.9431491622882
"B2",149,20.2716499122051
"B3",149,16.9178446389827
"C1",149,16.9631106197988
"C2",149,18.8529892916899
"C3",149,15.6000646314563
"D",149,61.0067148067895
"A",15,44.2375134825251
"B1",15,16.8470579191539
"B2",15,20.173479217599
"B3",15,16.8260527643689
"C1",15,16.9030296690391
"C2",15,18.7872704617647
"C3",15,15.5169087225322
"D",15,60.8615320054466
"A",150,44.2458807356205
"B1",150,16.9847715772383
"B2",150,20.3170758763647
"B3",150,16.9481207917729
"C1",150,16.8916091543891
"C2",150,18.9048920809876
"C3",150,15.6409584456959
"D",150,60.8941572541155
"A",151,44.3593285391534
"B1",151,16.5750968963613
"B2",151,19.8574657070143
"B3",151,16.5836534124458
"C1",151,16.8614510902245
"C2",151,18.5390274832797
"C3",151,15.2858709280288
"D",151,60.8332483387711
"A",152,44.2931160375965
"B1",152,17.0137179444497
"B2",152,20.365747536862
"B3",152,16.9773724009749
"C1",152,16.9428726476028
"C2",152,18.9419963943664
"C3",152,15.6660301670444
"D",152,61.027606211316
"A",153,44.3812742805428
"B1",153,16.9407741373563
"B2",153,20.2672333843624
"B3",153,16.915659268098
"C1",153,16.9549058334152
"C2",153,18.8734768126988
"C3",153,15.6023627463544
"D",153,61.0416149746824
"A",154,44.2863465293221
"B1",154,16.7585024556606
"B2",154,20.0915134308278
"B3",154,16.7370207599744
"C1",154,16.8529099410499
"C2",154,18.7006085579782
"C3",154,15.4336778548318
"D",154,60.7850051845712
"A",155,44.2590228694844
"B1",155,17.1237205609967
"B2",155,20.4235706551739
"B3",155,17.0955721891897
"C1",155,17.0693666600444
"C2",155,19.0332299955505
"C3",155,15.787766859623
"D",155,61.1880089283998
"A",156,44.4114808476437
"B1",156,17.8182311126536
"B2",156,21.1422094047776
"B3",156,17.7681457763865
"C1",156,17.4029484946655
"C2",156,19.6949413528824
"C3",156,16.4294453880424
"D",156,61.8643456994896
"A",157,44.1668076725905
"B1",157,16.9690200371779
"B2",157,20.3380125134083
"B3",157,16.923704445002
"C1",157,16.876770807328
"C2",157,18.8841427516286
"C3",157,15.6120682006009
"D",157,60.9038489257187
"A",158,44.2576818599393
"B1",158,17.3947358108549
"B2",158,20.7048809427428
"B3",158,17.3591204117933
"C1",158,17.1553379370846
"C2",158,19.2940212110367
"C3",158,16.050991555567
"D",158,61.382078986597
"A",159,44.2054443161906
"B1",159,16.4639166240183
"B2",159,19.7122029009343
"B3",159,16.4795071204245
"C1",159,16.769503088288
"C2",159,18.4163764906746
"C3",159,15.1782668068064
"D",159,60.6929209053985
"A",16,44.1788915652586
"B1",16,17.5182470401983
"B2",16,20.8653926078222
"B3",16,17.4655440095453
"C1",16,17.1232314701538
"C2",16,19.4099265387015
"C3",16,16.1303625485384
"D",16,61.3070696257873
"A",160,44.4256043294572
"B1",160,17.5210566226496
"B2",160,20.8330363823131
"B3",160,17.4928713380068
"C1",160,17.2950693442767
"C2",160,19.434987867625
"C3",160,16.1467011148053
"D",160,61.6303555059377
"A",161,44.3065200321264
"B1",161,17.2775553032522
"B2",161,20.5282378001041
"B3",161,17.2814725591273
"C1",161,17.1577869346988
"C2",161,19.1855029788962
"C3",161,15.9411005507461
"D",161,61.4706767036391
"A",162,44.308218240388
"B1",162,17.1109932024084
"B2",162,20.484268094368
"B3",162,17.081360487072
"C1",162,17.0185730956534
"C2",162,19.0440349726561
"C3",162,15.7687018144707
"D",162,61.1337714136302
"A",163,44.4032984283273
"B1",163,17.0909980478501
"B2",163,20.4493405283726
"B3",163,17.0696150525168
"C1",163,17.0444998672896
"C2",163,19.0182481006099
"C3",163,15.7370258417683
"D",163,61.2169257091861
"A",164,44.3612249453829
"B1",164,16.8303265334339
"B2",164,20.1450505402516
"B3",164,16.8182962852371
"C1",164,16.945851483824
"C2",164,18.7692668650709
"C3",164,15.5151170488829
"D",164,60.9761106464247
"A",165,44.256288464143
"B1",165,16.4905463404492
"B2",165,19.756796136476
"B3",165,16.4932396674002
"C1",165,16.7924129331057
"C2",165,18.4564819680551
"C3",165,15.2099002649974
"D",165,60.7459272477065
"A",166,44.5044953966472
"B1",166,17.1056633497624
"B2",166,20.5218289367402
"B3",166,17.0638218629682
"C1",166,17.0257306192135
"C2",166,19.0502188641901
"C3",166,15.7262543078557
"D",166,61.247692466517
"A",167,44.171998941494
"B1",167,16.311365692607
"B2",167,19.5854899280469
"B3",167,16.3157301554625
"C1",167,16.6419640628263
"C2",167,18.2629952264917
"C3",167,15.0369401630505
"D",167,60.3899599547063
"A",168,44.3392369333909
"B1",168,16.695868527372
"B2",168,19.9238182238536
"B3",168,16.7068190522331
"C1",168,16.9068990642405
"C2",168,18.6274981043298
"C3",168,15.4083148723164
"D",168,60.9715212767882
"A",169,44.2531447722503
"B1",169,16.9934214254034
"B2",169,20.3042397390944
"B3",169,16.9805210364347
"C1",169,16.9850757572799
"C2",169,18.9261079314331
"C3",169,15.6730881733595
"D",169,61.0726962930566
"A",17,44.3698043834409
"B1",17,16.815446511067
"B2",17,20.1582144681652
"B3",17,16.8100357671668
"C1",17,16.9022450415068
"C2",17,18.7691158409979
"C3",17,15.498666096774
"D",17,60.917787997877
"A",170,44.1056860621821
"B1",170,16.1430693546388
"B2",170,19.4495236666046
"B3",170,16.1284179435531
"C1",170,16.4889798799275
"C2",170,18.1040769831511
"C3",170,14.8579532484538
"D",170,60.204787752403
"A",171,44.2691126442689
"B1",171,17.0930621826955
"B2",171,20.4096229699996
"B3",171,17.0694578509577
"C1",171,17.0153564595481
"C2",171,18.9998997896404
"C3",171,15.7571240639837
"D",171,61.1356316618441
"A",172,44.4947370663757
"B1",172,16.9361288115832
"B2",172,20.2400848987209
"B3",172,16.9317460075507
"C1",172,17.0495216579897
"C2",172,18.8821749986224
"C3",172,15.6127168658696
"D",172,61.2529360629506
"A",173,44.5970321620993
"B1",173,17.18969917771
"B2",173,20.5375715072008
"B3",173,17.1561095702883
"C1",173,17.1266033034474
"C2",173,19.1319828580452
"C3",173,15.8313981466896
"D",173,61.3140134587279
"A",174,44.294591722979
"B1",174,16.8767149487284
"B2",174,20.2492065561331
"B3",174,16.8534912077186
"C1",174,16.8757948044991
"C2",174,18.8272697170345
"C3",174,15.5271847077603
"D",174,60.9154010231197
"A",175,44.3218990710741
"B1",175,17.0050134077079
"B2",175,20.3092083324576
"B3",175,16.9986058697813
"C1",175,17.0119407479275
"C2",175,18.9299923785183
"C3",175,15.6772991639032
"D",175,61.1780394918422
"A",176,44.3169531523986
"B1",176,17.1634312267233
"B2",176,20.4572935173628
"B3",176,17.149263652463
"C1",176,17.1246272504197
"C2",176,19.0858414154859
"C3",176,15.8287887664718
"D",176,61.3538353997419
"A",177,44.3690438853703
"B1",177,17.038702241982
"B2",177,20.3875339390078
"B3",177,17.0058048923578
"C1",177,16.9909012805761
"C2",177,18.9737066177884
"C3",177,15.683155293316
"D",177,61.0695116511041
"A",178,44.4012576307302
"B1",178,17.0781702949668
"B2",178,20.3727259119748
"B3",178,17.0736259932371
"C1",178,17.1014190189106
"C2",178,18.9958616504851
"C3",178,15.7459136842458
"D",178,61.2598544079149
"A",179,44.3485495747929
"B1",179,17.0929821751982
"B2",179,20.4022950660353
"B3",179,17.0817675164724
"C1",179,17.0754342188888
"C2",179,19.0194643762639
"C3",179,15.76558866846
"D",179,61.2190804383755
"A",18,44.4933243539138
"B1",18,17.0945029514252
"B2",18,20.4313469321638
"B3",18,17.0627576700125
"C1",18,17.0823297723249
"C2",18,19.0322231798054
"C3",18,15.7482605352327
"D",18,61.2174144850722
"A",180,44.3333884393055
"B1",180,16.9387181343347
"B2",180,20.223112411293
"B3",180,16.9212197618935
"C1",180,16.9556383024332
"C2",180,18.8680460776242
"C3",180,15.6119883658518
"D",180,61.0475652718161
"A",181,44.2402881089906
"B1",181,16.8884237382905
"B2",181,20.1966697552738
"B3",181,16.8770472543105
"C1",181,16.9143891503448
"C2",181,18.8216892900213
"C3",181,15.5594442682344
"D",181,60.9317547209238
"A",182,44.2705474878732
"B1",182,17.0295066421098
"B2",182,20.3057043147739
"B3",182,17.0151053844743
"C1",182,17.0394005249103
"C2",182,18.9414490842057
"C3",182,15.7066710907444
"D",182,61.1425311316854
"A",183,44.0383320077075
"B1",183,16.4745921062575
"B2",183,19.771165115411
"B3",183,16.4572012678513
"C1",183,16.657218519942
"C2",183,18.4174532277527
"C3",183,15.1786421125707
"D",183,60.4812388902575
"A",184,44.1389202830914
"B1",184,17.1806809459447
"B2",184,20.4524244302419
"B3",184,17.1659554342915
"C1",184,17.0779591792816
"C2",184,19.0843167507073
"C3",184,15.8450213561594
"D",184,61.2124982962166
"A",185,44.3721115957119
"B1",185,17.1569066598958
"B2",185,20.4672133985285
"B3",185,17.1311451241342
"C1",185,17.0651629143327
"C2",185,19.0655404613141
"C3",185,15.8191661937626
"D",185,61.204711270636
"A",186,44.3586163485632
"B1",186,17.4170019770108
"B2",186,20.6953751113792
"B3",186,17.3993830315542
"C1",186,17.2368499158225
"C2",186,19.3148030777822
"C3",186,16.0652181245239
"D",186,61.5222615424587
"A",187,44.315472501969
"B1",187,16.6329681413778
"B2",187,19.8935034496499
"B3",187,16.6401306314078
"C1",187,16.8983387624299
"C2",187,18.590270019553
"C3",187,15.3482493468876
"D",187,60.9328787031063
"A",188,44.4430263042081
"B1",188,17.4855445344151
"B2",188,20.8892178185597
"B3",188,17.4315927518783
"C1",188,17.2018708974442
"C2",188,19.3946044843661
"C3",188,16.0911497898612
"D",188,61.4600709685402
"A",189,44.27852696366
"B1",189,16.9180533130503
"B2",189,20.2429217232127
"B3",189,16.8986307133532
"C1",189,16.9549083691353
"C2",189,18.8555794096571
"C3",189,15.5894501837876
"D",189,61.0216404453303
"A",19,44.3029090095117
"B1",19,16.7594024968642
"B2",19,20.0093882641011
"B3",19,16.7596495251805
"C1",19,16.920048168201
"C2",19,18.6900578181107
"C3",19,15.469233630017
"D",19,60.9560475795603
"A",190,44.2615084250348
"B1",190,17.5414586006857
"B2",190,20.7965807454266
"B3",190,17.5192599088211
"C1",190,17.2756455914564
"C2",190,19.4158280995458
"C3",190,16.1839549803429
"D",190,61.6260157495638
"A",191,44.4294139591699
"B1",191,17.0386769502178
"B2",191,20.4449838286485
"B3",191,16.9974513076093
"C1",191,17.0009532721411
"C2",191,18.9684324863414
"C3",191,15.6694442983486
"D",191,61.1320541577238
"A",192,44.2675040105802
"B1",192,16.9652621070258
"B2",192,20.290650905236
"B3",192,16.949506193981
"C1",192,16.9518738527198
"C2",192,18.8983849821353
"C3",192,15.6247035421356
"D",192,61.0176267131099
"A",193,44.2599647973108
"B1",193,16.6371816138258
"B2",193,19.975593107851
"B3",193,16.6197441767143
"C1",193,16.7821663332601
"C2",193,18.5768420215518
"C3",193,15.3198286341321
"D",193,60.6568052547479
"A",194,44.2556376606203
"B1",194,16.8668970007048
"B2",194,20.1664973435056
"B3",194,16.8548408726812
"C1",194,16.9251809881018
"C2",194,18.790237943394
"C3",194,15.5383430244948
"D",194,60.9306686177891
"A",195,44.1596190354571
"B1",195,16.780633715192
"B2",195,20.0578607034953
"B3",195,16.7748187117765
"C1",195,16.8598287213907
"C2",195,18.7240192479931
"C3",195,15.4688257242617
"D",195,60.8204689863819
"A",196,44.4585227683203
"B1",196,17.0206006052284
"B2",196,20.3560625195249
"B3",196,16.9906354246085
"C1",196,17.0011847497778
"C2",196,18.9531981923267
"C3",196,15.6783158935704
"D",196,61.1048962980971
"A",197,44.5260241358744
"B1",197,17.406081491377
"B2",197,20.7867262491185
"B3",197,17.3597341906368
"C1",197,17.1700250417975
"C2",197,19.3123918024615
"C3",197,16.0161803268719
"D",197,61.4073259671803
"A",198,44.0380948087991
"B1",198,16.4855179387287
"B2",198,19.8215318952417
"B3",198,16.4570930610681
"C1",198,16.635595367191
"C2",198,18.4331074018607
"C3",198,15.1598124952227
"D",198,60.4357142568378
"A",199,44.4970559100563
"B1",199,16.9893366357295
"B2",199,20.2835231356507
"B3",199,16.980037456732
"C1",199,17.0462625373452
"C2",199,18.9044058539693
"C3",199,15.6600530075186
"D",199,61.1868965198988
"A",2,44.3432508205077
"B1",2,16.9969485012187
"B2",2,20.3180083782681
"B3",2,16.9735061181247
"C1",2,16.9903008117825
"C2",2,18.9112019883235
"C3",2,15.6593079577113
"D",2,61.0787813649606
"A",20,44.4067341601287
"B1",20,16.8674168387834
"B2",20,20.2229356458603
"B3",20,16.8441539689229
"C1",20,16.9053459989642
"C2",20,18.8029676743635
"C3",20,15.534800587008
"D",20,60.9823258811554
"A",200,44.3310734875472
"B1",200,17.6890447069686
"B2",200,20.9417026162645
"B3",200,17.6653529762426
"C1",200,17.3817824073532
"C2",200,19.555823070462
"C3",200,16.3322364197379
"D",200,61.7967521335367
"A",201,44.1513615719533
"B1",201,16.6402704125996
"B2",201,19.9406627772363
"B3",201,16.6252638440515
"C1",201,16.7409166565671
"C2",201,18.5626581509125
"C3",201,15.3134490825336
"D",201,60.6382117684347
"A",202,44.4668006378234
"B1",202,17.6850048281473
"B2",202,20.9938569569834
"B3",202,17.6491646805179
"C1",202,17.3682236386493
"C2",202,19.5747150311509
