"Pathway","NPV_max","NPV_mean","NPV_min"
"A",228068107773.744,224930393346.739,5292295251.65713
"B1",76126304912.1272,71650728004.9676,14726575495.3351
"B2",90704964758.1221,85852861552.8515,20217927364.4581
"B3",75771327668.1296,71456142324.699,65637767628.6679
"C1",73190278395.0233,70543676778.2883,9948384536.88846
"C2",83701839817.3634,79420345495.8077,60253884683.5717
"C3",70003569334.5359,65883005085.0715,19198582691.385
"D",282591947680.166,276919595971.846,61797574510.8715
