County,State,Pathway,total_mean_emission,total_min_emission,total_max_emission
Suffolk,MA,A,9.70802703525809,9.28210099490939,10.1752690718428
Suffolk,MA,B1,3.90038554353091,3.84878814119275,3.93839968503174
Suffolk,MA,B2,3.85193208365537,3.78426683493001,3.90937085469582
Suffolk,MA,B3,3.893729781886,3.84004283301186,3.93566936579543
Suffolk,MA,C1,3.58512243422097,3.43505352126759,3.70812147557385
Suffolk,MA,C2,3.82952585465238,3.74358737095079,3.89470550190321
Suffolk,MA,C3,3.89381447044806,3.84013115905276,3.93576804079811
Suffolk,MA,D,13.2013975920001,12.8663990639393,13.5202538947964
Norfolk,MA,A,139.720192794788,30.3750592242546,146.154158346939
Norfolk,MA,B1,73.5444233654882,29.6009534177471,78.5104165339113
Norfolk,MA,B2,87.3415626298869,28.4222288335033,92.6579960064409
Norfolk,MA,B3,73.0568959763549,66.8577638185267,78.0918725779956
Norfolk,MA,C1,72.0456244747522,28.8140175677869,74.7273482256128
Norfolk,MA,C2,80.7023530997665,74.7101292687649,85.3673421130523
Norfolk,MA,C3,68.4435734254202,29.9672483283844,73.0115815359308
Norfolk,MA,D,124.909875757113,30.4106005635651,130.223088896624
Middlesex,MA,A,39.7549828688272,38.7060841173448,40.7354230986487
Middlesex,MA,B1,10.4518532026879,10.0793359049061,11.113576347326
Middlesex,MA,B2,10.3571143080267,10.0189044380043,10.9635974191918
Middlesex,MA,B3,10.3611881819727,10.0422999044324,10.8321071390656
Middlesex,MA,C1,10.2227177415448,9.94578276192761,10.4947512829378
Middlesex,MA,C2,10.2776705149895,9.99012477911701,10.5897894543713
Middlesex,MA,C3,10.361231803625,10.0423011181767,10.8321086711635
Middlesex,MA,D,39.4356338102143,38.3799246101523,40.4103384928477
Essex,MA,A,24.281140758838,1.16253062139777,28.2553997094748
Essex,MA,B1,21.3758408449872,0.072566687812996,22.5473350253191
Essex,MA,B2,23.9586408273487,0.0755812830301311,25.2302618266992
Essex,MA,B3,21.1177054481549,19.9775077235637,22.1447670846476
Essex,MA,C1,15.912094169309,0.0876856170358963,17.233046575197
Essex,MA,C2,22.3257172414433,0.0781847143774695,23.5181145317431
Essex,MA,C3,19.6681766361872,0.0722078940972936,20.6736587221699
Essex,MA,D,28.928422871601,0.80076196361948,31.8819898702055
Bristol,MA,A,25.0539141162716,5.90746620301704,25.9578032744265
Bristol,MA,B1,18.4438216981128,6.22589018323162,19.0958982749486
Bristol,MA,B2,20.2955102139223,19.5532480795675,20.9767020137687
Bristol,MA,B3,18.2374182972535,17.468917649408,19.0746446283815
Bristol,MA,C1,13.497520971885,1.16725735649018,14.1271252298435
Bristol,MA,C2,19.0170338085504,18.3031724101175,19.6486560352304
Bristol,MA,C3,17.0906932928639,16.285057315264,17.8008901252709
Bristol,MA,D,24.0845121138438,3.67481757775386,26.0707958577904
Rockingham,NH,A,215.914240333681,118.396782959411,221.375624932021
Rockingham,NH,B1,47.9346353732385,19.914179010679,50.396392764451
Rockingham,NH,B2,53.9632475770444,20.8360514885417,56.5826525107825
Rockingham,NH,B3,48.0760898804302,45.4971241036039,50.5428886332743
Rockingham,NH,C1,51.9942564121301,50.5481827931178,53.3887365184505
Rockingham,NH,C2,52.2096425223494,40.6601412752173,54.412712128841
Rockingham,NH,C3,46.2227392701751,20.0977485762435,48.7293397055899
Rockingham,NH,D,240.213506979584,66.3443854265528,244.532108831329
Providence,RI,A,155.655015171588,54.6185506538068,161.634477007031
Providence,RI,B1,85.0797805318016,51.563001726004,90.4961559308918
Providence,RI,B2,100.141746221645,58.3599215302412,106.617033913572
Providence,RI,B3,84.7063653224186,78.9449224371009,89.8428609121233
Providence,RI,C1,82.22889089516,78.763144132776,85.3672046818499
Providence,RI,C2,92.8610336975709,86.4204766102512,98.604014193304
Providence,RI,C3,79.4526741239387,48.3541482637794,84.1289784732855
Providence,RI,D,241.532589432611,92.8348076983686,248.914017791576
Berkshire,MA,A,2.94580372481191,1.58149504098822,3.13388115266286
Berkshire,MA,B1,0.375109068976067,0.272633798397741,0.488736017295392
Berkshire,MA,B2,0.602010427106504,0.43573907738266,0.762753531280405
Berkshire,MA,B3,0.379077177123692,0.27707109461967,0.495524300849371
Berkshire,MA,C1,0.57609334957962,0.427667092777182,0.717427488611667
Berkshire,MA,C2,0.524117349752758,0.374847512746547,0.670180623041742
Berkshire,MA,C3,0.312895672157825,0.224122543229513,0.414904363248587
Berkshire,MA,D,1.42061314074806,1.14814812206259,1.68217922519311
Litchfield,CT,A,0.255500779347005,0.251810100640573,0.258351817356403
Litchfield,CT,B1,0.0477167091732532,0.0448136366996151,0.0511500258484356
Litchfield,CT,B2,0.0505304697730126,0.0475058283520216,0.0535085889448719
Litchfield,CT,B3,0.0482690143542118,0.0454653516407268,0.05135753558706
Litchfield,CT,C1,0.0639501530202562,0.0622469647731688,0.0652904086922794
Litchfield,CT,C2,0.0516755871213935,0.048825541141849,0.0544337371872526
Litchfield,CT,C3,0.0482677077167986,0.0454653516407268,0.05135753558706
Litchfield,CT,D,0.203672467509086,0.107699132461037,0.211575621855492
New London,CT,A,24.0777845353983,23.5284742487868,25.0296742066814
New London,CT,B1,1.09422621596471,0.98197051171261,1.17829564736617
New London,CT,B2,1.15815846412985,1.06177238086544,1.24853197275738
New London,CT,B3,1.11123301068371,1.00652611438442,1.19941046801694
New London,CT,C1,1.33496550294413,1.23370792389358,1.45854725152337
New London,CT,C2,1.19430335874079,1.08774270421128,1.29177034564606
New London,CT,C3,1.11123446606764,1.00652611438442,1.19941046801694
