"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"1","A","QC","Lower",5210393962.93606
"1","A","QC","Upper",15516478316.8959
"1","A","NYISO","Lower",4635133746.12403
"1","A","NYISO","Upper",13927685535.2285
"1","A","NB","Lower",791545764.044445
"1","A","NB","Upper",2357211906.04663
"1","B1","QC","Lower",28417738417.3438
"1","B1","QC","Upper",84627616472.8745
"1","B1","NYISO","Lower",7630874633.69705
"1","B1","NYISO","Upper",22929310798.3685
"1","B1","NB","Lower",791545764.044445
"1","B1","NB","Upper",2357211906.04663
"1","B2","QC","Lower",5210393962.93606
"1","B2","QC","Upper",15516478316.8959
"1","B2","NYISO","Lower",7630874633.69705
"1","B2","NYISO","Upper",22929310798.3685
"1","B2","NB","Lower",791545764.044445
"1","B2","NB","Upper",2357211906.04663
"1","B3","QC","Lower",38567111894.799
"1","B3","QC","Upper",114852304781.14
"1","B3","NYISO","Lower",7630874633.69705
"1","B3","NYISO","Upper",22929310798.3685
"1","B3","NB","Lower",791545764.044445
"1","B3","NB","Upper",2357211906.04663
"1","C1","QC","Lower",5210393962.93606
"1","C1","QC","Upper",15516478316.8959
"1","C1","NYISO","Lower",4635133746.12403
"1","C1","NYISO","Upper",13927685535.2285
"1","C1","NB","Lower",791545764.044445
"1","C1","NB","Upper",2357211906.04663
"1","C2","QC","Lower",5210393962.93606
"1","C2","QC","Upper",15516478316.8959
"1","C2","NYISO","Lower",7630874633.69705
"1","C2","NYISO","Upper",22929310798.3685
"1","C2","NB","Lower",791545764.044445
"1","C2","NB","Upper",2357211906.04663
"1","C3","QC","Lower",28417738417.3438
"1","C3","QC","Upper",84627616472.8745
"1","C3","NYISO","Lower",7630874633.69705
"1","C3","NYISO","Upper",22929310798.3685
"1","C3","NB","Lower",791545764.044445
"1","C3","NB","Upper",2357211906.04663
"1","D","QC","Lower",28417738417.3438
"1","D","QC","Upper",84627616472.8745
"1","D","NYISO","Lower",7630874633.69705
"1","D","NYISO","Upper",22929310798.3685
"1","D","NB","Lower",791545764.044445
"1","D","NB","Upper",2357211906.04663
"10","A","QC","Lower",5274401479.09625
"10","A","QC","Upper",15707091779.8476
"10","A","NYISO","Lower",4789238653.54589
"10","A","NYISO","Upper",14390741146.472
"10","A","NB","Lower",807665090.855454
"10","A","NB","Upper",2405215029.55806
"10","B1","QC","Lower",28560289372.0689
"10","B1","QC","Upper",85052131166.7303
"10","B1","NYISO","Lower",7883775578.10631
"10","B1","NYISO","Upper",23689229501.5214
"10","B1","NB","Lower",807665090.855454
"10","B1","NB","Upper",2405215029.55806
"10","B2","QC","Lower",5274401479.09625
"10","B2","QC","Upper",15707091779.8476
"10","B2","NYISO","Lower",7883775578.10631
"10","B2","NYISO","Upper",23689229501.5214
"10","B2","NB","Lower",807665090.855454
"10","B2","NB","Upper",2405215029.55806
"10","B3","QC","Lower",38729635769.2385
"10","B3","QC","Upper",115336298542.775
"10","B3","NYISO","Lower",7883775578.10631
"10","B3","NYISO","Upper",23689229501.5214
"10","B3","NB","Lower",807665090.855454
"10","B3","NB","Upper",2405215029.55806
"10","C1","QC","Lower",5274401479.09625
"10","C1","QC","Upper",15707091779.8476
"10","C1","NYISO","Lower",4789238653.54589
"10","C1","NYISO","Upper",14390741146.472
"10","C1","NB","Lower",807665090.855454
"10","C1","NB","Upper",2405215029.55806
"10","C2","QC","Lower",5274401479.09625
"10","C2","QC","Upper",15707091779.8476
"10","C2","NYISO","Lower",7883775578.10631
"10","C2","NYISO","Upper",23689229501.5214
"10","C2","NB","Lower",807665090.855454
"10","C2","NB","Upper",2405215029.55806
"10","C3","QC","Lower",28560289372.0689
"10","C3","QC","Upper",85052131166.7303
"10","C3","NYISO","Lower",7883775578.10631
"10","C3","NYISO","Upper",23689229501.5214
"10","C3","NB","Lower",807665090.855454
"10","C3","NB","Upper",2405215029.55806
"10","D","QC","Lower",28560289372.0689
"10","D","QC","Upper",85052131166.7303
"10","D","NYISO","Lower",7883775578.10631
"10","D","NYISO","Upper",23689229501.5214
"10","D","NB","Lower",807665090.855454
"10","D","NB","Upper",2405215029.55806
"100","A","QC","Lower",5242450673.99002
"100","A","QC","Upper",15611942741.5666
"100","A","NYISO","Lower",4410659194.09352
"100","A","NYISO","Upper",13253182674.5599
"100","A","NB","Lower",819184622.130373
"100","A","NB","Upper",2439520028.08975
"100","B1","QC","Lower",28488835119.5662
"100","B1","QC","Upper",84839341430.005
"100","B1","NYISO","Lower",7260926753.90359
"100","B1","NYISO","Upper",21817688563.4122
"100","B1","NB","Lower",819184622.130373
"100","B1","NB","Upper",2439520028.08975
"100","B2","QC","Lower",5242450673.99002
"100","B2","QC","Upper",15611942741.5666
"100","B2","NYISO","Lower",7260926753.90359
"100","B2","NYISO","Upper",21817688563.4122
"100","B2","NB","Lower",819184622.130373
"100","B2","NB","Upper",2439520028.08975
"100","B3","QC","Lower",38648030414.1109
"100","B3","QC","Upper",115093278968.365
"100","B3","NYISO","Lower",7260926753.90359
"100","B3","NYISO","Upper",21817688563.4122
"100","B3","NB","Lower",819184622.130373
"100","B3","NB","Upper",2439520028.08975
"100","C1","QC","Lower",5242450673.99002
"100","C1","QC","Upper",15611942741.5666
"100","C1","NYISO","Lower",4410659194.09352
"100","C1","NYISO","Upper",13253182674.5599
"100","C1","NB","Lower",819184622.130373
"100","C1","NB","Upper",2439520028.08975
"100","C2","QC","Lower",5242450673.99002
"100","C2","QC","Upper",15611942741.5666
"100","C2","NYISO","Lower",7260926753.90359
"100","C2","NYISO","Upper",21817688563.4122
"100","C2","NB","Lower",819184622.130373
"100","C2","NB","Upper",2439520028.08975
"100","C3","QC","Lower",28488835119.5662
"100","C3","QC","Upper",84839341430.005
"100","C3","NYISO","Lower",7260926753.90359
"100","C3","NYISO","Upper",21817688563.4122
"100","C3","NB","Lower",819184622.130373
"100","C3","NB","Upper",2439520028.08975
"100","D","QC","Lower",28488835119.5662
"100","D","QC","Upper",84839341430.005
"100","D","NYISO","Lower",7260926753.90359
"100","D","NYISO","Upper",21817688563.4122
"100","D","NB","Lower",819184622.130373
"100","D","NB","Upper",2439520028.08975
"1000","A","QC","Lower",5242703248.50265
"1000","A","QC","Upper",15612694904.8342
"1000","A","NYISO","Lower",5704888354.37093
"1000","A","NYISO","Upper",17142092410.9703
"1000","A","NB","Lower",805736190.061996
"1000","A","NB","Upper",2399470790.72505
"1000","B1","QC","Lower",28489595435.6048
"1000","B1","QC","Upper",84841605640.2377
"1000","B1","NYISO","Lower",9392475535.82339
"1000","B1","NYISO","Upper",28222582739.8539
"1000","B1","NB","Lower",805736190.061996
"1000","B1","NB","Upper",2399470790.72505
"1000","B2","QC","Lower",5242703248.50265
"1000","B2","QC","Upper",15612694904.8342
"1000","B2","NYISO","Lower",9392475535.82339
"1000","B2","NYISO","Upper",28222582739.8539
"1000","B2","NB","Lower",805736190.061996
"1000","B2","NB","Upper",2399470790.72505
"1000","B3","QC","Lower",38649030277.5333
"1000","B3","QC","Upper",115096256547.263
"1000","B3","NYISO","Lower",9392475535.82339
"1000","B3","NYISO","Upper",28222582739.8539
"1000","B3","NB","Lower",805736190.061996
"1000","B3","NB","Upper",2399470790.72505
"1000","C1","QC","Lower",5242703248.50265
"1000","C1","QC","Upper",15612694904.8342
"1000","C1","NYISO","Lower",5704888354.37093
"1000","C1","NYISO","Upper",17142092410.9703
"1000","C1","NB","Lower",805736190.061996
"1000","C1","NB","Upper",2399470790.72505
"1000","C2","QC","Lower",5242703248.50265
"1000","C2","QC","Upper",15612694904.8342
"1000","C2","NYISO","Lower",9392475535.82339
"1000","C2","NYISO","Upper",28222582739.8539
"1000","C2","NB","Lower",805736190.061996
"1000","C2","NB","Upper",2399470790.72505
"1000","C3","QC","Lower",28489595435.6048
"1000","C3","QC","Upper",84841605640.2377
"1000","C3","NYISO","Lower",9392475535.82339
"1000","C3","NYISO","Upper",28222582739.8539
"1000","C3","NB","Lower",805736190.061996
"1000","C3","NB","Upper",2399470790.72505
"1000","D","QC","Lower",28489595435.6048
"1000","D","QC","Upper",84841605640.2377
"1000","D","NYISO","Lower",9392475535.82339
"1000","D","NYISO","Upper",28222582739.8539
"1000","D","NB","Lower",805736190.061996
"1000","D","NB","Upper",2399470790.72505
"1001","A","QC","Lower",5173399723.33952
"1001","A","QC","Upper",15406310003.2073
"1001","A","NYISO","Lower",4662341315.35798
"1001","A","NYISO","Upper",14009439048.5516
"1001","A","NB","Lower",738612682.990298
"1001","A","NB","Upper",2199577951.63442
"1001","B1","QC","Lower",28335577079.1159
"1001","B1","QC","Upper",84382941188.7849
"1001","B1","NYISO","Lower",7675887845.38774
"1001","B1","NYISO","Upper",23064566843.1122
"1001","B1","NB","Lower",738612682.990298
"1001","B1","NB","Upper",2199577951.63442
"1001","B2","QC","Lower",5173399723.33952
"1001","B2","QC","Upper",15406310003.2073
"1001","B2","NYISO","Lower",7675887845.38774
"1001","B2","NYISO","Upper",23064566843.1122
"1001","B2","NB","Lower",738612682.990298
"1001","B2","NB","Upper",2199577951.63442
"1001","B3","QC","Lower",38473465120.7802
"1001","B3","QC","Upper",114573426034.38
"1001","B3","NYISO","Lower",7675887845.38774
"1001","B3","NYISO","Upper",23064566843.1122
"1001","B3","NB","Lower",738612682.990298
"1001","B3","NB","Upper",2199577951.63442
"1001","C1","QC","Lower",5173399723.33952
"1001","C1","QC","Upper",15406310003.2073
"1001","C1","NYISO","Lower",4662341315.35798
"1001","C1","NYISO","Upper",14009439048.5516
"1001","C1","NB","Lower",738612682.990298
"1001","C1","NB","Upper",2199577951.63442
"1001","C2","QC","Lower",5173399723.33952
"1001","C2","QC","Upper",15406310003.2073
"1001","C2","NYISO","Lower",7675887845.38774
"1001","C2","NYISO","Upper",23064566843.1122
"1001","C2","NB","Lower",738612682.990298
"1001","C2","NB","Upper",2199577951.63442
"1001","C3","QC","Lower",28335577079.1159
"1001","C3","QC","Upper",84382941188.7849
"1001","C3","NYISO","Lower",7675887845.38774
"1001","C3","NYISO","Upper",23064566843.1122
"1001","C3","NB","Lower",738612682.990298
"1001","C3","NB","Upper",2199577951.63442
"1001","D","QC","Lower",28335577079.1159
"1001","D","QC","Upper",84382941188.7849
"1001","D","NYISO","Lower",7675887845.38774
"1001","D","NYISO","Upper",23064566843.1122
"1001","D","NB","Lower",738612682.990298
"1001","D","NB","Upper",2199577951.63442
"1002","A","QC","Lower",5328305397.03294
"1002","A","QC","Upper",15867616872.5392
"1002","A","NYISO","Lower",4665845904.42574
"1002","A","NYISO","Upper",14019969664.7408
"1002","A","NB","Lower",860116038.695168
"1002","A","NB","Upper",2561413198.18885
"1002","B1","QC","Lower",28680109221.8104
"1002","B1","QC","Upper",85408952956.7279
"1002","B1","NYISO","Lower",7681690545.29758
"1002","B1","NYISO","Upper",23082002840.4374
"1002","B1","NB","Lower",860116038.695168
"1002","B1","NB","Upper",2561413198.18885
"1002","B2","QC","Lower",5328305397.03294
"1002","B2","QC","Upper",15867616872.5392
"1002","B2","NYISO","Lower",7681690545.29758
"1002","B2","NYISO","Upper",23082002840.4374
"1002","B2","NB","Lower",860116038.695168
"1002","B2","NB","Upper",2561413198.18885
"1002","B3","QC","Lower",38866080489.8511
"1002","B3","QC","Upper",115742628959.227
"1002","B3","NYISO","Lower",7681690545.29758
"1002","B3","NYISO","Upper",23082002840.4374
"1002","B3","NB","Lower",860116038.695168
"1002","B3","NB","Upper",2561413198.18885
"1002","C1","QC","Lower",5328305397.03294
"1002","C1","QC","Upper",15867616872.5392
"1002","C1","NYISO","Lower",4665845904.42574
"1002","C1","NYISO","Upper",14019969664.7408
"1002","C1","NB","Lower",860116038.695168
"1002","C1","NB","Upper",2561413198.18885
"1002","C2","QC","Lower",5328305397.03294
"1002","C2","QC","Upper",15867616872.5392
"1002","C2","NYISO","Lower",7681690545.29758
"1002","C2","NYISO","Upper",23082002840.4374
"1002","C2","NB","Lower",860116038.695168
"1002","C2","NB","Upper",2561413198.18885
"1002","C3","QC","Lower",28680109221.8104
"1002","C3","QC","Upper",85408952956.7279
"1002","C3","NYISO","Lower",7681690545.29758
"1002","C3","NYISO","Upper",23082002840.4374
"1002","C3","NB","Lower",860116038.695168
"1002","C3","NB","Upper",2561413198.18885
"1002","D","QC","Lower",28680109221.8104
"1002","D","QC","Upper",85408952956.7279
"1002","D","NYISO","Lower",7681690545.29758
"1002","D","NYISO","Upper",23082002840.4374
"1002","D","NB","Lower",860116038.695168
"1002","D","NB","Upper",2561413198.18885
"1003","A","QC","Lower",5370938048.75304
"1003","A","QC","Upper",15994576296.4738
"1003","A","NYISO","Lower",4883369527.41972
"1003","A","NYISO","Upper",14673586320.3718
"1003","A","NB","Lower",874038478.593564
"1003","A","NB","Upper",2602874024.057
"1003","B1","QC","Lower",28774784838.8245
"1003","B1","QC","Upper",85690895583.1376
"1003","B1","NYISO","Lower",8038598328.90708
"1003","B1","NYISO","Upper",24154442094.0718
"1003","B1","NB","Lower",874038478.593564
"1003","B1","NB","Upper",2602874024.057
"1003","B2","QC","Lower",5370938048.75304
"1003","B2","QC","Upper",15994576296.4738
"1003","B2","NYISO","Lower",8038598328.90708
"1003","B2","NYISO","Upper",24154442094.0718
"1003","B2","NB","Lower",874038478.593564
"1003","B2","NB","Upper",2602874024.057
"1003","B3","QC","Lower",38973956979.5938
"1003","B3","QC","Upper",116063883594.846
"1003","B3","NYISO","Lower",8038598328.90708
"1003","B3","NYISO","Upper",24154442094.0718
"1003","B3","NB","Lower",874038478.593564
"1003","B3","NB","Upper",2602874024.057
"1003","C1","QC","Lower",5370938048.75304
"1003","C1","QC","Upper",15994576296.4738
"1003","C1","NYISO","Lower",4883369527.41972
"1003","C1","NYISO","Upper",14673586320.3718
"1003","C1","NB","Lower",874038478.593564
"1003","C1","NB","Upper",2602874024.057
"1003","C2","QC","Lower",5370938048.75304
"1003","C2","QC","Upper",15994576296.4738
"1003","C2","NYISO","Lower",8038598328.90708
"1003","C2","NYISO","Upper",24154442094.0718
"1003","C2","NB","Lower",874038478.593564
"1003","C2","NB","Upper",2602874024.057
"1003","C3","QC","Lower",28774784838.8245
"1003","C3","QC","Upper",85690895583.1376
"1003","C3","NYISO","Lower",8038598328.90708
"1003","C3","NYISO","Upper",24154442094.0718
"1003","C3","NB","Lower",874038478.593564
"1003","C3","NB","Upper",2602874024.057
"1003","D","QC","Lower",28774784838.8245
"1003","D","QC","Upper",85690895583.1376
"1003","D","NYISO","Lower",8038598328.90708
"1003","D","NYISO","Upper",24154442094.0718
"1003","D","NB","Lower",874038478.593564
"1003","D","NB","Upper",2602874024.057
"1004","A","QC","Lower",5308446825.5608
"1004","A","QC","Upper",15808478332.1824
"1004","A","NYISO","Lower",4636621269.10093
"1004","A","NYISO","Upper",13932155255.7119
"1004","A","NB","Lower",856308385.262322
"1004","A","NB","Upper",2550074061.00474
"1004","B1","QC","Lower",28635771554.0094
"1004","B1","QC","Upper",85276916019.4158
"1004","B1","NYISO","Lower",7632829634.63764
"1004","B1","NYISO","Upper",22935185200.2333
"1004","B1","NB","Lower",856308385.262322
"1004","B1","NB","Upper",2550074061.00474
"1004","B2","QC","Lower",5308446825.5608
"1004","B2","QC","Upper",15808478332.1824
"1004","B2","NYISO","Lower",7632829634.63764
"1004","B2","NYISO","Upper",22935185200.2333
"1004","B2","NB","Lower",856308385.262322
"1004","B2","NB","Upper",2550074061.00474
"1004","B3","QC","Lower",38815503710.0738
"1004","B3","QC","Upper",115592012036.143
"1004","B3","NYISO","Lower",7632829634.63764
"1004","B3","NYISO","Upper",22935185200.2333
"1004","B3","NB","Lower",856308385.262322
"1004","B3","NB","Upper",2550074061.00474
"1004","C1","QC","Lower",5308446825.5608
"1004","C1","QC","Upper",15808478332.1824
"1004","C1","NYISO","Lower",4636621269.10093
"1004","C1","NYISO","Upper",13932155255.7119
"1004","C1","NB","Lower",856308385.262322
"1004","C1","NB","Upper",2550074061.00474
"1004","C2","QC","Lower",5308446825.5608
"1004","C2","QC","Upper",15808478332.1824
"1004","C2","NYISO","Lower",7632829634.63764
"1004","C2","NYISO","Upper",22935185200.2333
"1004","C2","NB","Lower",856308385.262322
"1004","C2","NB","Upper",2550074061.00474
"1004","C3","QC","Lower",28635771554.0094
"1004","C3","QC","Upper",85276916019.4158
"1004","C3","NYISO","Lower",7632829634.63764
"1004","C3","NYISO","Upper",22935185200.2333
"1004","C3","NB","Lower",856308385.262322
"1004","C3","NB","Upper",2550074061.00474
"1004","D","QC","Lower",28635771554.0094
"1004","D","QC","Upper",85276916019.4158
"1004","D","NYISO","Lower",7632829634.63764
"1004","D","NYISO","Upper",22935185200.2333
"1004","D","NB","Lower",856308385.262322
"1004","D","NB","Upper",2550074061.00474
"1005","A","QC","Lower",5299351221.6819
"1005","A","QC","Upper",15781391754.5896
"1005","A","NYISO","Lower",4914217944.55044
"1005","A","NYISO","Upper",14766279881.4617
"1005","A","NB","Lower",810938769.404802
"1005","A","NB","Upper",2414963997.21554
"1005","B1","QC","Lower",28615756396.9817
"1005","B1","QC","Upper",85217311169.5255
"1005","B1","NYISO","Lower",8089712686.11107
"1005","B1","NYISO","Upper",24308030907.7857
"1005","B1","NB","Lower",810938769.404802
"1005","B1","NB","Upper",2414963997.21554
"1005","B2","QC","Lower",5299351221.6819
"1005","B2","QC","Upper",15781391754.5896
"1005","B2","NYISO","Lower",8089712686.11107
"1005","B2","NYISO","Upper",24308030907.7857
"1005","B2","NB","Lower",810938769.404802
"1005","B2","NB","Upper",2414963997.21554
"1005","B3","QC","Lower",38792775477.4407
"1005","B3","QC","Upper",115524327686.103
"1005","B3","NYISO","Lower",8089712686.11107
"1005","B3","NYISO","Upper",24308030907.7857
"1005","B3","NB","Lower",810938769.404802
"1005","B3","NB","Upper",2414963997.21554
"1005","C1","QC","Lower",5299351221.6819
"1005","C1","QC","Upper",15781391754.5896
"1005","C1","NYISO","Lower",4914217944.55044
"1005","C1","NYISO","Upper",14766279881.4617
"1005","C1","NB","Lower",810938769.404802
"1005","C1","NB","Upper",2414963997.21554
"1005","C2","QC","Lower",5299351221.6819
"1005","C2","QC","Upper",15781391754.5896
"1005","C2","NYISO","Lower",8089712686.11107
"1005","C2","NYISO","Upper",24308030907.7857
"1005","C2","NB","Lower",810938769.404802
"1005","C2","NB","Upper",2414963997.21554
"1005","C3","QC","Lower",28615756396.9817
"1005","C3","QC","Upper",85217311169.5255
"1005","C3","NYISO","Lower",8089712686.11107
"1005","C3","NYISO","Upper",24308030907.7857
"1005","C3","NB","Lower",810938769.404802
"1005","C3","NB","Upper",2414963997.21554
"1005","D","QC","Lower",28615756396.9817
"1005","D","QC","Upper",85217311169.5255
"1005","D","NYISO","Lower",8089712686.11107
"1005","D","NYISO","Upper",24308030907.7857
"1005","D","NB","Lower",810938769.404802
"1005","D","NB","Upper",2414963997.21554
"1006","A","QC","Lower",5253221679.8875
"1006","A","QC","Upper",15644018642.2851
"1006","A","NYISO","Lower",4989135566.13352
"1006","A","NYISO","Upper",14991392927.0839
"1006","A","NB","Lower",802822772.191865
"1006","A","NB","Upper",2390794674.19116
"1006","B1","QC","Lower",28512855546.1469
"1006","B1","QC","Upper",84910873915.0442
"1006","B1","NYISO","Lower",8213602994.39617
"1006","B1","NYISO","Upper",24680297459.1231
"1006","B1","NB","Lower",802822772.191865
"1006","B1","NB","Upper",2390794674.19116
"1006","B2","QC","Lower",5253221679.8875
"1006","B2","QC","Upper",15644018642.2851
"1006","B2","NYISO","Lower",8213602994.39617
"1006","B2","NYISO","Upper",24680297459.1231
"1006","B2","NB","Lower",802822772.191865
"1006","B2","NB","Upper",2390794674.19116
"1006","B3","QC","Lower",38675355187.3827
"1006","B3","QC","Upper",115174651750.346
"1006","B3","NYISO","Lower",8213602994.39617
"1006","B3","NYISO","Upper",24680297459.1231
"1006","B3","NB","Lower",802822772.191865
"1006","B3","NB","Upper",2390794674.19116
