"Pathway","NPV_CAPEX","NPV_FOM","Cost_Type"
"A",0,99953894.0617967,"Lower"
"B1",3435467581.50896,151801074.316803,"Lower"
"B2",939350748.600212,112816428.912979,"Lower"
"B3",4471675787.71262,161711343.127551,"Lower"
"C1",0,99953894.0617967,"Lower"
"C2",939350748.600212,112816428.912979,"Lower"
"C3",3435467581.50896,151801074.316803,"Lower"
"D",3435467581.50896,151801074.316803,"Lower"
"A",0,142791277.231138,"Upper"
"B1",4907810830.72708,216858677.595433,"Upper"
"B2",1341929640.85745,161166327.018542,"Upper"
"B3",6388108268.16089,231016204.46793,"Upper"
"C1",0,142791277.231138,"Upper"
"C2",1341929640.85745,161166327.018542,"Upper"
"C3",4907810830.72708,216858677.595433,"Upper"
"D",4907810830.72708,216858677.595433,"Upper"
