"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"B2","CAPEX","Offshore Wind","Conservative",162444284725.457
"B2","FOM","Offshore Wind","Advanced",24141546642.5412
"B2","FOM","Offshore Wind","Moderate",26347640721.7042
"B2","FOM","Offshore Wind","Conservative",30193840939.4178
"B2","CAPEX","Storage","Advanced",22412820402.6308
"B2","CAPEX","Storage","Moderate",28982097137.0744
"B2","CAPEX","Storage","Conservative",40271820539.0196
"B2","FOM","Storage","Advanced",9674090376.29551
"B2","FOM","Storage","Moderate",12805487656.1934
"B2","FOM","Storage","Conservative",18354107290.2787
"B2","CAPEX","Nuclear","Advanced",0
"B2","CAPEX","Nuclear","Moderate",0
"B2","CAPEX","Nuclear","Conservative",0
"B2","FOM","Nuclear","Advanced",7013608006.99522
"B2","FOM","Nuclear","Moderate",9741122231.93781
"B2","FOM","Nuclear","Conservative",11355365344.6589
"B2","CAPEX","SMR","Advanced",0
"B2","CAPEX","SMR","Moderate",0
"B2","CAPEX","SMR","Conservative",0
"B2","FOM","SMR","Advanced",0
"B2","FOM","SMR","Moderate",0
"B2","FOM","SMR","Conservative",0
"B2","CAPEX","Hydropower","Advanced",0
"B2","CAPEX","Hydropower","Moderate",0
"B2","CAPEX","Hydropower","Conservative",0
"B2","FOM","Hydropower","Advanced",1663497054.82507
"B2","FOM","Hydropower","Moderate",2985109125.29314
"B2","FOM","Hydropower","Conservative",2985109125.29314
"B2","CAPEX","Biomass","Advanced",0
"B2","CAPEX","Biomass","Moderate",0
"B2","CAPEX","Biomass","Conservative",0
"B2","FOM","Biomass","Advanced",1400891554.98899
"B2","FOM","Biomass","Moderate",1400891554.98899
"B2","FOM","Biomass","Conservative",1400891554.98899
"B3","CAPEX","Solar","Advanced",41434082918.0665
"B3","CAPEX","Solar","Moderate",49481857400.0639
"B3","CAPEX","Solar","Conservative",61299903016.2878
"B3","FOM","Solar","Advanced",10692668690.4512
"B3","FOM","Solar","Moderate",12095027513.1164
"B3","FOM","Solar","Conservative",14083612281.8873
"B3","CAPEX","Onshore Wind","Advanced",11877219090.7203
"B3","CAPEX","Onshore Wind","Moderate",12639053943.4636
"B3","CAPEX","Onshore Wind","Conservative",14478432566.6728
"B3","FOM","Onshore Wind","Advanced",3922849299.72355
"B3","FOM","Onshore Wind","Moderate",4976927417.43461
"B3","FOM","Onshore Wind","Conservative",5404017033.56216
"B3","CAPEX","Offshore Wind","Advanced",70385123598.9363
"B3","CAPEX","Offshore Wind","Moderate",86734481618.6823
"B3","CAPEX","Offshore Wind","Conservative",111340467447.266
"B3","FOM","Offshore Wind","Advanced",16636814259.7068
"B3","FOM","Offshore Wind","Moderate",18156571360.3334
"B3","FOM","Offshore Wind","Conservative",20805477544.1968
"B3","CAPEX","Storage","Advanced",22412820402.6308
"B3","CAPEX","Storage","Moderate",28982097137.0744
"B3","CAPEX","Storage","Conservative",40271820539.0196
"B3","FOM","Storage","Advanced",9674090376.29551
"B3","FOM","Storage","Moderate",12805487656.1934
"B3","FOM","Storage","Conservative",18354107290.2787
"B3","CAPEX","Nuclear","Advanced",0
"B3","CAPEX","Nuclear","Moderate",0
"B3","CAPEX","Nuclear","Conservative",0
"B3","FOM","Nuclear","Advanced",7013608006.99522
"B3","FOM","Nuclear","Moderate",9741122231.93781
"B3","FOM","Nuclear","Conservative",11355365344.6589
"B3","CAPEX","SMR","Advanced",0
"B3","CAPEX","SMR","Moderate",0
"B3","CAPEX","SMR","Conservative",0
"B3","FOM","SMR","Advanced",0
"B3","FOM","SMR","Moderate",0
"B3","FOM","SMR","Conservative",0
"B3","CAPEX","Hydropower","Advanced",0
"B3","CAPEX","Hydropower","Moderate",0
"B3","CAPEX","Hydropower","Conservative",0
"B3","FOM","Hydropower","Advanced",1663497054.82507
"B3","FOM","Hydropower","Moderate",2985109125.29314
"B3","FOM","Hydropower","Conservative",2985109125.29314
"B3","CAPEX","Biomass","Advanced",0
"B3","CAPEX","Biomass","Moderate",0
"B3","CAPEX","Biomass","Conservative",0
"B3","FOM","Biomass","Advanced",1400891554.98899
"B3","FOM","Biomass","Moderate",1400891554.98899
"B3","FOM","Biomass","Conservative",1400891554.98899
"C1","CAPEX","Solar","Advanced",0
"C1","CAPEX","Solar","Moderate",0
"C1","CAPEX","Solar","Conservative",0
"C1","FOM","Solar","Advanced",2756859369.88368
"C1","FOM","Solar","Moderate",3061082802.38121
"C1","FOM","Solar","Conservative",3479833862.21621
