Pathway,mean_NPV,max_NPV,min_NPV,mean_mortality,max_mortality,min_mortality
A,1437985636.81722,1464440678.28602,70087786.7998848,126.430130080403,128.756102084954,6.16223679519502
B1,676128829.237291,708474916.612436,162603823.367838,59.4463905917631,62.2903133193108,14.2964032557856
B2,776610968.067783,812351394.88996,199022872.953113,68.2809502409225,71.4233090354501,17.4984277117895
B3,671661373.715654,702393226.477901,629810354.80814,59.0536043439259,61.7556008332251,55.3739919548998
C1,616270027.532684,633774156.306768,85795259.3010106,54.1835034723053,55.7224960889144,7.5432643525684
C2,725080943.098331,756804874.04881,555457724.46829,63.7503432632657,66.5395649453462,48.8367829000904
C3,632193012.075438,662000619.185509,205359911.025655,55.583479212998,58.2042144608501,18.0555908206014
D,1661493171.93819,1688317361.46162,330026706.86988,146.08129071497,148.439718841036,29.0165064318161
