"Pathway","Scenario","NPV","Cost_Type","Fuel"
"B2","Advanced",630491473.901732,"FOM","Oil"
"B3","Advanced",630491473.901732,"FOM","Oil"
"C1","Advanced",630491473.901732,"FOM","Oil"
"C2","Advanced",630491473.901732,"FOM","Oil"
"C3","Advanced",630491473.901732,"FOM","Oil"
"A","Advanced",3031796603.8375,"FOM","Oil"
"D","Advanced",3031796603.8375,"FOM","Oil"
"B1","Moderate",630491473.901732,"FOM","Oil"
"B2","Moderate",630491473.901732,"FOM","Oil"
"B3","Moderate",630491473.901732,"FOM","Oil"
"C1","Moderate",630491473.901732,"FOM","Oil"
"C2","Moderate",630491473.901732,"FOM","Oil"
"C3","Moderate",630491473.901732,"FOM","Oil"
"A","Moderate",3031796603.8375,"FOM","Oil"
"D","Moderate",3031796603.8375,"FOM","Oil"
"B1","Conservative",630491473.901732,"FOM","Oil"
"B2","Conservative",630491473.901732,"FOM","Oil"
"B3","Conservative",630491473.901732,"FOM","Oil"
"C1","Conservative",630491473.901732,"FOM","Oil"
"C2","Conservative",630491473.901732,"FOM","Oil"
"C3","Conservative",630491473.901732,"FOM","Oil"
"A","Conservative",3031796603.8375,"FOM","Oil"
"D","Conservative",3031796603.8375,"FOM","Oil"
