"Pathway","Simulation","sum_NPV"
"A",1,50.2840239076255
"B1",1,18.6776868954686
"B2",1,22.3808754313543
"B3",1,18.6110016665385
"C1",1,18.0629593719563
"C2",1,20.6777294984786
"C3",1,17.1052050074846
"D",1,71.4542960009017
"A",10,50.3128872103664
"B1",10,18.3772367630195
"B2",10,22.0916044151631
"B3",10,18.3267761477642
"C1",10,17.9205970733548
"C2",10,20.4154274264328
"C3",10,16.8206577107098
"D",10,71.1754937739035
"A",100,50.5915078692778
"B1",100,19.0082688144809
"B2",100,22.7450691432303
"B3",100,18.9382404726516
"C1",100,18.2455119682108
"C2",100,20.9984788705478
"C3",100,17.4075400003061
"D",100,71.8748857164945
"A",1000,50.5099232837502
"B1",1000,17.9901429342942
"B2",1000,21.821371542983
"B3",1000,17.9247210500393
"C1",1000,17.73321854779
"C2",1000,20.0629115894751
"C3",1000,16.4536028043234
"D",1000,70.7879813836328
"A",1001,50.3233542660036
"B1",1001,18.9752542694381
"B2",1001,22.7232719376598
"B3",1001,18.8946473747088
"C1",1001,18.1904369375872
"C2",1001,20.9817908786875
"C3",1001,17.3676656158756
"D",1001,71.6846669384325
"A",1002,50.5067374684167
"B1",1002,18.422748840221
"B2",1002,22.238877814743
"B3",1002,18.3454603190829
"C1",1002,17.8832496189597
"C2",1002,20.4845102422117
"C3",1002,16.8433042249206
"D",1002,71.2124175130807
"A",1003,50.1555880939948
"B1",1003,17.8334072378516
"B2",1003,21.6397445772583
"B3",1003,17.7655159758901
"C1",1003,17.5563490404575
"C2",1003,19.8923255370468
"C3",1003,16.2937340916053
"D",1003,70.5250632031492
"A",1004,50.560415193887
"B1",1004,18.5158274571822
"B2",1004,22.335032155618
"B3",1004,18.4486834323962
"C1",1004,17.9642270709684
"C2",1004,20.5687284840309
"C3",1004,16.9145178529966
"D",1004,71.3522764735873
"A",1005,50.1019673230318
"B1",1005,18.128273928455
"B2",1005,21.8278270776648
"B3",1005,18.0765827111658
"C1",1005,17.7383241371802
"C2",1005,20.1564787934935
"C3",1005,16.5918872597372
"D",1005,70.8390964007994
"A",1006,50.2523037539614
"B1",1006,18.1968766513024
"B2",1006,21.916061526023
"B3",1006,18.1436271167502
"C1",1006,17.8107202909009
"C2",1006,20.2254391886851
"C3",1006,16.6498169815004
"D",1006,70.9743325185567
"A",1007,50.3188371096949
"B1",1007,18.1696932264401
"B2",1007,21.9449072704672
