"Pathway","Statistic","Cost_Type","Cost_bUSD"
"A","max","Unmet Demand Penalty",11.8066262091523
"A","max","Air Emissions",0.52807230601273
"A","max","GHG Emissions",89.2944554354682
"A","max","Fuel",25.887552068293
"A","max","Imports",20.1299914081048
"A","max","Variable O&M",4.30163635886973
"A","max","Fixed O&M",27.8264191297598
"A","max","CAPEX",0
"A","mean","Unmet Demand Penalty",11.2597026081085
"A","mean","Air Emissions",0.524235494781529
"A","mean","GHG Emissions",88.7236549746025
"A","mean","Fuel",16.7212748311027
"A","mean","Imports",12.1233873518079
"A","mean","Variable O&M",4.1182507697949
"A","mean","Fixed O&M",25.3227276428192
"A","mean","CAPEX",0
"A","min","Unmet Demand Penalty",10.8089335143446
"A","min","Air Emissions",0.521913094140997
"A","min","GHG Emissions",88.2044981858068
"A","min","Fuel",7.55499759391238
"A","min","Imports",5.4847703902669
"A","min","Variable O&M",3.9137331754108
"A","min","Fixed O&M",22.5581523077836
"A","min","CAPEX",0
"B1","max","Unmet Demand Penalty",0.179823951847957
"B1","max","Air Emissions",0.215874645814915
"B1","max","GHG Emissions",38.8636880314703
"B1","max","Fuel",13.8695633978107
"B1","max","Imports",54.6697205042908
"B1","max","Variable O&M",2.36808832972018
"B1","max","Fixed O&M",43.9902633692592
"B1","max","CAPEX",133.356989660539
"B1","mean","Unmet Demand Penalty",0.15285224597885
"B1","mean","Air Emissions",0.21099727031848
"B1","mean","GHG Emissions",37.5538431523957
"B1","mean","Fuel",9.2030680212124
"B1","mean","Imports",34.9335353822231
"B1","mean","Variable O&M",2.21066948993897
"B1","mean","Fixed O&M",38.549058910567
"B1","mean","CAPEX",107.774040251356
"B1","min","Unmet Demand Penalty",0.137375077750757
"B1","min","Air Emissions",0.207446381489505
"B1","min","GHG Emissions",36.6220598051544
"B1","min","Fuel",4.53657264461409
"B1","min","Imports",16.6346975692384
"B1","min","Variable O&M",2.03210291675138
"B1","min","Fixed O&M",33.2240559329627
"B1","min","CAPEX",85.656908942055
"B2","max","Unmet Demand Penalty",0.390114464753747
"B2","max","Air Emissions",0.239203559205153
"B2","max","GHG Emissions",45.1906493339651
"B2","max","Fuel",15.8069466575732
"B2","max","Imports",24.2177988979829
"B2","max","Variable O&M",2.55882197960617
"B2","max","Fixed O&M",46.6215856515055
"B2","max","CAPEX",149.335795308558
"B2","mean","Unmet Demand Penalty",0.337975336237627
"B2","mean","Air Emissions",0.234981283805708
"B2","mean","GHG Emissions",43.9655517016317
"B2","mean","Fuel",10.2212963145823
"B2","mean","Imports",14.7305608789612
"B2","mean","Variable O&M",2.39973111504809
"B2","mean","Fixed O&M",40.902499892806
"B2","mean","CAPEX",120.205120497651
"B2","min","Unmet Demand Penalty",0.297850393705825
"B2","min","Air Emissions",0.231596322776104
"B2","min","GHG Emissions",43.104722134579
"B2","min","Fuel",4.63564597159144
"B2","min","Imports",6.6258647733424
"B2","min","Variable O&M",2.21949648326216
"B2","min","Fixed O&M",35.344838346303
"B2","min","CAPEX",95.0686546954199
"B3","max","Unmet Demand Penalty",0.158655308207899
"B3","max","Air Emissions",0.21738117084116
"B3","max","GHG Emissions",39.0974654340357
"B3","max","Fuel",13.9452728853643
"B3","max","Imports",65.418287338608
"B3","max","Variable O&M",2.38037657840844
"B3","max","Fixed O&M",42.7730823969074
"B3","max","CAPEX",125.56880030609
"B3","mean","Unmet Demand Penalty",0.133272754895606
"B3","mean","Air Emissions",0.212551246952456
"B3","mean","GHG Emissions",37.7927331469854
"B3","mean","Fuel",9.24736367309693
"B3","mean","Imports",42.0974789740589
"B3","mean","Variable O&M",2.22300524151677
"B3","mean","Fixed O&M",37.4607124571681
"B3","mean","CAPEX",101.68413118227
"B3","min","Unmet Demand Penalty",0.117923810448178
"B3","min","Air Emissions",0.20896271969566
"B3","min","GHG Emissions",36.8495156375889
"B3","min","Fuel",4.54945446082954
"B3","min","Imports",20.2672093870419
"B3","min","Variable O&M",2.04448972125079
"B3","min","Fixed O&M",32.2437377879875
"B3","min","CAPEX",81.0221344578979
"B3-A","max","Unmet Demand Penalty",0.158655308207899
"B3-A","max","Air Emissions",0.21738117084116
"B3-A","max","GHG Emissions",54.7170309662565
"B3-A","max","Fuel",13.9452728853643
"B3-A","max","Imports",15.406291650551
"B3-A","max","Variable O&M",2.38037657840844
"B3-A","max","Fixed O&M",57.1606818584459
"B3-A","max","CAPEX",198.264039690705
"B3-A","mean","Unmet Demand Penalty",0.133272754895606
"B3-A","mean","Air Emissions",0.212551246952456
"B3-A","mean","GHG Emissions",46.5993046180859
"B3-A","mean","Fuel",9.24736367309693
"B3-A","mean","Imports",8.97320065562645
