"Pathway","Statistic","Cost_Type","Cost_bUSD"
"C1","mean","GHG Emissions",26.0881193330332
"C1","mean","Fuel",19.9892238144513
"C1","mean","Imports",7.02992227413928
"C1","mean","Variable O&M",110.69028119054
"C1","mean","Fixed O&M",72.1570946248456
"C1","mean","CAPEX",182.285644937027
"C1","min","Unmet Demand Penalty",1.46368688023537
"C1","min","Air Emissions",0.208178243644043
"C1","min","GHG Emissions",26.0337733596096
"C1","min","Fuel",18.4425722326136
"C1","min","Imports",3.52227843981662
"C1","min","Variable O&M",109.236964012183
"C1","min","Fixed O&M",57.9684752574455
"C1","min","CAPEX",92.5221277075961
"C2","max","Unmet Demand Penalty",2.60376535442405
"C2","max","Air Emissions",0.210499038208175
"C2","max","GHG Emissions",27.2678625594543
"C2","max","Fuel",5.02753314522416
"C2","max","Imports",16.3923524963003
"C2","max","Variable O&M",106.452243239394
"C2","max","Fixed O&M",81.2729469806523
"C2","max","CAPEX",238.398814107471
"C2","mean","Unmet Demand Penalty",2.56978859371718
"C2","mean","Air Emissions",0.209975187616107
"C2","mean","GHG Emissions",27.1934126287646
"C2","mean","Fuel",4.90098426759677
"C2","mean","Imports",10.9216136411553
"C2","mean","Variable O&M",105.382047419388
"C2","mean","Fixed O&M",69.5215730640406
"C2","mean","CAPEX",188.259134737557
"C2","min","Unmet Demand Penalty",2.54661352107142
"C2","min","Air Emissions",0.209327889941219
"C2","min","GHG Emissions",27.0990863646049
"C2","min","Fuel",4.77700235393201
"C2","min","Imports",5.46605707756605
"C2","min","Variable O&M",104.208218936226
"C2","min","Fixed O&M",58.7386371511394
"C2","min","CAPEX",143.64339769496
"C3","max","Unmet Demand Penalty",1.38870291470348
"C3","max","Air Emissions",0.174514988102197
"C3","max","GHG Emissions",22.1267981789567
"C3","max","Fuel",4.57052778690399
"C3","max","Imports",35.5829861780153
"C3","max","Variable O&M",89.0536411081787
"C3","max","Fixed O&M",76.755734918331
"C3","max","CAPEX",226.37036418165
"C3","mean","Unmet Demand Penalty",1.3738586714096
"C3","mean","Air Emissions",0.174119802598314
"C3","mean","GHG Emissions",22.0417051536384
"C3","mean","Fuel",4.47084556665097
"C3","mean","Imports",23.7132862887089
"C3","mean","Variable O&M",88.1125558383309
"C3","mean","Fixed O&M",65.8864584379155
"C3","mean","CAPEX",181.122942655388
"C3","min","Unmet Demand Penalty",1.35640199793136
"C3","min","Air Emissions",0.173610073033125
"C3","min","GHG Emissions",21.9655811043384
"C3","min","Fuel",4.37357200275055
"C3","min","Imports",11.8810429257874
"C3","min","Variable O&M",87.1057829939191
"C3","min","Fixed O&M",55.7125011582591
"C3","min","CAPEX",140.865927727051
"D","max","Unmet Demand Penalty",0.273429032481866
"D","max","Air Emissions",0.497881554317154
"D","max","GHG Emissions",67.963272517251
"D","max","Fuel",14.3757917605649
"D","max","Imports",83.6450637823421
"D","max","Variable O&M",179.986883917179
"D","max","Fixed O&M",59.8007986305218
"D","max","CAPEX",92.5910261479951
"D","mean","Unmet Demand Penalty",0.267600181448937
"D","mean","Air Emissions",0.49729043119961
"D","mean","GHG Emissions",67.8595380652312
"D","mean","Fuel",14.3680169179688
"D","mean","Imports",55.8210302548932
"D","mean","Variable O&M",178.012407357298
"D","mean","Fixed O&M",52.619142745194
"D","mean","CAPEX",77.8190410346332
"D","min","Unmet Demand Penalty",0.258160090562938
"D","min","Air Emissions",0.496529592515265
"D","min","GHG Emissions",67.8003786780417
"D","min","Fuel",14.3601928018385
"D","min","Imports",28.0148439675319
"D","min","Variable O&M",176.086842886961
"D","min","Fixed O&M",45.4160056547486
"D","min","CAPEX",64.806347041428
