"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"16","B2","NB","Upper",873005651.487617
"17","D","QC","Lower",21471983448.9069
"17","D","QC","Upper",63942141402.9832
"17","D","NYISO","Lower",5966873360.84969
"17","D","NYISO","Upper",17929306973.707
"17","D","NB","Lower",586932833.996896
"17","D","NB","Upper",1747847019.10683
"18","C3","QC","Lower",9164055261.97802
"18","C3","QC","Upper",27289948261.2065
"18","C3","NYISO","Lower",2463582190.52479
"18","C3","NYISO","Upper",7402590716.72113
"18","C3","NB","Lower",262374461.779749
"18","C3","NB","Upper",781333730.792645
"19","C1","QC","Lower",1738585831.11631
"19","C1","QC","Upper",5177393197.93123
"19","C1","NYISO","Lower",1547594853.18272
"19","C1","NYISO","Upper",4650224919.41924
"19","C1","NB","Lower",239591464.505696
"19","C1","NB","Upper",713487477.243326
"20","C3","QC","Lower",9172087563.61951
"20","C3","QC","Upper",27313867922.3116
"20","C3","NYISO","Lower",2465485189.1172
"20","C3","NYISO","Upper",7408308861.53004
"20","C3","NB","Lower",262890212.841542
"20","C3","NB","Upper",782869603.219165
"21","D","QC","Lower",21469853762.8333
"21","D","QC","Upper",63935799339.2243
"21","D","NYISO","Lower",5964951674.87346
"21","D","NYISO","Upper",17923532676.9034
"21","D","NB","Lower",586526962.102712
"21","D","NB","Upper",1746638359.54769
"22","C1","QC","Lower",1738670122.87585
"22","C1","QC","Upper",5177644213.19586
"22","C1","NYISO","Lower",1547624853.28789
"22","C1","NYISO","Upper",4650315063.966
"22","C1","NB","Lower",239517453.408191
"22","C1","NB","Upper",713267077.107805
"23","D","QC","Lower",21470631029.0964
"23","D","QC","Upper",63938113986.5611
"23","D","NYISO","Lower",5971876961.58432
"23","D","NYISO","Upper",17944341831.6837
"23","D","NB","Lower",586814989.610524
"23","D","NB","Upper",1747496086.34672
"24","C3","QC","Lower",9175627836.55438
"24","C3","QC","Upper",27324410620.1087
"24","C3","NYISO","Lower",2459961782.60325
"24","C3","NYISO","Upper",7391712087.14918
"24","C3","NB","Lower",262056955.608403
"24","C3","NB","Upper",780388218.490401
"25","D","QC","Lower",21466809957.0173
"25","D","QC","Upper",63926735087.552
"25","D","NYISO","Lower",5972012191.48148
"25","D","NYISO","Upper",17944748171.5189
"25","D","NB","Lower",587057475.014191
"25","D","NB","Upper",1748218191.78268
"26","D","QC","Lower",21465724336.0661
"26","D","QC","Upper",63923502180.4225
"26","D","NYISO","Lower",5974734151.78287
"26","D","NYISO","Upper",17952927138.7706
"26","D","NB","Lower",586517804.573761
"26","D","NB","Upper",1746611089.03435
"27","C2","QC","Lower",2433693943.68567
"27","C2","QC","Upper",7247379015.96394
"27","C2","NYISO","Lower",2739676179.13198
"27","C2","NYISO","Upper",8232200057.48791
"27","C2","NB","Lower",299399870.03568
