"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"B2","CAPEX","Offshore Wind","Conservative",133490703526.538
"B2","FOM","Offshore Wind","Advanced",18709247933.9627
"B2","FOM","Offshore Wind","Moderate",20409368062.4451
"B2","FOM","Offshore Wind","Conservative",23358180867.0307
"B2","CAPEX","Storage","Advanced",18942077781.7753
"B2","CAPEX","Storage","Moderate",24382379917.5716
"B2","CAPEX","Storage","Conservative",33662865638.5505
"B2","FOM","Storage","Advanced",7849863301.11031
"B2","FOM","Storage","Moderate",10330202729.0191
"B2","FOM","Storage","Conservative",14692266644.4315
"B2","CAPEX","Nuclear","Advanced",0
"B2","CAPEX","Nuclear","Moderate",0
"B2","CAPEX","Nuclear","Conservative",0
"B2","FOM","Nuclear","Advanced",5612720781.22543
"B2","FOM","Nuclear","Moderate",7795445529.47976
"B2","FOM","Nuclear","Conservative",9087262217.22212
"B2","CAPEX","SMR","Advanced",0
"B2","CAPEX","SMR","Moderate",0
"B2","CAPEX","SMR","Conservative",0
"B2","FOM","SMR","Advanced",0
"B2","FOM","SMR","Moderate",0
"B2","FOM","SMR","Conservative",0
"B2","CAPEX","Hydropower","Advanced",0
"B2","CAPEX","Hydropower","Moderate",0
"B2","CAPEX","Hydropower","Conservative",0
"B2","FOM","Hydropower","Advanced",1413323574.64976
"B2","FOM","Hydropower","Moderate",2493819517.41095
"B2","FOM","Hydropower","Conservative",2493819517.41095
"B2","CAPEX","Biomass","Advanced",0
"B2","CAPEX","Biomass","Moderate",0
"B2","CAPEX","Biomass","Conservative",0
"B2","FOM","Biomass","Advanced",1170332659.5354
"B2","FOM","Biomass","Moderate",1170332659.5354
"B2","FOM","Biomass","Conservative",1170332659.5354
"B3","CAPEX","Solar","Advanced",35192652982.8662
"B3","CAPEX","Solar","Moderate",41763720995.2827
"B3","CAPEX","Solar","Conservative",51360653711.7598
"B3","FOM","Solar","Advanced",8556259793.30006
"B3","FOM","Solar","Moderate",9659502478.80149
"B3","FOM","Solar","Conservative",11213792104.33
"B3","CAPEX","Onshore Wind","Advanced",9857974128.54614
"B3","CAPEX","Onshore Wind","Moderate",10465146541.7489
"B3","CAPEX","Onshore Wind","Conservative",11936220782.8229
"B3","FOM","Onshore Wind","Advanced",3189776176.61431
"B3","FOM","Onshore Wind","Moderate",3998008589.59413
"B3","FOM","Onshore Wind","Conservative",4329303679.17293
"B3","CAPEX","Offshore Wind","Advanced",57110575982.2731
"B3","CAPEX","Offshore Wind","Moderate",70730976439.9616
"B3","CAPEX","Offshore Wind","Conservative",91478059397.1605
"B3","FOM","Offshore Wind","Advanced",12898601393.3632
"B3","FOM","Offshore Wind","Moderate",14070206641.5995
"B3","FOM","Offshore Wind","Conservative",16101686385.4065
"B3","CAPEX","Storage","Advanced",18942077781.7753
"B3","CAPEX","Storage","Moderate",24382379917.5716
"B3","CAPEX","Storage","Conservative",33662865638.5505
"B3","FOM","Storage","Advanced",7849863301.11031
"B3","FOM","Storage","Moderate",10330202729.0191
"B3","FOM","Storage","Conservative",14692266644.4315
"B3","CAPEX","Nuclear","Advanced",0
"B3","CAPEX","Nuclear","Moderate",0
"B3","CAPEX","Nuclear","Conservative",0
"B3","FOM","Nuclear","Advanced",5612720781.22543
"B3","FOM","Nuclear","Moderate",7795445529.47976
"B3","FOM","Nuclear","Conservative",9087262217.22212
"B3","CAPEX","SMR","Advanced",0
"B3","CAPEX","SMR","Moderate",0
"B3","CAPEX","SMR","Conservative",0
"B3","FOM","SMR","Advanced",0
"B3","FOM","SMR","Moderate",0
"B3","FOM","SMR","Conservative",0
"B3","CAPEX","Hydropower","Advanced",0
"B3","CAPEX","Hydropower","Moderate",0
"B3","CAPEX","Hydropower","Conservative",0
"B3","FOM","Hydropower","Advanced",1413323574.64976
"B3","FOM","Hydropower","Moderate",2493819517.41095
"B3","FOM","Hydropower","Conservative",2493819517.41095
"B3","CAPEX","Biomass","Advanced",0
"B3","CAPEX","Biomass","Moderate",0
"B3","CAPEX","Biomass","Conservative",0
"B3","FOM","Biomass","Advanced",1170332659.5354
"B3","FOM","Biomass","Moderate",1170332659.5354
"B3","FOM","Biomass","Conservative",1170332659.5354
"C1","CAPEX","Solar","Advanced",0
"C1","CAPEX","Solar","Moderate",0
"C1","CAPEX","Solar","Conservative",0
"C1","FOM","Solar","Advanced",2350445676.55105
"C1","FOM","Solar","Moderate",2599845242.72835
"C1","FOM","Solar","Conservative",2940864935.48073
"C1","CAPEX","Onshore Wind","Advanced",0
"C1","CAPEX","Onshore Wind","Moderate",0
"C1","CAPEX","Onshore Wind","Conservative",0
"C1","FOM","Onshore Wind","Advanced",1365292611.09661
"C1","FOM","Onshore Wind","Moderate",1632408066.66778
"C1","FOM","Onshore Wind","Conservative",1747627823.64036
"C1","CAPEX","Offshore Wind","Advanced",0
"C1","CAPEX","Offshore Wind","Moderate",0
"C1","CAPEX","Offshore Wind","Conservative",0
"C1","FOM","Offshore Wind","Advanced",1207889849.89253
"C1","FOM","Offshore Wind","Moderate",1309366274.69796
"C1","FOM","Offshore Wind","Conservative",1474457419.34546
"C1","CAPEX","Storage","Advanced",0
"C1","CAPEX","Storage","Moderate",0
"C1","CAPEX","Storage","Conservative",0
"C1","FOM","Storage","Advanced",3109696431.28263
"C1","FOM","Storage","Moderate",3999750428.97742
"C1","FOM","Storage","Conservative",5508491231.53936
"C1","CAPEX","Nuclear","Advanced",0
"C1","CAPEX","Nuclear","Moderate",0
"C1","CAPEX","Nuclear","Conservative",0
"C1","FOM","Nuclear","Advanced",5612720781.22543
"C1","FOM","Nuclear","Moderate",7795445529.47976
"C1","FOM","Nuclear","Conservative",9087262217.22212
"C1","CAPEX","SMR","Advanced",92522127707.5961
"C1","CAPEX","SMR","Moderate",179373958003.066
"C1","CAPEX","SMR","Conservative",274960849100.42
"C1","FOM","SMR","Advanced",29401849590.8887
"C1","FOM","SMR","Moderate",33886877494.5835
"C1","FOM","SMR","Conservative",53820334844.3386
"C1","CAPEX","Hydropower","Advanced",0
"C1","CAPEX","Hydropower","Moderate",0
"C1","CAPEX","Hydropower","Conservative",0
"C1","FOM","Hydropower","Advanced",1413323574.64976
"C1","FOM","Hydropower","Moderate",2493819517.41095
"C1","FOM","Hydropower","Conservative",2493819517.41095
"C1","CAPEX","Biomass","Advanced",0
"C1","CAPEX","Biomass","Moderate",0
"C1","CAPEX","Biomass","Conservative",0
"C1","FOM","Biomass","Advanced",1170332659.5354
"C1","FOM","Biomass","Moderate",1170332659.5354
"C1","FOM","Biomass","Conservative",1170332659.5354
"C2","CAPEX","Solar","Advanced",35192652982.8662
"C2","CAPEX","Solar","Moderate",41763720995.2827
"C2","CAPEX","Solar","Conservative",51360653711.7598
"C2","FOM","Solar","Advanced",8556259793.30006
"C2","FOM","Solar","Moderate",9659502478.80149
"C2","FOM","Solar","Conservative",11213792104.33
"C2","CAPEX","Onshore Wind","Advanced",9857974128.54614
"C2","CAPEX","Onshore Wind","Moderate",10465146541.7489
"C2","CAPEX","Onshore Wind","Conservative",11936220782.8229
"C2","FOM","Onshore Wind","Advanced",3189776176.61431
"C2","FOM","Onshore Wind","Moderate",3998008589.59413
"C2","FOM","Onshore Wind","Conservative",4329303679.17293
"C2","CAPEX","Offshore Wind","Advanced",65373682276.42
"C2","CAPEX","Offshore Wind","Moderate",80968242593.9095
"C2","CAPEX","Offshore Wind","Conservative",104722747952.007
"C2","FOM","Offshore Wind","Advanced",14729553088.3984
"C2","FOM","Offshore Wind","Moderate",16067695652.3506
"C2","FOM","Offshore Wind","Conservative",18388231267.9356
"C2","CAPEX","Storage","Advanced",18942077781.7753
"C2","CAPEX","Storage","Moderate",24382379917.5716
"C2","CAPEX","Storage","Conservative",33662865638.5505
"C2","FOM","Storage","Advanced",7849863301.11031
"C2","FOM","Storage","Moderate",10330202729.0191
"C2","FOM","Storage","Conservative",14692266644.4315
"C2","CAPEX","Nuclear","Advanced",0
"C2","CAPEX","Nuclear","Moderate",0
"C2","CAPEX","Nuclear","Conservative",0
"C2","FOM","Nuclear","Advanced",5612720781.22543
"C2","FOM","Nuclear","Moderate",7795445529.47976
"C2","FOM","Nuclear","Conservative",9087262217.22212
"C2","CAPEX","SMR","Advanced",10918930882.7312
"C2","CAPEX","SMR","Moderate",20952430376.621
"C2","CAPEX","SMR","Conservative",31667861694.7415
"C2","FOM","SMR","Advanced",3837791567.22398
"C2","FOM","SMR","Moderate",4423217399.51238
"C2","FOM","SMR","Conservative",7025109987.46084
"C2","CAPEX","Hydropower","Advanced",0
"C2","CAPEX","Hydropower","Moderate",0
