Year,Simulation,Pathway,Fossil_new.gen_hr_TWh,Facility_Unit.ID,PM_lbs_mmBTU,CO,NH3,PM2.5,NOx,SO2,VOC,PM10,index,Facility_ID,Unit_ID,Similar_Facility_Unit_ID,CF,Estimated_NameplateCapacity_MW,mean_CO2_tons_MW,mean_NOx_lbs_MW,mean_SO2_lbs_MW,mean_Heat_Input_mmBtu,Ramp,Retirement_year,Commercial_Operation_Date,Latitude,Longitude,State,County,total_HI_mmBtu,PM.total_tons,PM2.5_tons,PM10_tons,total_NOx_tons,total_SO2_tons,CO_tons,VOC_tons,total_NOx_USD,total_SO2_USD,total_PM2.5_USD,total_PM10_USD,total_CO_USD,total_VOC_USD
2033,94,D,6.93946144202884,60903_1,0.01086,1055.8928601725,14923.5283910355,7760.23476333848,69.4117599583048,2322.31916889071,874.588175474641,1183.96630557451,1,NGCC3000,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2033-01-01,42.5256,-70.8784,MA,Essex,28437133.7458113,140.081861037054,140.081861037054,0,121.33437701191,12.3339202162788,386.966466953189,27.0876526867232,8422.03265184113,28643.2993458329,1087068.1277329,0,408595.12958205,23690.540741172
2033,17,D,6.94748578508631,60903_1,0.01086,1055.8928601725,14923.5283910355,7760.23476333848,69.4117599583048,2322.31916889071,874.588175474641,1183.96630557451,1,NGCC3000,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2033-01-01,42.5256,-70.8784,MA,Essex,28470016.6025941,140.243842614224,140.243842614224,0,121.474680214679,12.3481823615311,387.413929873548,27.1189750911484,8431.7713440731,28676.4205991418,1088325.14279907,0,409067.602484849,23717.9349457097
2033,21,D,6.955724623942,60903_1,0.01086,1055.8928601725,14923.5283910355,7760.23476333848,69.4117599583048,2322.31916889071,874.588175474641,1183.96630557451,1,NGCC3000,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2033-01-01,42.5256,-70.8784,MA,Essex,28503778.4390718,140.41015406207,140.41015406207,0,121.618733811374,12.3628257430052,387.873353762623,27.1511347633836,8441.77035774809,28710.4272046366,1089615.75867818,0,409552.704889116,23746.0614147738
2033,23,D,6.93728727430364,60903_1,0.01086,1055.8928601725,14923.5283910355,7760.23476333848,69.4117599583048,2322.31916889071,874.588175474641,1183.96630557451,1,NGCC3000,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2033-01-01,42.5256,-70.8784,MA,Essex,28428224.2506144,140.037972694465,140.037972694465,0,121.296362349149,12.3300559378354,386.845228437749,27.0791659906424,8419.39398719472,28634.3252579298,1086727.54389103,0,408467.114699219,23683.1183771309
2033,25,D,6.9356096159199,60903_1,0.01086,1055.8928601725,14923.5283910355,7760.23476333848,69.4117599583048,2322.31916889071,874.588175474641,1183.96630557451,1,NGCC3000,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2033-01-01,42.5256,-70.8784,MA,Essex,28421349.3949448,140.004107024839,140.004107024839,0,121.267029001521,12.3270741351655,386.751676864196,27.0726173804937,8417.35790791039,28627.4005604317,1086464.73834432,0,408368.334260647,23677.3910401291
2033,26,D,6.93437715078988,60903_1,0.01086,1055.8928601725,14923.5283910355,7760.23476333848,69.4117599583048,2322.31916889071,874.588175474641,1183.96630557451,1,NGCC3000,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2033-01-01,42.5256,-70.8784,MA,Essex,28416298.8912375,139.979228147635,139.979228147635,0,121.245479722807,12.3248836011147,386.682950684075,27.0678065478853,8415.86213454901,28622.3134412155,1086271.67241657,0,408295.76677775,23673.1835428155
2033,30,D,6.94312216317147,60903_1,0.01086,1055.8928601725,14923.5283910355,7760.23476333848,69.4117599583048,2322.31916889071,874.588175474641,1183.96630557451,1,NGCC3000,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2033-01-01,42.5256,-70.8784,MA,Essex,28452134.9699854,140.155757352306,140.155757352306,0,121.398383609967,12.3404266350959,387.170600420735,27.1019420294515,8426.47546246124,28658.4093269728,1087641.5804874,0,408810.672652954,23703.0380313574
2033,55,D,6.93978200352399,60903_1,0.01086,1055.8928601725,14923.5283910355,7760.23476333848,69.4117599583048,2322.31916889071,874.588175474641,1183.96630557451,1,NGCC3000,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2033-01-01,42.5256,-70.8784,MA,Essex,28438447.3708221,140.088331978812,140.088331978812,0,121.339981932354,12.3344899694129,386.984342482905,27.0889039738034,8422.42169923359,28644.6224944578,1087118.34376008,0,408614.004226249,23691.6351020564
2033,57,D,6.90870713406403,60903_1,0.01086,1055.8928601725,14923.5283910355,7760.23476333848,69.4117599583048,2322.31916889071,874.588175474641,1183.96630557451,1,NGCC3000,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2033-01-01,42.5256,-70.8784,MA,Essex,28311106.0452237,139.461046189878,139.461046189878,0,120.796647271855,12.2792587437836,385.251508811819,26.9676056168273,8384.707884202,28516.3579604576,1082250.45877425,0,406784.317525082,23585.5489933407
2033,70,D,6.94092701782073,60903_1,0.01086,1055.8928601725,14923.5283910355,7760.23476333848,69.4117599583048,2322.31916889071,874.588175474641,1183.96630557451,1,NGCC3000,1,56047_1,0.85,1131,0.384142394233294,0.0385471115421012,0.00391840309429873,4634.71099813612,1,2100,2033-01-01,42.5256,-70.8784,MA,Essex,28443139.5108346,140.111445549647,140.111445549647,0,121.360002159792,12.3365250718629,387.048192126097,27.0933734488268,8423.8113384548,28649.3486518881,1087297.71049598,0,408681.42260862,23695.5440520625
