"Pathway","Scenario","NPV","Cost_Type","Fuel"
"B2","Advanced",585489552.71207,"FOM","Oil"
"B3","Advanced",585489552.71207,"FOM","Oil"
"C1","Advanced",585489552.71207,"FOM","Oil"
"C2","Advanced",585489552.71207,"FOM","Oil"
"C3","Advanced",585489552.71207,"FOM","Oil"
"A","Advanced",2545417366.05228,"FOM","Oil"
"D","Advanced",2545417366.05228,"FOM","Oil"
"B1","Moderate",585489552.71207,"FOM","Oil"
"B2","Moderate",585489552.71207,"FOM","Oil"
"B3","Moderate",585489552.71207,"FOM","Oil"
"C1","Moderate",585489552.71207,"FOM","Oil"
"C2","Moderate",585489552.71207,"FOM","Oil"
"C3","Moderate",585489552.71207,"FOM","Oil"
"A","Moderate",2545417366.05228,"FOM","Oil"
"D","Moderate",2545417366.05228,"FOM","Oil"
"B1","Conservative",585489552.71207,"FOM","Oil"
"B2","Conservative",585489552.71207,"FOM","Oil"
"B3","Conservative",585489552.71207,"FOM","Oil"
"C1","Conservative",585489552.71207,"FOM","Oil"
"C2","Conservative",585489552.71207,"FOM","Oil"
"C3","Conservative",585489552.71207,"FOM","Oil"
"A","Conservative",2545417366.05228,"FOM","Oil"
"D","Conservative",2545417366.05228,"FOM","Oil"
