Simulation,Pathway,NPV
94,D,95287879.2007479
17,D,95156288.9904298
21,D,95173630.2117224
23,D,95179114.5699684
25,D,95202828.4576607
26,D,95226663.6270713
30,D,95196177.3820698
55,D,95287245.0314912
57,D,95260921.8440812
70,D,95298432.0889555
73,D,95273641.6861704
87,D,95269969.9876918
