DayLabel,Percentile,imports_QC,imports_NYISO,imports_NBSO
1,1,0.783084084352901,0,0.0189041095890411
1,2,0.789524901315884,0,0.0378082191780822
1,3,0.795965718278868,0,0.0567123287671233
1,4,0.802406535241852,0,0.0756164383561644
1,5,0.808847352204836,0,0.0945205479452055
1,6,0.815288169167819,0,0.113424657534247
1,7,0.821728986130803,0,0.132328767123288
1,8,0.828169803093787,0,0.151232876712329
1,9,0.834575064360355,0,0.161931506849315
1,10,0.840962547778716,0,0.168527397260274
1,11,0.847350031197077,0,0.175123287671233
1,12,0.853737514615437,0,0.181719178082192
1,13,0.860124998033798,0,0.188315068493151
1,14,0.866512481452158,0,0.19491095890411
1,15,0.872899964870519,0,0.201506849315069
1,16,0.87928744828888,0,0.208102739726027
1,17,0.883585054648375,0.0250117831893166,0.221712177121771
1,18,0.883702906890138,0.100047132757266,0.249348708487085
1,19,0.883820759131901,0.175082482325216,0.276985239852399
1,20,0.883938611373664,0.250117831893166,0.304621771217712
1,21,0.884056463615427,0.325153181461116,0.332258302583026
1,22,0.884174315857191,0.400188531029065,0.35989483394834
1,23,0.884292168098954,0.475223880597015,0.387531365313653
1,24,0.884410020340717,0.550259230164965,0.415167896678967
1,25,0.88452787258248,0.625294579732914,0.442804428044281
1,26,0.889275143533073,0.641791145058582,0.454806785567856
1,27,0.894022414483665,0.658287710384249,0.466809143091431
1,28,0.898769685434258,0.674784275709916,0.478811500615006
1,29,0.90351695638485,0.691280841035584,0.490813858138581
1,30,0.908264227335443,0.707777406361251,0.502816215662157
1,31,0.913011498286035,0.724273971686918,0.514818573185732
1,32,0.917758769236628,0.740770537012585,0.526820930709307
1,33,0.92250604018722,0.757267102338253,0.538823288232882
1,34,0.925269958158996,0.768840571262023,0.545784702769997
1,35,0.927042199641363,0.777952491984844,0.550225645813881
1,36,0.92881444112373,0.787064412707665,0.554666588857765
1,37,0.930586682606097,0.796176333430487,0.55910753190165
1,38,0.932358924088464,0.805288254153308,0.563548474945534
1,39,0.934131165570831,0.814400174876129,0.567989417989418
1,40,0.935903407053198,0.823512095598951,0.572430361033302
1,41,0.937675648535565,0.832624016321772,0.576871304077186
1,42,0.940266473460387,0.839009839861084,0.582038655462185
1,43,0.944494465270121,0.839943469033378,0.588658823529412
1,44,0.948722457079855,0.840877098205672,0.595278991596639
1,45,0.952950448889589,0.841810727377967,0.601899159663866
1,46,0.957178440699323,0.842744356550261,0.608519327731093
1,47,0.961406432509057,0.843677985722555,0.615139495798319
1,48,0.96563442431879,0.844611614894849,0.621759663865546
1,49,0.969862416128524,0.845545244067143,0.628379831932773
1,50,0.974090407938258,0.846478873239437,0.635
1,51,0.974766643064379,0.853358401228117,0.638871174377224
1,52,0.9754428781905,0.860237929216798,0.642742348754448
1,53,0.976119113316621,0.867117457205479,0.646613523131673
1,54,0.976795348442742,0.873996985194159,0.650484697508897
1,55,0.977471583568863,0.88087651318284,0.654355871886121
1,56,0.978147818694984,0.887756041171521,0.658227046263345
1,57,0.978824053821105,0.894635569160201,0.662098220640569
1,58,0.979500288947226,0.901515097148881,0.665969395017794
1,59,0.979846026480481,0.904338256962791,0.673159003558719
1,60,0.980026515217303,0.905133232689315,0.682007829181495
1,61,0.980207003954125,0.905928208415839,0.690856654804271
1,62,0.980387492690947,0.906723184142363,0.699705480427046
1,63,0.980567981427769,0.907518159868887,0.708554306049822
1,64,0.980748470164591,0.908313135595411,0.717403131672598
1,65,0.980928958901413,0.909108111321935,0.726251957295374
1,66,0.981109447638235,0.909903087048459,0.73510078291815
1,67,0.981595967139656,0.912892002212098,0.742374492753623
1,68,0.982694548170276,0.920268796249967,0.746497971014493
1,69,0.983793129200896,0.927645590287836,0.750621449275362
1,70,0.984891710231516,0.935022384325705,0.754744927536232
1,71,0.985990291262136,0.942399178363574,0.758868405797102
1,72,0.987088872292756,0.949775972401443,0.762991884057971
1,73,0.988187453323376,0.957152766439312,0.76711536231884
1,74,0.989286034353995,0.964529560477181,0.77123884057971
1,75,0.990384615384615,0.97190635451505,0.77536231884058
1,76,0.991274144357845,0.972594838247197,0.777740527326698
1,77,0.992163673331074,0.973283321979345,0.780118735812816
1,78,0.993053202304304,0.973971805711492,0.782496944298935
1,79,0.993942731277533,0.974660289443639,0.784875152785053
1,80,0.994832260250762,0.975348773175786,0.787253361271172
1,81,0.995721789223992,0.976037256907933,0.78963156975729
1,82,0.996611318197221,0.97672574064008,0.792009778243409
1,83,0.997500847170451,0.977414224372227,0.794387986729527
1,84,0.997973568281938,0.979432221433641,0.805041798309927
1,85,0.998237885462555,0.982114975159688,0.819833411437469
1,86,0.998502202643172,0.984797728885735,0.83462502456501
1,87,0.998766519823788,0.987480482611782,0.849416637692552
1,88,0.999030837004405,0.990163236337828,0.864208250820093
1,89,0.999295154185022,0.992845990063875,0.878999863947635
1,90,0.999559471365639,0.995528743789922,0.893791477075177
1,91,0.999823788546255,0.998211497515969,0.908583090202718
1,92,1,1,0.919510320564863
1,93,1,1,0.922708785396216
1,94,1,1,0.925907250227569
1,95,1,1,0.929105715058922
1,96,1,1,0.932304179890275
1,97,1,1,0.935502644721628
1,98,1,1,0.93870110955298
1,99,1,1,0.941899574384333
2,1,0.374533809596687,0,0
2,2,0.430063094306497,0,0
2,3,0.485592379016306,0,0
2,4,0.541121663726116,0,0
2,5,0.596650948435925,0,0
2,6,0.652180233145735,0,0
2,7,0.707709517855544,0,0
2,8,0.763238802565354,0,0
2,9,0.788878758640417,0.028171206225681,0
2,10,0.799574050398107,0.0704280155642024,0
