Pathway,mean_tax_rev,min_tax_rev,max_tax_rev
B1,1.35578347898527,1.06902090305317,1.57423502851607
B2,1.35182242783943,1.14656765559591,1.55919911721211
B3,1.35331102206064,1.15265975310638,1.63150302971481
C2,1.93791299934137,1.66542045665787,2.1858712199435
C3,1.64417620662433,1.3529179812526,1.85588618500203
D,0.348240898182558,0.294059186447529,0.400264489162312
C1,5.83495144780856,4.58333537154589,6.99097966045522
