"Pathway","Scenario","NPV","Cost_Type","Fuel"
"B2","Advanced",614644537.543887,"FOM","Oil"
"B3","Advanced",614644537.543887,"FOM","Oil"
"C1","Advanced",614644537.543887,"FOM","Oil"
"C2","Advanced",614644537.543887,"FOM","Oil"
"C3","Advanced",614644537.543887,"FOM","Oil"
"A","Advanced",2855566014.39984,"FOM","Oil"
"D","Advanced",2855566014.39984,"FOM","Oil"
"B1","Moderate",614644537.543887,"FOM","Oil"
"B2","Moderate",614644537.543887,"FOM","Oil"
"B3","Moderate",614644537.543887,"FOM","Oil"
"C1","Moderate",614644537.543887,"FOM","Oil"
"C2","Moderate",614644537.543887,"FOM","Oil"
"C3","Moderate",614644537.543887,"FOM","Oil"
"A","Moderate",2855566014.39984,"FOM","Oil"
"D","Moderate",2855566014.39984,"FOM","Oil"
"B1","Conservative",614644537.543887,"FOM","Oil"
"B2","Conservative",614644537.543887,"FOM","Oil"
"B3","Conservative",614644537.543887,"FOM","Oil"
"C1","Conservative",614644537.543887,"FOM","Oil"
"C2","Conservative",614644537.543887,"FOM","Oil"
"C3","Conservative",614644537.543887,"FOM","Oil"
"A","Conservative",2855566014.39984,"FOM","Oil"
"D","Conservative",2855566014.39984,"FOM","Oil"
