"Simulation","Pathway","Jurisdiction","Cost_Type","NPV"
"100","C2","NB","Lower",770280955.197607
"100","C2","NB","Upper",2293885611.00407
"100","C3","QC","Lower",26340145051.04
"100","C3","QC","Upper",78440573295.5455
"100","C3","NYISO","Lower",6758009994.98677
"100","C3","NYISO","Upper",20306520417.6285
"100","C3","NB","Lower",770280955.197607
"100","C3","NB","Upper",2293885611.00407
"100","D","QC","Lower",26340145051.04
"100","D","QC","Upper",78440573295.5455
"100","D","NYISO","Lower",6758009994.98677
"100","D","NYISO","Upper",20306520417.6285
"100","D","NB","Lower",770280955.197607
"100","D","NB","Upper",2293885611.00407
"1000","A","QC","Lower",4929682870.31358
"1000","A","QC","Upper",14680524718.5744
"1000","A","NYISO","Lower",5364235174.15714
"1000","A","NYISO","Upper",16118495114.6549
"1000","A","NB","Lower",757629879.01809
"1000","A","NB","Upper",2256210888.01359
"1000","B1","QC","Lower",26340837607.9129
"1000","B1","QC","Upper",78442635719.9566
"1000","B1","NYISO","Lower",8741807213.45129
"1000","B1","NYISO","Upper",26267449559.6493
"1000","B1","NB","Lower",757629879.01809
"1000","B1","NB","Upper",2256210888.01359
"1000","B2","QC","Lower",4929682870.31358
"1000","B2","QC","Upper",14680524718.5744
"1000","B2","NYISO","Lower",8741807213.45129
"1000","B2","NYISO","Upper",26267449559.6493
"1000","B2","NB","Lower",757629879.01809
"1000","B2","NB","Upper",2256210888.01359
"1000","B3","QC","Lower",35540891100.9819
"1000","B3","QC","Upper",105840262762.163
"1000","B3","NYISO","Lower",8741807213.45129
"1000","B3","NYISO","Upper",26267449559.6493
"1000","B3","NB","Lower",757629879.01809
"1000","B3","NB","Upper",2256210888.01359
"1000","C1","QC","Lower",4929682870.31358
"1000","C1","QC","Upper",14680524718.5744
"1000","C1","NYISO","Lower",5364235174.15714
"1000","C1","NYISO","Upper",16118495114.6549
"1000","C1","NB","Lower",757629879.01809
"1000","C1","NB","Upper",2256210888.01359
"1000","C2","QC","Lower",4929682870.31358
"1000","C2","QC","Upper",14680524718.5744
"1000","C2","NYISO","Lower",8741807213.45129
"1000","C2","NYISO","Upper",26267449559.6493
"1000","C2","NB","Lower",757629879.01809
"1000","C2","NB","Upper",2256210888.01359
"1000","C3","QC","Lower",26340837607.9129
"1000","C3","QC","Upper",78442635719.9566
"1000","C3","NYISO","Lower",8741807213.45129
"1000","C3","NYISO","Upper",26267449559.6493
"1000","C3","NB","Lower",757629879.01809
"1000","C3","NB","Upper",2256210888.01359
"1000","D","QC","Lower",26340837607.9129
"1000","D","QC","Upper",78442635719.9566
"1000","D","NYISO","Lower",8741807213.45129
"1000","D","NYISO","Upper",26267449559.6493
"1000","D","NB","Lower",757629879.01809
"1000","D","NB","Upper",2256210888.01359
"1001","A","QC","Lower",4864508318.43674
"1001","A","QC","Upper",14486435840.0358
"1001","A","NYISO","Lower",4384002218.9557
"1001","A","NYISO","Upper",13173083590.6121
"1001","A","NB","Lower",694513613.914533
"1001","A","NB","Upper",2068251557.89589
"1001","B1","QC","Lower",26197296159.1981
"1001","B1","QC","Upper",78015171349.2388
"1001","B1","NYISO","Lower",7144194097.02834
"1001","B1","NYISO","Upper",21466929378.09
"1001","B1","NB","Lower",694513613.914533
"1001","B1","NB","Upper",2068251557.89589
"1001","B2","QC","Lower",4864508318.43674
"1001","B2","QC","Upper",14486435840.0358
"1001","B2","NYISO","Lower",7144194097.02834
"1001","B2","NYISO","Upper",21466929378.09
"1001","B2","NB","Lower",694513613.914533
"1001","B2","NB","Upper",2068251557.89589
"1001","B3","QC","Lower",35377775131.4241
"1001","B3","QC","Upper",105354505749.779
"1001","B3","NYISO","Lower",7144194097.02834
"1001","B3","NYISO","Upper",21466929378.09
"1001","B3","NB","Lower",694513613.914533
"1001","B3","NB","Upper",2068251557.89589
"1001","C1","QC","Lower",4864508318.43674
"1001","C1","QC","Upper",14486435840.0358
"1001","C1","NYISO","Lower",4384002218.9557
"1001","C1","NYISO","Upper",13173083590.6121
"1001","C1","NB","Lower",694513613.914533
"1001","C1","NB","Upper",2068251557.89589
"1001","C2","QC","Lower",4864508318.43674
"1001","C2","QC","Upper",14486435840.0358
"1001","C2","NYISO","Lower",7144194097.02834
"1001","C2","NYISO","Upper",21466929378.09
"1001","C2","NB","Lower",694513613.914533
"1001","C2","NB","Upper",2068251557.89589
"1001","C3","QC","Lower",26197296159.1981
"1001","C3","QC","Upper",78015171349.2388
"1001","C3","NYISO","Lower",7144194097.02834
"1001","C3","NYISO","Upper",21466929378.09
"1001","C3","NB","Lower",694513613.914533
"1001","C3","NB","Upper",2068251557.89589
"1001","D","QC","Lower",26197296159.1981
"1001","D","QC","Upper",78015171349.2388
"1001","D","NYISO","Lower",7144194097.02834
"1001","D","NYISO","Upper",21466929378.09
"1001","D","NB","Lower",694513613.914533
"1001","D","NB","Upper",2068251557.89589
"1002","A","QC","Lower",5010175459.7132
"1002","A","QC","Upper",14920230492.6434
"1002","A","NYISO","Lower",4387181152.57173
"1002","A","NYISO","Upper",13182635674.7949
"1002","A","NB","Lower",808765833.143551
"1002","A","NB","Upper",2408493024.26771
"1002","B1","QC","Lower",26518369245.8528
"1002","B1","QC","Upper",78971322385.5435
"1002","B1","NYISO","Lower",7149504093.26503
"1002","B1","NYISO","Upper",21482884895.6281
"1002","B1","NB","Lower",808765833.143551
"1002","B1","NB","Upper",2408493024.26771
"1002","B2","QC","Lower",5010175459.7132
"1002","B2","QC","Upper",14920230492.6434
"1002","B2","NYISO","Lower",7149504093.26503
"1002","B2","NYISO","Upper",21482884895.6281
"1002","B2","NB","Lower",808765833.143551
"1002","B2","NB","Upper",2408493024.26771
"1002","B3","QC","Lower",35742526635.1481
"1002","B3","QC","Upper",106440730484.194
"1002","B3","NYISO","Lower",7149504093.26503
"1002","B3","NYISO","Upper",21482884895.6281
"1002","B3","NB","Lower",808765833.143551
"1002","B3","NB","Upper",2408493024.26771
"1002","C1","QC","Lower",5010175459.7132
"1002","C1","QC","Upper",14920230492.6434
"1002","C1","NYISO","Lower",4387181152.57173
"1002","C1","NYISO","Upper",13182635674.7949
"1002","C1","NB","Lower",808765833.143551
"1002","C1","NB","Upper",2408493024.26771
"1002","C2","QC","Lower",5010175459.7132
"1002","C2","QC","Upper",14920230492.6434
"1002","C2","NYISO","Lower",7149504093.26503
"1002","C2","NYISO","Upper",21482884895.6281
"1002","C2","NB","Lower",808765833.143551
"1002","C2","NB","Upper",2408493024.26771
"1002","C3","QC","Lower",26518369245.8528
"1002","C3","QC","Upper",78971322385.5435
"1002","C3","NYISO","Lower",7149504093.26503
"1002","C3","NYISO","Upper",21482884895.6281
"1002","C3","NB","Lower",808765833.143551
"1002","C3","NB","Upper",2408493024.26771
"1002","D","QC","Lower",26518369245.8528
"1002","D","QC","Upper",78971322385.5435
"1002","D","NYISO","Lower",7149504093.26503
"1002","D","NYISO","Upper",21482884895.6281
"1002","D","NB","Lower",808765833.143551
"1002","D","NB","Upper",2408493024.26771
"1003","A","QC","Lower",5050271098.23896
"1003","A","QC","Upper",15039634727.7574
"1003","A","NYISO","Lower",4591801881.05582
"1003","A","NYISO","Upper",13797481613.7495
"1003","A","NB","Lower",821853392.628025
"1003","A","NB","Upper",2447467588.26546
"1003","B1","QC","Lower",26606612848.2201
"1003","B1","QC","Upper",79234110564.8015
"1003","B1","NYISO","Lower",7481795031.11086
"1003","B1","NYISO","Upper",22481355261.7514
"1003","B1","NB","Lower",821853392.628025
"1003","B1","NB","Upper",2447467588.26546
"1003","B2","QC","Lower",5050271098.23896
"1003","B2","QC","Upper",15039634727.7574
"1003","B2","NYISO","Lower",7481795031.11086
"1003","B2","NYISO","Upper",22481355261.7514
"1003","B2","NB","Lower",821853392.628025
"1003","B2","NB","Upper",2447467588.26546
"1003","B3","QC","Lower",35842764940.1377
"1003","B3","QC","Upper",106739238715.425
"1003","B3","NYISO","Lower",7481795031.11086
"1003","B3","NYISO","Upper",22481355261.7514
"1003","B3","NB","Lower",821853392.628025
"1003","B3","NB","Upper",2447467588.26546
"1003","C1","QC","Lower",5050271098.23896
"1003","C1","QC","Upper",15039634727.7574
"1003","C1","NYISO","Lower",4591801881.05582
"1003","C1","NYISO","Upper",13797481613.7495
"1003","C1","NB","Lower",821853392.628025
"1003","C1","NB","Upper",2447467588.26546
"1003","C2","QC","Lower",5050271098.23896
"1003","C2","QC","Upper",15039634727.7574
"1003","C2","NYISO","Lower",7481795031.11086
"1003","C2","NYISO","Upper",22481355261.7514
"1003","C2","NB","Lower",821853392.628025
"1003","C2","NB","Upper",2447467588.26546
"1003","C3","QC","Lower",26606612848.2201
"1003","C3","QC","Upper",79234110564.8015
