"Pathway","Cost_Type","Technology","ATB_Scenario","NPV"
"B2","CAPEX","Offshore Wind","Conservative",151895587055.79
"B2","FOM","Offshore Wind","Advanced",22143625493.4735
"B2","FOM","Offshore Wind","Moderate",24163480186.9539
"B2","FOM","Offshore Wind","Conservative",27679091255.562
"B2","CAPEX","Storage","Advanced",21162369749.1275
"B2","CAPEX","Storage","Moderate",27322517390.069
"B2","CAPEX","Storage","Conservative",37882957172.047
"B2","FOM","Storage","Advanced",9008954355.11149
"B2","FOM","Storage","Moderate",11901672560.6574
"B2","FOM","Storage","Conservative",17014724069.6142
"B2","CAPEX","Nuclear","Advanced",0
"B2","CAPEX","Nuclear","Moderate",0
"B2","CAPEX","Nuclear","Conservative",0
"B2","FOM","Nuclear","Advanced",6503537935.08848
"B2","FOM","Nuclear","Moderate",9032691576.51178
"B2","FOM","Nuclear","Conservative",10529537609.1909
"B2","CAPEX","SMR","Advanced",0
"B2","CAPEX","SMR","Moderate",0
"B2","CAPEX","SMR","Conservative",0
"B2","FOM","SMR","Advanced",0
"B2","FOM","SMR","Moderate",0
"B2","FOM","SMR","Conservative",0
"B2","CAPEX","Hydropower","Advanced",0
"B2","CAPEX","Hydropower","Moderate",0
"B2","CAPEX","Hydropower","Conservative",0
"B2","FOM","Hydropower","Advanced",1573026717.34992
"B2","FOM","Hydropower","Moderate",2806884488.29927
"B2","FOM","Hydropower","Conservative",2806884488.29927
"B2","CAPEX","Biomass","Advanced",0
"B2","CAPEX","Biomass","Moderate",0
"B2","CAPEX","Biomass","Conservative",0
"B2","FOM","Biomass","Advanced",1317251936.34316
"B2","FOM","Biomass","Moderate",1317251936.34316
"B2","FOM","Biomass","Conservative",1317251936.34316
"B3","CAPEX","Solar","Advanced",39182864348.0342
"B3","CAPEX","Solar","Moderate",46695934437.2685
"B3","CAPEX","Solar","Conservative",57708284888.6285
"B3","FOM","Solar","Advanced",9911104609.73579
"B3","FOM","Solar","Moderate",11204046326.1341
"B3","FOM","Solar","Conservative",13033490474.9358
"B3","CAPEX","Onshore Wind","Advanced",11143650945.2815
"B3","CAPEX","Onshore Wind","Moderate",11848905245.4193
"B3","CAPEX","Onshore Wind","Conservative",13553645962.6917
"B3","FOM","Onshore Wind","Advanced",3655544978.38793
"B3","FOM","Onshore Wind","Moderate",4619023962.61038
"B3","FOM","Onshore Wind","Conservative",5010885168.66052
"B3","CAPEX","Offshore Wind","Advanced",65539477305.931
"B3","CAPEX","Offshore Wind","Moderate",80895370002.4786
"B3","CAPEX","Offshore Wind","Conservative",104103740664.771
"B3","FOM","Offshore Wind","Advanced",15262016432.7623
"B3","FOM","Offshore Wind","Moderate",16653630690.8055
"B3","FOM","Offshore Wind","Conservative",19075091092.3336
"B3","CAPEX","Storage","Advanced",21162369749.1275
"B3","CAPEX","Storage","Moderate",27322517390.069
"B3","CAPEX","Storage","Conservative",37882957172.047
"B3","FOM","Storage","Advanced",9008954355.11149
"B3","FOM","Storage","Moderate",11901672560.6574
"B3","FOM","Storage","Conservative",17014724069.6142
"B3","CAPEX","Nuclear","Advanced",0
"B3","CAPEX","Nuclear","Moderate",0
"B3","CAPEX","Nuclear","Conservative",0
"B3","FOM","Nuclear","Advanced",6503537935.08848
"B3","FOM","Nuclear","Moderate",9032691576.51178
"B3","FOM","Nuclear","Conservative",10529537609.1909
"B3","CAPEX","SMR","Advanced",0
"B3","CAPEX","SMR","Moderate",0
"B3","CAPEX","SMR","Conservative",0
"B3","FOM","SMR","Advanced",0
"B3","FOM","SMR","Moderate",0
"B3","FOM","SMR","Conservative",0
"B3","CAPEX","Hydropower","Advanced",0
"B3","CAPEX","Hydropower","Moderate",0
"B3","CAPEX","Hydropower","Conservative",0
"B3","FOM","Hydropower","Advanced",1573026717.34992
"B3","FOM","Hydropower","Moderate",2806884488.29927
"B3","FOM","Hydropower","Conservative",2806884488.29927
"B3","CAPEX","Biomass","Advanced",0
"B3","CAPEX","Biomass","Moderate",0
