"Pathway","NPV_max","NPV_mean","NPV_min"
"A",372470782907.146,367368649528.791,8565469856.55835
"B1",123649868403.716,116338715598.528,23425633519.0449
"B2",147577269639.779,139635333520.926,32370312457.0666
"B3",123012092234.226,115965460085.941,106463545535.458
"C1",118194435309.299,113898638332.984,15701656442.822
"C2",135904111969.656,128905737354.418,97669991869.281
"C3",113538689624.916,106815373758.411,30704315750.9223
"D",463835251818.33,454565755449.906,99647150920.5946
