Pathway,mean_NPV,max_NPV,min_NPV,mean_mortality,max_mortality,min_mortality
A,1348257003.3642,1372517135.79012,66732981.4918488,118.541036817614,120.674028705604,5.86727663660247
B1,646892036.391609,677657082.303748,156993403.314725,56.8758422997825,59.5807571869785,13.8031256325886
B2,741129926.068023,774944892.073552,191842765.298504,65.1613969988285,68.1344660207179,16.8671404989542
B3,643318103.022063,672582807.863322,603470400.595224,56.5616160312845,59.1346183931401,53.0581386165996
C1,597159826.89197,614183744.534165,83427156.852962,52.5033022999099,54.0000739413463,7.33505677880349
C2,694837090.403362,724966369.557694,532195877.201197,61.0912525655167,63.7402697637289,46.791561932238
C3,606462864.563022,635052625.913174,198051683.163735,53.3212411115222,55.8349012997199,17.413039062376
D,1549811023.66772,1575304815.3637,310904682.314266,136.262007286835,138.503464585046,27.3352656808181
