"Simulation","Pathway","ATB_Scenario","NPV","Technology"
"1005","C1","Conservative",3114140097.05323,"Biopower"
"1005","C2","Advanced",3077420864.06465,"Nuclear"
"1005","C2","Moderate",3387986272.36475,"Nuclear"
"1005","C2","Conservative",3726784899.60123,"Nuclear"
"1005","C2","Advanced",3114140097.05323,"Biopower"
"1005","C2","Moderate",3114140097.05323,"Biopower"
"1005","C2","Conservative",3114140097.05323,"Biopower"
"1005","C3","Advanced",1987947115.10774,"Nuclear"
"1005","C3","Moderate",2188565631.31127,"Nuclear"
"1005","C3","Conservative",2407422194.4424,"Nuclear"
"1005","C3","Advanced",3114140097.05323,"Biopower"
"1005","C3","Moderate",3114140097.05323,"Biopower"
"1005","C3","Conservative",3114140097.05323,"Biopower"
"1005","D","Advanced",3114140097.05323,"Biopower"
"1005","D","Moderate",3114140097.05323,"Biopower"
"1005","D","Conservative",3114140097.05323,"Biopower"
"1006","A","Advanced",3114140097.05323,"Biopower"
"1006","A","Moderate",3114140097.05323,"Biopower"
"1006","A","Conservative",3114140097.05323,"Biopower"
"1006","B1","Advanced",3114140097.05323,"Biopower"
"1006","B1","Moderate",3114140097.05323,"Biopower"
"1006","B1","Conservative",3114140097.05323,"Biopower"
"1006","B2","Advanced",3114140097.05323,"Biopower"
"1006","B2","Moderate",3114140097.05323,"Biopower"
"1006","B2","Conservative",3114140097.05323,"Biopower"
"1006","B3","Advanced",3114140097.05323,"Biopower"
"1006","B3","Moderate",3114140097.05323,"Biopower"
"1006","B3","Conservative",3114140097.05323,"Biopower"
"1006","C1","Advanced",23692754917.1315,"Nuclear"
"1006","C1","Moderate",26083766881.2456,"Nuclear"
"1006","C1","Conservative",28692143569.3702,"Nuclear"
"1006","C1","Advanced",3114140097.05323,"Biopower"
"1006","C1","Moderate",3114140097.05323,"Biopower"
"1006","C1","Conservative",3114140097.05323,"Biopower"
"1006","C2","Advanced",3077420864.06465,"Nuclear"
"1006","C2","Moderate",3387986272.36475,"Nuclear"
"1006","C2","Conservative",3726784899.60123,"Nuclear"
"1006","C2","Advanced",3114140097.05323,"Biopower"
"1006","C2","Moderate",3114140097.05323,"Biopower"
"1006","C2","Conservative",3114140097.05323,"Biopower"
"1006","C3","Advanced",1987947115.10774,"Nuclear"
"1006","C3","Moderate",2188565631.31127,"Nuclear"
"1006","C3","Conservative",2407422194.4424,"Nuclear"
"1006","C3","Advanced",3114140097.05323,"Biopower"
"1006","C3","Moderate",3114140097.05323,"Biopower"
"1006","C3","Conservative",3114140097.05323,"Biopower"
"1006","D","Advanced",3114140097.05323,"Biopower"
"1006","D","Moderate",3114140097.05323,"Biopower"
"1006","D","Conservative",3114140097.05323,"Biopower"
"1007","A","Advanced",3114140097.05323,"Biopower"
"1007","A","Moderate",3114140097.05323,"Biopower"
"1007","A","Conservative",3114140097.05323,"Biopower"
"1007","B1","Advanced",3114140097.05323,"Biopower"
"1007","B1","Moderate",3114140097.05323,"Biopower"
"1007","B1","Conservative",3114140097.05323,"Biopower"
"1007","B2","Advanced",3114140097.05323,"Biopower"
"1007","B2","Moderate",3114140097.05323,"Biopower"
"1007","B2","Conservative",3114140097.05323,"Biopower"
"1007","B3","Advanced",3114140097.05323,"Biopower"
"1007","B3","Moderate",3114140097.05323,"Biopower"
"1007","B3","Conservative",3114140097.05323,"Biopower"
"1007","C1","Advanced",23692754917.1315,"Nuclear"
"1007","C1","Moderate",26083766881.2456,"Nuclear"
"1007","C1","Conservative",28692143569.3702,"Nuclear"
"1007","C1","Advanced",3114140097.05323,"Biopower"
"1007","C1","Moderate",3114140097.05323,"Biopower"
"1007","C1","Conservative",3114140097.05323,"Biopower"
"1007","C2","Advanced",3077420864.06465,"Nuclear"
"1007","C2","Moderate",3387986272.36475,"Nuclear"
"1007","C2","Conservative",3726784899.60123,"Nuclear"
"1007","C2","Advanced",3114140097.05323,"Biopower"
"1007","C2","Moderate",3114140097.05323,"Biopower"
"1007","C2","Conservative",3114140097.05323,"Biopower"
"1007","C3","Advanced",1987947115.10774,"Nuclear"
"1007","C3","Moderate",2188565631.31127,"Nuclear"
"1007","C3","Conservative",2407422194.4424,"Nuclear"
"1007","C3","Advanced",3114140097.05323,"Biopower"
"1007","C3","Moderate",3114140097.05323,"Biopower"
"1007","C3","Conservative",3114140097.05323,"Biopower"
"1007","D","Advanced",3114140097.05323,"Biopower"
"1007","D","Moderate",3114140097.05323,"Biopower"
"1007","D","Conservative",3114140097.05323,"Biopower"
"1008","A","Advanced",3114140097.05323,"Biopower"
"1008","A","Moderate",3114140097.05323,"Biopower"
"1008","A","Conservative",3114140097.05323,"Biopower"
"1008","B1","Advanced",3114140097.05323,"Biopower"
"1008","B1","Moderate",3114140097.05323,"Biopower"
"1008","B1","Conservative",3114140097.05323,"Biopower"
"1008","B2","Advanced",3114140097.05323,"Biopower"
"1008","B2","Moderate",3114140097.05323,"Biopower"
"1008","B2","Conservative",3114140097.05323,"Biopower"
"1008","B3","Advanced",3114140097.05323,"Biopower"
"1008","B3","Moderate",3114140097.05323,"Biopower"
"1008","B3","Conservative",3114140097.05323,"Biopower"
"1008","C1","Advanced",23692754917.1315,"Nuclear"
"1008","C1","Moderate",26083766881.2456,"Nuclear"
"1008","C1","Conservative",28692143569.3702,"Nuclear"
"1008","C1","Advanced",3114140097.05323,"Biopower"
"1008","C1","Moderate",3114140097.05323,"Biopower"
"1008","C1","Conservative",3114140097.05323,"Biopower"
"1008","C2","Advanced",3077420864.06465,"Nuclear"
"1008","C2","Moderate",3387986272.36475,"Nuclear"
"1008","C2","Conservative",3726784899.60123,"Nuclear"
"1008","C2","Advanced",3114140097.05323,"Biopower"
"1008","C2","Moderate",3114140097.05323,"Biopower"
"1008","C2","Conservative",3114140097.05323,"Biopower"
"1008","C3","Advanced",1987947115.10774,"Nuclear"
"1008","C3","Moderate",2188565631.31127,"Nuclear"
"1008","C3","Conservative",2407422194.4424,"Nuclear"
"1008","C3","Advanced",3114140097.05323,"Biopower"
"1008","C3","Moderate",3114140097.05323,"Biopower"
"1008","C3","Conservative",3114140097.05323,"Biopower"
"1008","D","Advanced",3114140097.05323,"Biopower"
"1008","D","Moderate",3114140097.05323,"Biopower"
"1008","D","Conservative",3114140097.05323,"Biopower"
"1009","A","Advanced",3114140097.05323,"Biopower"
"1009","A","Moderate",3114140097.05323,"Biopower"
"1009","A","Conservative",3114140097.05323,"Biopower"
"1009","B1","Advanced",3114140097.05323,"Biopower"
"1009","B1","Moderate",3114140097.05323,"Biopower"
"1009","B1","Conservative",3114140097.05323,"Biopower"
"1009","B2","Advanced",3114140097.05323,"Biopower"
"1009","B2","Moderate",3114140097.05323,"Biopower"
"1009","B2","Conservative",3114140097.05323,"Biopower"
"1009","B3","Advanced",3114140097.05323,"Biopower"
"1009","B3","Moderate",3114140097.05323,"Biopower"
"1009","B3","Conservative",3114140097.05323,"Biopower"
"1009","C1","Advanced",23692754917.1315,"Nuclear"
"1009","C1","Moderate",26083766881.2456,"Nuclear"
"1009","C1","Conservative",28692143569.3702,"Nuclear"
"1009","C1","Advanced",3114140097.05323,"Biopower"
"1009","C1","Moderate",3114140097.05323,"Biopower"
"1009","C1","Conservative",3114140097.05323,"Biopower"
"1009","C2","Advanced",3077420864.06465,"Nuclear"
"1009","C2","Moderate",3387986272.36475,"Nuclear"
"1009","C2","Conservative",3726784899.60123,"Nuclear"
"1009","C2","Advanced",3114140097.05323,"Biopower"
"1009","C2","Moderate",3114140097.05323,"Biopower"
"1009","C2","Conservative",3114140097.05323,"Biopower"
"1009","C3","Advanced",1987947115.10774,"Nuclear"
"1009","C3","Moderate",2188565631.31127,"Nuclear"
"1009","C3","Conservative",2407422194.4424,"Nuclear"
"1009","C3","Advanced",3114140097.05323,"Biopower"
"1009","C3","Moderate",3114140097.05323,"Biopower"
"1009","C3","Conservative",3114140097.05323,"Biopower"
"1009","D","Advanced",3114140097.05323,"Biopower"
"1009","D","Moderate",3114140097.05323,"Biopower"
"1009","D","Conservative",3114140097.05323,"Biopower"
"101","A","Advanced",3114140097.05323,"Biopower"
"101","A","Moderate",3114140097.05323,"Biopower"
"101","A","Conservative",3114140097.05323,"Biopower"
"101","B1","Advanced",3114140097.05323,"Biopower"
"101","B1","Moderate",3114140097.05323,"Biopower"
"101","B1","Conservative",3114140097.05323,"Biopower"
"101","B2","Advanced",3114140097.05323,"Biopower"
"101","B2","Moderate",3114140097.05323,"Biopower"
"101","B2","Conservative",3114140097.05323,"Biopower"
"101","B3","Advanced",3114140097.05323,"Biopower"
"101","B3","Moderate",3114140097.05323,"Biopower"
"101","B3","Conservative",3114140097.05323,"Biopower"
"101","C1","Advanced",23692754917.1315,"Nuclear"
"101","C1","Moderate",26083766881.2456,"Nuclear"
"101","C1","Conservative",28692143569.3702,"Nuclear"
"101","C1","Advanced",3114140097.05323,"Biopower"
"101","C1","Moderate",3114140097.05323,"Biopower"
"101","C1","Conservative",3114140097.05323,"Biopower"
"101","C2","Advanced",3077420864.06465,"Nuclear"
"101","C2","Moderate",3387986272.36475,"Nuclear"
"101","C2","Conservative",3726784899.60123,"Nuclear"
"101","C2","Advanced",3114140097.05323,"Biopower"
"101","C2","Moderate",3114140097.05323,"Biopower"
"101","C2","Conservative",3114140097.05323,"Biopower"
"101","C3","Advanced",1987947115.10774,"Nuclear"
"101","C3","Moderate",2188565631.31127,"Nuclear"
"101","C3","Conservative",2407422194.4424,"Nuclear"
"101","C3","Advanced",3114140097.05323,"Biopower"
"101","C3","Moderate",3114140097.05323,"Biopower"
"101","C3","Conservative",3114140097.05323,"Biopower"
"101","D","Advanced",3114140097.05323,"Biopower"
"101","D","Moderate",3114140097.05323,"Biopower"
"101","D","Conservative",3114140097.05323,"Biopower"
"1010","A","Advanced",3114140097.05323,"Biopower"
"1010","A","Moderate",3114140097.05323,"Biopower"
"1010","A","Conservative",3114140097.05323,"Biopower"
"1010","B1","Advanced",3114140097.05323,"Biopower"
"1010","B1","Moderate",3114140097.05323,"Biopower"
"1010","B1","Conservative",3114140097.05323,"Biopower"
"1010","B2","Advanced",3114140097.05323,"Biopower"
"1010","B2","Moderate",3114140097.05323,"Biopower"
"1010","B2","Conservative",3114140097.05323,"Biopower"
"1010","B3","Advanced",3114140097.05323,"Biopower"
"1010","B3","Moderate",3114140097.05323,"Biopower"
"1010","B3","Conservative",3114140097.05323,"Biopower"
"1010","C1","Advanced",23692754917.1315,"Nuclear"
"1010","C1","Moderate",26083766881.2456,"Nuclear"
"1010","C1","Conservative",28692143569.3702,"Nuclear"
"1010","C1","Advanced",3114140097.05323,"Biopower"
"1010","C1","Moderate",3114140097.05323,"Biopower"
"1010","C1","Conservative",3114140097.05323,"Biopower"
"1010","C2","Advanced",3077420864.06465,"Nuclear"
"1010","C2","Moderate",3387986272.36475,"Nuclear"
"1010","C2","Conservative",3726784899.60123,"Nuclear"
"1010","C2","Advanced",3114140097.05323,"Biopower"
"1010","C2","Moderate",3114140097.05323,"Biopower"
"1010","C2","Conservative",3114140097.05323,"Biopower"
"1010","C3","Advanced",1987947115.10774,"Nuclear"
"1010","C3","Moderate",2188565631.31127,"Nuclear"
"1010","C3","Conservative",2407422194.4424,"Nuclear"
"1010","C3","Advanced",3114140097.05323,"Biopower"
"1010","C3","Moderate",3114140097.05323,"Biopower"
"1010","C3","Conservative",3114140097.05323,"Biopower"
"1010","D","Advanced",3114140097.05323,"Biopower"
"1010","D","Moderate",3114140097.05323,"Biopower"
"1010","D","Conservative",3114140097.05323,"Biopower"
"102","A","Advanced",3114140097.05323,"Biopower"
"102","A","Moderate",3114140097.05323,"Biopower"
"102","A","Conservative",3114140097.05323,"Biopower"
"102","B1","Advanced",3114140097.05323,"Biopower"
"102","B1","Moderate",3114140097.05323,"Biopower"
"102","B1","Conservative",3114140097.05323,"Biopower"
"102","B2","Advanced",3114140097.05323,"Biopower"
"102","B2","Moderate",3114140097.05323,"Biopower"
"102","B2","Conservative",3114140097.05323,"Biopower"
"102","B3","Advanced",3114140097.05323,"Biopower"
"102","B3","Moderate",3114140097.05323,"Biopower"
"102","B3","Conservative",3114140097.05323,"Biopower"
"102","C1","Advanced",23692754917.1315,"Nuclear"
"102","C1","Moderate",26083766881.2456,"Nuclear"
"102","C1","Conservative",28692143569.3702,"Nuclear"
"102","C1","Advanced",3114140097.05323,"Biopower"
"102","C1","Moderate",3114140097.05323,"Biopower"
"102","C1","Conservative",3114140097.05323,"Biopower"
"102","C2","Advanced",3077420864.06465,"Nuclear"
"102","C2","Moderate",3387986272.36475,"Nuclear"
